station_id,n_hours_train,n_valid_wl_train,missing_rate_wl_train,impute_branch,min_required_hours,included_tft_train,exclude_reason
1001602,192,192,0.0,interpolated,174,Y,
1001620,192,187,0.026,interpolated,174,Y,
1001622,192,192,0.0,interpolated,174,Y,
1001623,192,0,1.0,no_interp_high_missing,174,N,no_waterlevel_in_train;missing_rate_ge_30pct
1001625,192,192,0.0,interpolated,174,Y,
1001626,192,192,0.0,interpolated,174,Y,
1001629,192,192,0.0,interpolated,174,Y,
1001630,192,192,0.0,interpolated,174,Y,
1001641,192,0,1.0,no_interp_high_missing,174,N,no_waterlevel_in_train;missing_rate_ge_30pct
1001645,192,192,0.0,interpolated,174,Y,
1001649,192,189,0.0156,interpolated,174,Y,
1001650,192,0,1.0,no_interp_high_missing,174,N,no_waterlevel_in_train;missing_rate_ge_30pct
1001655,192,192,0.0,interpolated,174,Y,
1001658,192,192,0.0,interpolated,174,Y,
1001660,192,190,0.0104,interpolated,174,Y,
1001661,192,0,1.0,no_interp_high_missing,174,N,no_waterlevel_in_train;missing_rate_ge_30pct
1001665,192,0,1.0,no_interp_high_missing,174,N,no_waterlevel_in_train;missing_rate_ge_30pct
1001670,192,192,0.0,interpolated,174,Y,
1001690,192,192,0.0,interpolated,174,Y,
1001695,192,0,1.0,no_interp_high_missing,174,N,no_waterlevel_in_train;missing_rate_ge_30pct
1002605,192,192,0.0,interpolated,174,Y,
1002610,192,192,0.0,interpolated,174,Y,
1002615,192,192,0.0,interpolated,174,Y,
1002625,192,192,0.0,interpolated,174,Y,
1002626,192,0,1.0,no_interp_high_missing,174,N,no_waterlevel_in_train;missing_rate_ge_30pct
1002635,192,192,0.0,interpolated,174,Y,
1002636,192,0,1.0,no_interp_high_missing,174,N,no_waterlevel_in_train;missing_rate_ge_30pct
1002640,192,185,0.0365,interpolated,174,Y,
1002650,192,192,0.0,interpolated,174,Y,
1002670,192,0,1.0,no_interp_high_missing,174,N,no_waterlevel_in_train;missing_rate_ge_30pct
1002675,192,185,0.0365,interpolated,174,Y,
1002680,192,186,0.0312,interpolated,174,Y,
1002685,192,182,0.0521,interpolated,174,Y,
1002687,192,187,0.026,interpolated,174,Y,
1002691,192,0,1.0,no_interp_high_missing,174,N,no_waterlevel_in_train;missing_rate_ge_30pct
