유역코드,유역명,1차,2차,3차,4차,5차,6차,7차,8차
100101,광동댐,392,85,19,5,2,1,-,-
100102,광동댐하류,660,140,37,6,2,1,-,-
100103,임계천,525,129,29,5,1,1,-,-
100104,골지천중류,405,87,18,4,2,1,-,-
100105,도암댐,121,34,8,3,1,-,-,-
100106,송천,166,39,9,2,1,-,-,-
100107,골지천하류,152,40,6,2,-,1,-,-
100108,오대천상류,297,73,15,4,1,-,-,-
100109,오대천하류,108,20,4,-,1,1,-,-
100110,어천상류,568,127,35,11,3,1,-,-
100111,어천하류,712,170,37,6,1,1,-,-
100112,정선,274,62,17,2,2,2,1,-
100113,지장천상류,272,65,15,3,1,-,-,-
100114,지장천하류,424,106,25,5,1,-,-,-
100115,창리천,102,23,7,2,1,-,-,-
100116,석항천,328,77,19,5,2,1,-,-
100117,영월,293,65,16,-,2,1,1,-
100201,흥정천,165,39,9,3,1,-,-,-
100202,평창강상류,87,25,4,-,1,-,-,-
100203,대화천,88,26,6,2,-,-,-,-
100204,계촌천,63,12,3,1,-,-,-,-
100205,평창수위표,71,18,4,3,1,-,-,-
100206,평창강중류,576,135,27,6,2,1,-,-
100207,주천강시점,263,62,15,6,1,-,-,-
100208,주천강상류,406,88,15,5,1,-,-,-
100209,주천강중류,583,121,28,8,3,1,-,-
100210,주천강하류,271,65,17,4,-,1,-,-
100211,쌍용천,247,69,13,2,-,2,1,-
100212,문곡천,317,74,24,3,1,-,1,-
100213,평창강하류,414,101,26,5,1,-,2,-
100301,평창강합류후,116,31,8,3,-,-,2,1
100302,옥동천상류,256,53,11,3,1,-,-,-
100303,옥동천중류,302,76,19,4,2,1,-,-
100304,내린천,89,22,5,1,-,-,-,-
100305,옥동천하류,175,34,5,3,-,1,-,1
100306,사이곡천합류전,144,31,5,2,-,-,-,1
100307,하일천합류후,373,84,15,4,1,-,-,1
100308,매포천,227,58,14,3,1,-,-,-
100309,죽령천,327,76,13,3,1,-,-,-
100310,단양천합류후,171,45,12,2,3,-,-,1
100311,단양천,235,44,11,2,1,-,-,-
100312,충주댐상류,79,17,4,1,-,-,-,1
100313,제천천상류,344,76,18,4,1,-,-,-
100314,장평천,311,85,21,5,1,-,-,-
100315,제천천하류,214,54,13,4,3,1,-,-
100316,원서천,264,65,15,4,1,-,-,-
100317,광천,82,17,2,1,-,-,-,-
100318,동달천,37,9,3,1,-,-,-,-
100319,충주댐,679,165,43,11,3,1,-,1
100320,충주댐하류,45,11,3,1,-,-,-,1
100401,달천상류,484,124,28,8,2,1,-,-
100402,감천,639,158,41,9,2,1,-,-
100403,압항천합류전,630,149,35,4,2,2,1,-
100404,압항천,658,176,43,8,2,1,-,-
100405,화양천,335,87,18,5,2,1,-,-
100406,괴산댐,504,121,25,4,-,2,1,-
100407,쌍천,311,72,15,5,1,-,-,-
100408,동진천,439,99,21,5,2,1,-,-
100409,괴산댐하류,270,67,12,3,1,1,1,-
100410,음성천,359,106,28,7,1,-,1,-
100411,석문동천합류전,100,23,7,1,-,1,1,-
100412,석문동천,236,59,15,4,2,1,-,-
100413,요도천,482,126,34,6,2,1,-,-
100414,달천하류,196,50,9,2,-,2,1,-
100501,충주조정지댐,123,35,9,3,1,-,1,1
100502,목계수위표,173,47,13,4,2,-,-,1
100503,운계천합류전,466,122,30,5,1,-,-,1
100504,운계천,234,53,11,1,-,-,-,-
100505,섬강합류전,239,56,15,4,1,-,1,1
100601,횡성댐,150,40,10,3,1,-,-,-
100602,횡성댐하류,56,14,4,1,1,-,-,-
100603,금계천,161,35,10,1,-,-,-,-
100604,전천,446,109,23,5,1,-,-,-
100605,원주천합류전,426,105,20,7,3,1,-,-
100606,원주천,264,75,16,5,2,1,-,-
100607,삼산천,743,185,42,6,2,1,-,-
100608,간현수위표,862,217,50,9,3,5,1,-
100609,서곡천,350,82,16,4,2,1,-,-
100610,섬강하류,467,121,29,6,1,1,1,-
100701,청미천상류,286,75,15,3,1,-,-,-
100702,죽산천,123,35,6,1,-,-,-,-
100703,청미천중류,278,86,20,4,3,1,-,-
100704,응천,452,125,30,7,1,-,-,-
100705,청미수위표,400,113,27,6,2,1,-,-
100706,강천보,329,87,19,5,-,1,-,1
100707,금당천,392,113,27,5,2,1,-,-
100708,여주수위표,238,71,15,4,1,1,-,1
100709,여주보,265,83,24,6,1,-,-,1
100710,양화천,589,165,44,8,2,1,-,-
100711,이포보,395,106,18,4,1,2,-,1
100712,복하천상류,289,85,20,5,1,-,-,-
100713,복하천중류,153,52,13,3,2,1,-,-
100714,복하천하류,146,40,9,2,-,1,-,-
100715,흑천합류전,427,107,21,4,1,1,-,1
100716,흑천상류,324,74,17,5,2,1,-,-
100717,흑천하류,400,111,25,7,1,1,-,-
100718,양평수위표,307,81,20,4,1,1,-,1
100719,남한강하류,295,70,15,3,1,-,1,1
100801,신명리댐,171,37,9,1,-,-,-,-
100802,신명리댐하류,248,45,8,2,1,-,-,-
100803,사두포천,157,23,6,3,2,1,-,-
100804,이포리하천,147,30,7,1,-,-,-,-
100805,창도군,135,27,6,3,-,1,-,-
100806,금강산댐상류,137,29,6,2,1,1,-,-
100807,가성리하천,75,19,6,2,1,-,-,-
100808,현리하천,80,20,3,1,-,-,-,-
100809,동금강천상류,164,33,6,1,1,-,-,-
100810,초거리하천,203,44,9,3,1,-,-,-
100811,동금강천하류,81,14,3,1,1,-,-,-
100812,금강천,157,33,8,1,1,-,-,-
100813,금강산댐,61,8,1,1,1,1,-,-
100901,금성천상류,189,42,9,3,1,-,-,-
100902,금성천하류,273,64,14,5,1,-,-,-
100903,평화의댐,183,43,9,1,1,1,-,-
100904,평화의댐하류,80,18,2,-,-,1,-,-
101001,수입천상류,68,11,2,2,1,-,-,-
101002,건솔리하천,69,15,5,1,-,-,-,-
101003,수입천하류,84,20,4,-,2,-,-,-
101004,서천,133,30,9,1,-,-,-,-
101005,양구서천,83,20,3,1,1,-,-,-
101006,화천댐,113,30,11,1,1,1,-,-
101007,화천댐하류,53,12,1,-,-,1,-,-
101008,화천천,205,43,9,2,1,-,-,-
101009,춘천댐상류,77,11,3,-,1,1,-,-
101010,지촌천,142,36,9,2,1,-,-,-
101011,춘천댐,106,19,5,2,1,2,-,-
101012,춘천댐하류,49,12,3,-,-,1,-,-
101101,인북천상류,163,33,7,2,-,-,-,-
101102,인북천중류,188,41,7,4,1,-,-,-
101103,북천,209,42,8,3,1,-,-,-
101104,인북천하류,97,16,2,-,2,1,-,-
101201,내린천상류,386,90,25,5,2,1,-,-
101202,방내천,134,27,7,2,1,-,-,-
101203,내린천하류,89,18,4,1,-,2,-,-
101204,방태천,239,56,12,3,1,-,-,-
101205,소양강상류,362,83,13,3,1,1,-,-
101206,양구교수위표,536,127,25,4,-,2,1,-
101207,소양강댐,462,113,26,7,-,-,1,-
101208,소양강댐하류,109,28,7,1,-,-,3,-
101301,공지천,67,18,4,2,-,-,-,-
101302,의암댐,78,15,3,2,-,1,2,-
101303,팔미천,114,26,8,1,-,-,-,-
101304,가평수위표,135,31,9,3,-,-,1,-
101305,가평천상류,79,16,5,2,1,-,-,-
101306,가평천하류,143,38,8,3,2,1,-,-
101307,청평댐상류,68,12,2,-,-,1,1,-
101401,내촌천상류,144,35,9,2,1,-,-,-
101402,내촌천하류,133,32,6,-,1,-,-,-
101403,홍천강상류,118,25,3,1,-,-,-,-
101404,화촌수위표,43,12,1,1,1,-,-,-
101405,군업천,73,13,2,1,1,-,-,-
101406,덕치천합류전,28,8,1,-,1,-,-,-
101407,덕치천,82,18,6,2,1,-,-,-
101408,홍천수위표,80,23,4,1,2,1,-,-
101409,성동천,69,15,3,1,-,-,-,-
101410,양덕원천합류전,81,20,3,2,-,1,-,-
101411,양덕원천,153,33,7,2,-,-,-,-
101412,서면수위표,251,54,8,3,1,1,-,-
101413,중방대천,108,27,9,2,2,-,-,-
101414,홍천강하류,157,40,7,2,1,1,-,-
101501,미원천,75,19,5,2,2,-,-,-
101502,청평댐,126,28,6,1,1,1,1,-
101503,조종천상류,77,25,5,2,1,-,-,-
101504,조종천하류,86,20,5,2,1,-,-,-
101505,구운천,93,20,5,1,-,-,-,-
101506,청평댐하류,139,30,6,1,1,-,1,-
101507,벽계천,121,23,5,1,-,-,-,-
101508,북한강하류,242,67,13,4,1,-,1,-
101601,경안천상류,307,84,16,4,1,-,-,-
101602,오산천,92,24,4,1,-,-,-,-
101603,경안수위표,227,59,16,5,2,1,-,-
101604,곤지암천,538,145,31,10,2,2,-,-
101605,경안천하류,546,141,35,7,1,2,2,-
101701,팔당댐,96,26,7,1,-,-,3,1
101801,팔당댐하류,355,95,27,8,2,-,-,1
101802,퇴계원수위표,480,130,33,8,1,-,-,-
101803,왕숙천,389,110,26,5,2,1,-,-
101804,탄천상류,252,72,16,4,1,-,-,-
101805,성남수위표,175,53,13,4,1,-,-,-
101806,탄천하류,158,44,11,3,2,1,-,-
101807,중랑천합류전,112,32,8,3,1,2,-,1
101808,중랑천상류,825,239,56,16,4,2,1,-
