대권역,관측소 명,운영 여부,관측 방법,관측소 코드,표준유역 코드,관할 기관
한강,평창군(송정교),운영,T/M,1001602,100108,기후에너지환경부
한강,태백시(무사교),운영,T/M,1001603,100101,한국수자원공사
한강,송천1교,운영,T/M,1001605,100105,한국수력원자력
한강,삼척시(번천교),운영,T/M,1001607,100101,한국수자원공사
한강,삼척시(광동교),운영,T/M,1001613,100102,한국수자원공사
한강,삼척시(갈밭교),운영,T/M,1001615,100102,한국수자원공사
한강,정선군(송계교),운영,T/M,1001620,100103,기후에너지환경부
한강,정선군(혈천교),운영,T/M,1001622,100102,기후에너지환경부
한강,정선군(오장2교),운영,T/M,1001623,100106,기후에너지환경부
한강,정선군(송천교),운영,T/M,1001625,100106,기후에너지환경부
한강,정선군(제1여량교),운영,T/M,1001626,100107,기후에너지환경부
한강,정선군(남평대교),운영,T/M,1001629,100107,기후에너지환경부
한강,정선군(나전교),운영,T/M,1001630,100109,기후에너지환경부
한강,정선군(각희교),운영,T/M,1001641,100110,기후에너지환경부
한강,정선군(와평교),운영,T/M,1001645,100111,기후에너지환경부
한강,정선군(애산교),운영,T/M,1001649,100111,기후에너지환경부
한강,정선군(삼거리교),운영,T/M,1001650,100113,기후에너지환경부
한강,정선군(정선제1교),운영,T/M,1001655,100112,기후에너지환경부
한강,정선군(광하교),운영,T/M,1001658,100112,기후에너지환경부
한강,정선군(낙동교),운영,T/M,1001660,100114,기후에너지환경부
한강,정선군(광탄교),운영,T/M,1001661,100114,기후에너지환경부
한강,평창군(마하교),운영,T/M,1001665,100115,기후에너지환경부
한강,영월군(거운교),운영,T/M,1001670,100117,기후에너지환경부
한강,영월군(삼옥교),운영,T/M,1001683,100117,한국수자원공사
한강,영월군(영월대교),운영,T/M,1001690,100117,기후에너지환경부
한강,영월군(신촌교),운영,T/M,1001695,100116,기후에너지환경부
한강,평창군(이목정교),운영,T/M,1002605,100201,기후에너지환경부
한강,평창군(장평교),운영,T/M,1002610,100201,기후에너지환경부
한강,평창군(진전교),운영,T/M,1002615,100201,기후에너지환경부
한강,평창군(선애교),운영,T/M,1002625,100202,기후에너지환경부
한강,평창군(바이오교),운영,T/M,1002626,100203,기후에너지환경부
한강,평창군(사초교),운영,T/M,1002635,100203,기후에너지환경부
한강,평창군(하방림교),운영,T/M,1002636,100204,기후에너지환경부
한강,평창군(상방림교),운영,T/M,1002640,100205,기후에너지환경부
한강,평창군(평창교),운영,T/M,1002650,100206,기후에너지환경부
한강,영월군(판운교),운영,T/M,1002655,100206,한국수자원공사
한강,횡성군(둔방내리),운영,T/M,1002670,100207,기후에너지환경부
한강,횡성군(안흥교),운영,T/M,1002675,100208,기후에너지환경부
한강,영월군(두학교),운영,T/M,1002680,100209,기후에너지환경부
한강,영월군(주천교),운영,T/M,1002685,100210,기후에너지환경부
한강,영월군(신천교),운영,T/M,1002687,100210,기후에너지환경부
한강,영월군(화병교),운영,T/M,1002691,100213,기후에너지환경부
한강,영월군(농공단지교),운영,T/M,1002693,100212,기후에너지환경부
한강,영월군(연당교),운영,T/M,1002694,100213,한국수자원공사
한강,영월군(팔괴교),운영,T/M,1002698,100213,기후에너지환경부
한강,영월군(내리2교),운영,T/M,1003603,100304,기후에너지환경부
한강,영월군(충혼교),운영,T/M,1003605,100303,기후에너지환경부
한강,영월군(옥동교),운영,T/M,1003620,100305,기후에너지환경부
한강,영월군(각동교),운영,T/M,1003625,100306,기후에너지환경부
한강,단양군(들골교),운영,T/M,1003626,100308,기후에너지환경부
한강,단양군(북벽교),운영,T/M,1003632,100306,한국수자원공사
한강,단양군(가대교),운영,T/M,1003636,100307,기후에너지환경부
한강,단양군(덕천교),운영,T/M,1003642,100310,기후에너지환경부
한강,단양군(음지교),운영,T/M,1003643,100309,기후에너지환경부
한강,상진교,운영,T/M,1003644,100310,한국수자원공사
한강,단양군(단양1교),운영,T/M,1003645,100309,기후에너지환경부
한강,우화교,운영,T/M,1003646,100311,한국수자원공사
한강,제천시(덕동교),운영,T/M,1003652,100316,기후에너지환경부
한강,제천시(송계교),운영,T/M,1003654,100318,기후에너지환경부
한강,제천시(물태리),운영,T/M,1003655,100319,한국수자원공사
한강,제천시(강저3교),운영,T/M,1003657,100314,기후에너지환경부
한강,제천시(부수동교),운영,T/M,1003658,100316,기후에너지환경부
한강,제천시(팔송교),운영,T/M,1003660,100313,기후에너지환경부
한강,제천시(구곡교),운영,T/M,1003661,100315,기후에너지환경부
한강,명서교,운영,T/M,1003662,100319,한국수자원공사
한강,충주본댐우안,운영,T/M,1003664,100319,한국수자원공사
한강,제천시(용암교),운영,T/M,1003667,100317,기후에너지환경부
한강,청주시(청석굴교),운영,T/M,1004616,100402,기후에너지환경부
한강,청주시(옥화1교),운영,T/M,1004620,100403,기후에너지환경부
한강,고성교,운영,T/M,1004630,100403,한국수력원자력
한강,괴산군(월문교),운영,T/M,1004631,100404,기후에너지환경부
한강,후영교,운영,T/M,1004635,100406,한국수력원자력
한강,괴산군(적석교),운영,T/M,1004640,100407,기후에너지환경부
한강,괴산군(수전교),운영,T/M,1004645,100409,기후에너지환경부
한강,괴산군(비도교),운영,T/M,1004646,100407,기후에너지환경부
한강,소수,운영,T/M,1004653,100408,한국농어촌공사
한강,괴산군(제2괴산교),운영,T/M,1004661,100408,기후에너지환경부
한강,괴산군(추산교),운영,T/M,1004670,100410,기후에너지환경부
한강,충주시(문강교),운영,T/M,1004680,100412,기후에너지환경부
한강,팔봉교,운영,T/M,1004685,100411,한국수자원공사
한강,원남,운영,T/M,1004688,100408,한국농어촌공사
한강,충주시(향산리),운영,보통,1004690,100414,한국수자원공사
한강,용당,운영,T/M,1004692,100413,한국농어촌공사
한강,괴산군(목도교),운영,T/M,1004693,100409,기후에너지환경부
한강,충주시(주덕교),운영,T/M,1004694,100413,기후에너지환경부
한강,충주시(국원대교),운영,T/M,1004695,100413,기후에너지환경부
한강,충주시(봉계교),운영,T/M,1004696,100414,기후에너지환경부
한강,충주시(탄금교),운영,T/M,1005605,100414,기후에너지환경부
한강,충주시(목계교),운영,T/M,1005640,100502,기후에너지환경부
한강,충주시(능암교),운영,T/M,1005650,100503,기후에너지환경부
한강,충주시(세포교),운영,T/M,1005660,100504,기후에너지환경부
한강,원주시(법천교),운영,T/M,1005695,100505,기후에너지환경부
한강,원주시(남한강대교),운영,T/M,1005697,100505,기후에너지환경부
한강,횡성군(율동리),운영,T/M,1006610,100601,한국수자원공사
한강,횡성군(포동2교),운영,T/M,1006612,100601,한국수자원공사
한강,횡성군(청곡교),운영,T/M,1006628,100603,기후에너지환경부
한강,횡성군(오산교),운영,T/M,1006630,100603,기후에너지환경부
한강,횡성군(횡성교),운영,T/M,1006650,100605,기후에너지환경부
한강,횡성군(전천교),운영,T/M,1006660,100604,기후에너지환경부
한강,원주시(동부교),운영,T/M,1006664,100606,기후에너지환경부
한강,원주시(원주교),운영,T/M,1006665,100606,기후에너지환경부
한강,원주시(가현교),운영,T/M,1006666,100606,기후에너지환경부
한강,원주시(옥산교),운영,T/M,1006670,100605,기후에너지환경부
한강,원주시(장현교),운영,T/M,1006672,100608,기후에너지환경부
한강,원주시(판대2교),운영,T/M,1006677,100607,기후에너지환경부
한강,원주시(지정대교),운영,T/M,1006680,100608,기후에너지환경부
한강,원주시(봉미교),운영,T/M,1006685,100609,기후에너지환경부
한강,원주시(문막교),운영,T/M,1006690,100610,기후에너지환경부
한강,궁촌,운영,T/M,1006693,100610,한국농어촌공사
한강,반계,운영,T/M,1006694,100610,한국농어촌공사
한강,안성시(한평교),운영,T/M,1007604,100701,기후에너지환경부
한강,이천시(장호원교),운영,T/M,1007605,100705,기후에너지환경부
한강,안성시(두현교),운영,T/M,1007606,100702,기후에너지환경부
한강,이천시(고당교),운영,T/M,1007608,100703,기후에너지환경부
한강,음성군(병암교),운영,T/M,1007609,100704,기후에너지환경부
한강,음성군(총천교),운영,T/M,1007610,100704,기후에너지환경부
한강,음성군(상우교),운영,T/M,1007613,100705,기후에너지환경부
한강,여주시(원부교),운영,T/M,1007615,100706,기후에너지환경부
한강,여주시(삼합교),운영,T/M,1007617,100706,기후에너지환경부
한강,여주시(강천리),운영,T/M,1007620,100706,기후에너지환경부
한강,여주시(남한강교),운영,T/M,1007625,100706,기후에너지환경부
한강,여주시(용은교),운영,T/M,1007626,100710,기후에너지환경부
한강,강천보(상류),운영,T/M,1007633,100706,기후에너지환경부
한강,강천보(하류),운영,T/M,1007634,100708,기후에너지환경부
한강,여주시(여주대교),운영,T/M,1007635,100709,기후에너지환경부
한강,여주시(당우교),운영,T/M,1007637,100707,기후에너지환경부
한강,여주보(상류),운영,T/M,1007639,100709,기후에너지환경부
한강,여주시(율극교),운영,T/M,1007640,100711,기후에너지환경부
한강,여주보(하류),운영,T/M,1007641,100710,기후에너지환경부
한강,이천시(동산교),운영,T/M,1007642,100712,기후에너지환경부
한강,이천시(복하교),운영,T/M,1007645,100713,기후에너지환경부
한강,여주시(흥천대교),운영,T/M,1007650,100714,기후에너지환경부
한강,대평,운영,T/M,1007653,100711,한국농어촌공사
한강,여주시(양촌교),운영,T/M,1007655,100710,기후에너지환경부
한강,여주저류지,운영,T/M,1007656,100715,한국수자원공사
한강,이포보(상류),운영,T/M,1007662,100710,기후에너지환경부
한강,이포보(하류),운영,T/M,1007664,100715,기후에너지환경부
한강,금사,운영,T/M,1007672,100715,한국농어촌공사
한강,양평군(흑천교),운영,T/M,1007680,100717,기후에너지환경부
한강,양평군(양평교),운영,T/M,1007685,100718,기후에너지환경부
한강,양평군(여물교),운영,T/M,1007687,100716,기후에너지환경부
한강,양평군(보룡교),운영,T/M,1007688,100716,기후에너지환경부
한강,양평군(봉상교),운영,T/M,1007690,100717,기후에너지환경부
한강,양평군(다문교),운영,T/M,1007695,100717,기후에너지환경부
한강,양평군(신원리),운영,T/M,1007697,100719,기후에너지환경부
한강,화천군(평화나래교),운영,T/M,1009652,100903,한국수자원공사
한강,약수교,운영,T/M,1010630,101004,한국수력원자력
한강,양구군(양지교),운영,T/M,1010631,101004,기후에너지환경부
한강,양구군(송청제2교),운영,T/M,1010633,101004,기후에너지환경부
한강,하리교,운영,T/M,1010635,101004,한국수력원자력
한강,양구군(각시교),운영,T/M,1010640,101003,한국수자원공사
한강,남전교,운영,T/M,1010642,101003,한국수력원자력
한강,화천군(화천댐),운영,T/M,1010660,101006,기후에너지환경부
한강,화천군(오작교),운영,T/M,1010670,100903,한국수자원공사
한강,화천군(신대교),운영,T/M,1010673,101008,기후에너지환경부
한강,화천군(신읍교),운영,T/M,1010674,101008,기후에너지환경부
한강,용신교,운영,T/M,1010677,101008,한국수력원자력
한강,화천군(화천대교),운영,T/M,1010680,101009,한국수자원공사
한강,오탄교,운영,T/M,1010684,101009,한국수력원자력
한강,화천군(일광교),운영,T/M,1010686,101010,기후에너지환경부
한강,춘천시(춘천댐),운영,T/M,1010690,101011,기후에너지환경부
한강,춘천시(춘천댐하류),운영,T/M,1010695,101012,기후에너지환경부
한강,인제군(반월촌교),운영,T/M,1011620,101102,기후에너지환경부
한강,인제군(십이선녀교),운영,T/M,1011640,101103,기후에너지환경부
