지점,관할기관,3시간전 수위(m),수위 (m),유량,해발수위 (El.m)
가평군(가평교),기후에너지환경부,0.76,0.76,3.91,51.62
가평군(대보교),기후에너지환경부,2.66,2.66,1.81,102.19
가평군(선촌2교),기후에너지환경부,2.32,2.31,-,52.88
가평군(신상교),기후에너지환경부,3.49,3.48,-,137.63
가평군(신청평대교),기후에너지환경부,1.34,1.32,-,23.93
가평군(오류동교),기후에너지환경부,1.31,1.31,-,37.37
가평군(제령교),기후에너지환경부,2.85,2.85,-,103.31
가평군(청평교),기후에너지환경부,1.25,1.25,6.56,32.47
가평군(청평댐),기후에너지환경부,50.48,50.45,-,51.12
가평군(화악교),기후에너지환경부,2.36,2.37,-,136.03
강릉시(난곡교),기후에너지환경부,1.96,1.96,-,4.96
강릉시(송림교),기후에너지환경부,1.71,1.7,1.66,4.72
강릉시(오봉교),기후에너지환경부,2.48,2.49,-,58.12
강릉시(우정교),기후에너지환경부,2.33,2.33,-,60.95
강릉시(회산교),기후에너지환경부,1.21,1.21,1.43,15.84
강천보(상류),기후에너지환경부,38.22,38.22,-,38.22
강천보(하류),기후에너지환경부,33.35,33.37,-,33.37
강화군(강화대교),기후에너지환경부,1.11,-1.34,-,-1.21
고성군(간촌교),기후에너지환경부,2.36,2.36,-,6.88
고양시(원당교),기후에너지환경부,0.22,0.21,0.98,21.01
고양시(은덕교),기후에너지환경부,2.41,2.41,-,22.83
광명시(시흥대교),기후에너지환경부,0.38,0.38,3.57,6.75
광주시(경안교),기후에너지환경부,0.4,0.4,2.46,34.51
광주시(광동교),기후에너지환경부,25.03,25.07,-,25.01
광주시(동림3교),기후에너지환경부,2.32,2.33,-,73.75
광주시(부항교),기후에너지환경부,0.46,0.45,-,94.18
광주시(서하교),기후에너지환경부,0.68,0.68,3.86,27.44
광주시(섬뜰교),기후에너지환경부,1.15,1.14,9.73,37.26
광주시(오포대교),기후에너지환경부,2.59,2.58,-,43.03
광주시(파발교),기후에너지환경부,2.31,2.32,-,37.68
괴산군(목도교),기후에너지환경부,1.4,1.38,13.28,88.17
괴산군(비도교),기후에너지환경부,1.04,1.04,2.23,119.22
