표준유역코드,표준유역명,중권역코드
600405,종남천,6004
600404,천미천,6004
600403,성산읍,6004
600402,구좌읍,6004
600401,조천읍,6004
600304,신례천,6003
600303,도순천,6003
600302,예래천,6003
600301,창고천,6003
600204,화북천,6002
600203,병문천,6002
600202,도근천,6002
600201,수산천,6002
600103,대정읍,6001
600102,금성천,6001
600101,한경면,6001
530301,신안군,5303
530209,청계천,5302
530208,태봉천,5302
530207,지도읍,5302
530206,양간천,5302
530205,오동천,5302
530204,불갑천,5302
530203,와탄천,5302
530202,구암천,5302
530201,자룡천,5302
530104,해리천,5301
530103,주진천,5301
530102,갈곡천,5301
530101,운산천,5301
520206,현산천,5202
520205,해남방조제,5202
520204,화원면,5202
520203,금호방조제,5202
520202,영암방조제,5202
520201,옥천천,5202
520104,조도면,5201
520103,의신천,5201
520102,석교천,5201
520101,군내천,5201
510104,탐진강하류,5101
510103,금강천,5101
510102,탐진강중류,5101
510101,장흥댐,5101
500802,영산강하구언,5008
500801,영산·영암호연락수로,5008
500702,영암천,5007
500701,학산천,5007
500604,영암천합류전,5006
500603,삼포강,5006
500602,함평천,5006
500601,함평수위표,5006
500502,고막원천하류,5005
500501,고막원천상류,5005
500405,죽산보,5004
500404,만봉천,5004
500403,영산포수위표,5004
500402,나주수위표,5004
500401,승촌보,5004
500307,지석천,5003
500306,남평수위표,5003
500305,대초천,5003
500304,나주댐,5003
500303,화순천,5003
500302,지석천하류,5003
500301,지석천상류,5003
500204,황룡강하류,5002
500203,평림천,5002
500202,황룡강중류,5002
500201,장성댐,5002
500108,황룡강합류전,5001
500107,광주천,5001
500106,광주수위표,5001
500105,증암천,5001
500104,광주댐,5001
500103,영산강상류,5001
500102,오례천,5001
500101,담양댐,5001
410601,여수시,4106
410506,연등천,4105
410505,율촌천,4105
410504,성황천,4105
410503,수어천,4105
410502,수어댐,4105
410501,광양동천,4105
410410,도화천,4104
410409,고흥천,4104
410408,강산천,4104
410407,화양천,4104
410406,대강천,4104
410405,동룡천,4104
410404,벌교천,4104
410403,순천동천,4104
410402,이사천,4104
410401,주암조절지댐,4104
410301,금산면,4103
410201,완도군,4102
410108,고읍천,4101
410107,사정천,4101
410106,마륜천,4101
410105,고읍천,4101
410104,대덕천,4101
410103,칠량천,4101
410102,흥촌천,4101
410101,강진천,4101
400911,섬진강하류,4009
400910,주교천,4009
400909,횡천강,4009
400908,하동댐,4009
400907,하동2수위표,4009
400906,화개천,4009
400905,화개천합류전,4009
400904,송정수위표,4009
400903,서시천,4009
400902,구례수위표,4009
400901,황전천,4009
400802,보성강하류,4008
400801,주암댐하류,4008
400707,주암댐,4007
400706,송광천,4007
400705,동복천,4007
400704,동복댐,4007
400703,주암댐상류,4007
400702,겸백수위표,4007
400701,보성강상류,4007
400603,압록수위표,4006
400602,곡성천,4006
400601,곡성천합류전,4006
400504,요천하류,4005
400503,남원수위표,4005
400502,요천상류,4005
400501,동화댐,4005
400404,요천합류전,4004
400403,옥과천,4004
400402,경천,4004
400401,경천합류전,4004
400303,오수천하류,4003
400302,오수천중류,4003
400301,오수천상류,4003
400203,오수천합류전,4002
400202,치천,4002
400201,섬진강댐하류,4002
400109,섬진강댐,4001
400108,추령천하류,4001
400107,추령천상류,4001
400106,옥녀동천,4001
400105,섬진강댐상류,4001
400104,임실천,4001
400103,관촌수위표,4001
400102,세동천,4001
400101,섬진강상류,4001
330303,새만금방조제,3303
330302,주상천,3303
330301,부안댐,3303
330208,동진강하류,3302
330207,신평천,3302
330206,원평천,3302
330205,고부천하류,3302
330204,고부천상류,3302
330203,정읍천,3302
330202,신태인수위표,3302
330201,동진강상류,3302
330113,만경강하류,3301
330112,탑천,3301
330111,만경강중류,3301
330110,익산천,3301
330109,전주천하류,3301
330108,삼천,3301
330107,구이댐,3301
330106,전주천상류,3301
330105,전주천합류전,3301
330104,소양천,3301
330103,대아댐하류,3301
330102,경천댐,3301
330101,대아댐,3301
320310,옥서면,3203
320309,경포천,3203
320308,판교천,3203
320307,종천천,3203
320306,웅천천,3203
320305,보령댐,3203
320304,대천천,3203
320303,청천댐,3203
320302,봉당천,3203
320301,광천천,3203
320206,안면도,3202
320205,금리천,3202
320204,간월방조제,3202
320203,부남방조제,3202
320202,반계천,3202
320201,용요천,3202
320103,송산방조제,3201
320102,석문방조제,3201
320101,대호방조제,3201
310116,삽교방조제,3101
310115,곡교천하류,3101
310114,강청수위표,3101
310113,온양천,3101
310112,곡교천중류,3101
310111,천안천,3101
310110,풍서천,3101
310109,곡교천상류,3101
310108,무하천하류,3101
310107,예당댐,3101
310106,신양천,3101
310105,화산천,3101
310104,무한천상류,3101
310103,삽교천중류,3101
310102,구만수위표,3101
310101,삽교천상류,3101
301403,금강하구언,3014
301402,길산천,3014
301401,입포수위표,3014
301305,논산천하류,3013
301304,강경천,3013
301303,노성천,3013
301302,탑정댐,3013
301301,논산천상류,3013
301214,논산천합류전,3012
301213,석성천,3012
301212,금천,3012
301211,규암수위표,3012
301210,지천합류후,3012
301209,지천상류,3012
301208,백제보,3012
301207,어천합류후,3012
301206,유구천,3012
301205,공주보,3012
301204,공주수위표,3012
301203,대교천,3012
301202,용수천,3012
301201,세종보,3012
301115,미호천하류,3011
301114,조천,3011
301113,석화수위표,3011
301112,병천천하류,3011
301111,병천천상류,3011
301110,무심천,3011
301109,작천보,3011
301108,미호천중류,3011
301107,보강천,3011
301106,미호댐,3011
301105,원남댐,3011
301104,백곡천,3011
301103,백곡댐,3011
301102,미호천상류,3011
301101,한천,3011
301002,미호천합류전,3010
301001,매포수위표,3010
300906,갑천하류,3009
300905,유등천하류,3009
300904,대전천,3009
300903,유등천상류,3009
300902,유성수위표,3009
300901,갑천상류,3009
300805,대청댐조정지,3008
300804,대청댐,3008
300803,소옥천하류,3008
300802,소옥천상류,3008
300801,대청댐상류,3008
300706,보청천하류,3007
300705,보청천중류,3007
300704,삼가천,3007
300703,삼가천합류후,3007
300702,항건천,3007
300701,보청천상류,3007
300601,보청천합류전,3006
300503,초강하류,3005
300502,석천,3005
300501,초강상류,3005
300406,영동천,3004
300405,초강합류후,3004
300404,호탄수위표,3004
300403,봉황천하류,3004
300402,봉황천상류,3004
300401,봉황천합류후,3004
300303,무주남대천하류,3003
300302,무주남대천중류,3003
300301,무주남대천상류,3003
300201,용담댐하류,3002
300108,용담댐,3001
300107,주자천,3001
300106,정자천,3001
300105,진안천,3001
300104,진안천합류후,3001
300103,구량천,3001
300102,장계천,3001
300101,장계천합류후,3001
250409,가덕도,2504
250408,양곡천,2504
250407,남천,2504
250406,삼호천,2504
250405,진동천,2504
250404,진전천,2504
250403,황리천,2504
250402,용정천,2504
250401,보전천,2504
250305,소동천,2503
250304,둔덕천,2503
250303,외포천,2503
250302,사등천,2503
250301,통영시섬군,2503
250205,창선천,2502
250204,화천,2502
250203,금평천,2502
250202,대곡천,2502
250201,정포천,2502
250109,학림천,2501
250108,삼천포천,2501
250107,죽천천,2501
250106,사천강,2501
250105,중선포천,2501
250104,가화천,2501
250103,묵곡천,2501
250102,곤양천,2501
250101,관곡천,2501
240306,수렴천,2403
240305,하서천,2403
240304,대종천,2403
240303,대화천,2403
240302,냉천,2403
240301,동해면,2403
240208,곡강천,2402
240207,용연댐,2402
240206,광천,2402
240205,장사천,2402
240204,영덕오십천하류,2402
240203,대서천,2402
240202,영덕오십천상류,2402
240201,축산천,2402
240111,울릉도,2401
240110,송천,2401
240109,삼율천,2401
240108,남대천,2401
240107,척산천,2401
240106,왕피천,2401
240105,광천,2401
240104,매화천,2401
240103,장수포천,2401
240102,남대천,2401
240101,부구천,2401
230206,부산천,2302
230205,동천,2302
230204,죽성천,2302
230203,수영강,2302
230202,회동댐,2302
230201,효암천,2302
230103,회야강,2301
230102,회야댐,2301
230101,청량천,2301
220106,태화강,2201
220105,동천,2201
220104,삼호수위표,2201
220103,사연댐,2201
220102,대암댐,2201
220101,조동수위표,2201
210109,형산강하류,2101
210108,안강수위표,2101
210107,기계천,2101
210106,칠평천,2101
210105,북천,2101
210104,덕동댐,2101
210103,남천,2101
210102,대천,2101
210101,형산강상류,2101
202208,낙동강하구언,2022
202207,서낙동강,2022
202206,조만강,2022
202205,구포수위표,2022
202204,양산천하류,2022
202203,양산천상류,2022
202202,월촌수위표,2022
202201,원동천합류전,2022
202109,밀양강,2021
202108,밀양수위표,2021
202107,단장천,2021
202106,동천,2021
202105,밀양댐,2021
202104,청도천하류,2021
202103,청도천상류,2021
202102,동창천,2021
202101,운문댐,2021
202010,밀양강합류전,2020
202009,화포천,2020
202008,주천강,2020
202007,청도천,2020
202006,신천합류후,2020
202005,임해진수위표,2020
202004,함안창녕보,2020
202003,광려천,2020
202002,계성천,2020
202001,진동수위표,2020
201910,남강하류,2019
201909,함안천,2019
201908,함안천합류전,2019
201907,의령천,2019
201906,석교천,2019
201905,정암수위표,2019
201904,반성천,2019
201903,반성천합류후,2019
201902,영천강,2019
201901,영천강합류전,2019
201814,남강댐,2018
201813,덕천강하류,2018
201812,시천천,2018
201811,덕천강상류,2018
201810,남강댐상류,2018
201809,양천,2018
201808,신등천,2018
201807,양천합류전,2018
201806,산청수위표,2018
201805,임천,2018
201804,람천,2018
201803,함양위천,2018
201802,함양위천합류전,2018
201801,남강상류,2018
201705,남강합류전,2017
201704,마수원수위표,2017
201703,신반천,2017
201702,유곡천,2017
201701,적포교수위표,2017
201604,황강합류후,2016
201603,죽고수위표,2016
201602,합천수위표하류,2016
201601,합천수위표,2016
201508,합천댐,2015
201507,사천천,2015
201506,가천천,2015
201505,합천댐상류,2015
201504,거창위천하류,2015
201503,거창위천상류,2015
201502,황강상류,2015
201501,계수천,2015
201407,창녕합천보,2014
201406,차천,2014
201405,달창댐,2014
201404,현풍수위표,2014
201403,달성보,2014
201402,고령교수위표,2014
201401,진천천,2014
201307,회천하류,2013
201306,안림천,2013
201305,묘산천,2013
201304,가야천,2013
201303,회천상류,2013
201302,대가천,2013
201301,성주댐,2013
201219,금호강하류,2012
201218,이언천,2012
201217,팔거천,2012
201216,신천하류,2012
201215,신천상류,2012
201214,금호강중류,2012
201213,동화천,2012
201212,공산댐,2012
201211,동촌수위표,2012
201210,남천,2012
201209,오목천,2012
201208,청통천,2012
201207,금호강상류,2012
201206,금호강시점,2012
201205,신령천,2012
201204,고현천,2012
201203,고촌천,2012
201202,자호천,2012
201201,영천댐,2012
201108,강정고령보,2011
201107,백천하류,2011
201106,이천,2011
201105,백천상류,2011
201104,성주수위표,2011
201103,칠곡보,2011
201102,한천,2011
201101,한천합류후,2011
201008,감천하류,2010
201007,율곡천,2010
201006,아천,2010
201005,김천수위표,2010
201004,직지사천,2010
201003,감천중류,2010
201002,감천상류,2010
201001,부항댐,2010
200902,구미보,2009
200901,낙단보,2009
200810,위천,2008
200809,용곡수위표,2008
200808,쌍계천하류,2008
200807,남대천,2008
200806,쌍계천상류,2008
200805,쌍계천합류전,2008
200804,남천,2008
200803,병천교수위표,2008
200802,미성교수위표,2008
200801,화북댐,2008
200703,위천합류전,2007
200702,상주보,2007
200701,영강합류전,2007
200603,병성천하류,2006
200602,북천,2006
200601,병성천상류,2006
200507,영강하류,2005
200506,이안천하류,2005
200505,이안천상류,2005
200504,점촌수위표,2005
200503,조령천,2005
200502,영강중류,2005
200501,영강상류,2005
200417,내성천하류,2004
200416,금천,2004
200415,대하리천,2004
200414,경천댐,2004
200413,한천하류,2004
200412,예천수위표,2004
200411,한천상류,2004
200410,월포수위표,2004
200409,옥계천,2004
200408,내성천중류,2004
200407,서천하류,2004
200406,죽계천,2004
200405,서천상류,2004
200404,영주댐,2004
200403,토일천,2004
200402,내성천상류,2004
200401,낙화암천,2004
200308,내성천합류전,2003
200307,광산천,2003
200306,광산천합류전,2003
200305,신역천,2003
200304,안동댐역조정지하류,2003
200303,미천하류,2003
200302,미천상류,2003
200301,송야천,2003
200216,반변천하류,2002
200215,길안천하류,2002
200214,길안수위표,2002
200213,길안천상류,2002
200212,성덕댐,2002
200211,임하댐,2002
200210,용전천하류,2002
200209,괘천합류후,2002
200208,용전천상류,2002
200207,임하댐상류,2002
200206,화매천,2002
200205,화매천합류전,2002
200204,동천,2002
200203,동천합류전,2002
200202,장파천,2002
200201,반변천상류,2002
200112,안동댐역조정지,2001
200111,안동댐,2001
200110,동계천,2001
200109,안동댐상류,2001
200108,도산수위표,2001
200107,운곡천,2001
200106,운곡천합류전,2001
200105,재산천합류전,2001
200104,현동천,2001
200103,소천수위표,2001
200102,낙동강상류,2001
200101,황지천,2001
130305,가곡천,1303
130304,호산천,1303
130303,마읍천,1303
130302,삼천오십천하류,1303
130301,삼척오십천상류,1303
130207,전천,1302
130206,주수천,1302
130205,군선천,1302
130204,강릉남대천,1302
130203,오봉댐,1302
130202,사천천,1302
130201,연곡천,1302
130109,남강,1301
130108,상운천,1301
130107,양양남대천,1301
130106,후천,1301
130105,청초천,1301
130104,남천,1301
130103,북천,1301
130102,자산천,1301
130101,현내면,1301
120206,남양방조제,1202
120205,자안천,1202
120204,시화방조제,1202
120203,송산면,1202
120202,반월천,1202
120201,화정천,1202
120108,웅진군,1201
120107,영종도,1201
120106,강화도,1201
120105,삼흥천,1201
120104,삼동암천,1201
120103,장수천,1201
120102,공촌천,1201
120101,포내천,1201
110118,아산방조제,1101
110117,둔포천,1101
110116,아산방조제상류,1101
110115,진위천,1101
110114,동연교수위표,1101
110113,황구지천하류,1101
110112,황구지천상류,1101
110111,오산천,1101
110110,기흥댐,1101
110109,이동댐,1101
110108,진위천합류전,1101
110107,평택수위표,1101
110106,성환천,1101
110105,입장천,1101
110104,청룡천,1101
110103,한천,1101
110102,고삼댐,1101
110101,안성천상류,1101
102401,한강하류,1024
102309,임진강하류,1023
102308,사천,1023
102307,백전리하천,1023
102306,문산천하류,1023
102305,문산천상류,1023
102304,문산천합류후,1023
102303,눌노천합류후,1023
102302,사미천,1023
102301,적성수위표,1023
102215,한탄강하류,1022
102214,차탄천,1022
102213,신천하류,1022
102212,청담천,1022
102211,신천상류,1022
102210,영평천하류,1022
102209,포천천하류,1022
102208,포천천상류,1022
102207,수입천,1022
102206,영평천상류,1022
102205,한탄강댐,1022
102204,부소천합류후,1022
102203,대교천합류후,1022
102202,화강,1022
102201,한탄강상류,1022
102109,한탄강합류후,1021
102108,군남홍수조절지,1021
102107,역곡천,1021
102106,봉래호,1021
102105,역곡천합류후,1021
102104,평안천하류,1021
102103,평안천상류,1021
102102,평안천합류후,1021
102101,이천수위표,1021
102005,고미탄천하류,1020
102004,용지천,1020
102003,고미탄천상류,1020
102002,고미탄천합류후,1020
102001,임진강상류,1020
101908,아라천,1019
101907,굴포천,1019
101906,임진강합류전,1019
101905,공릉천하류,1019
101904,공릉천상류,1019
101903,계양천합류후,1019
101902,행주대교수위표,1019
101901,창릉천,1019
101816,안양천하류,1018
101815,안양천중류,1018
101814,안양천상류,1018
101813,홍제천,1018
101812,홍제천합류전,1018
101811,한강대교수위표,1018
101810,중랑천하류,1018
101809,청계천,1018
101808,중랑천상류,1018
101807,중랑천합류전,1018
101806,탄천하류,1018
101805,성남수위표,1018
101804,탄천상류,1018
101803,왕숙천,1018
101802,퇴계원수위표,1018
101801,팔당댐하류,1018
101701,팔당댐,1017
101605,경안천하류,1016
101604,곤지암천,1016
101603,경안수위표,1016
101602,오산천,1016
101601,경안천상류,1016
101508,북한강하류,1015
101507,벽계천,1015
101506,청평댐하류,1015
101505,구운천,1015
101504,조종천하류,1015
101503,조종천상류,1015
101502,청평댐,1015
101501,미원천,1015
101414,홍천강하류,1014
101413,중방대천,1014
101412,서면수위표,1014
101411,양덕원천,1014
101410,양덕원천합류전,1014
101409,성동천,1014
101408,홍천수위표,1014
101407,덕치천,1014
101406,덕치천합류전,1014
101405,군업천,1014
101404,화촌수위표,1014
101403,홍천강상류,1014
101402,내촌천하류,1014
101401,내촌천상류,1014
101307,청평댐상류,1013
101306,가평천하류,1013
101305,가평천상류,1013
101304,가평수위표,1013
101303,팔미천,1013
101302,의암댐,1013
101301,공지천,1013
101208,소양강댐하류,1012
101207,소양강댐,1012
101206,양구교수위표,1012
101205,소양강상류,1012
101204,방태천,1012
101203,내린천하류,1012
101202,방내천,1012
101201,내린천상류,1012
101104,인북천하류,1011
101103,북천,1011
101102,인북천중류,1011
101101,인북천상류,1011
101012,춘천댐하류,1010
101011,춘천댐,1010
101010,지촌천,1010
101009,춘천댐상류,1010
101008,화천천,1010
101007,화천댐하류,1010
101006,화천댐,1010
101005,양구서천,1010
101004,서천,1010
101003,수입천하류,1010
101002,건솔리하천,1010
101001,수입천상류,1010
100904,평화의댐하류,1009
100903,평화의댐,1009
100902,금성천하류,1009
100901,금성천상류,1009
100813,금강산댐,1008
100812,금강천,1008
100811,동금강천하류,1008
100810,초거리하천,1008
100809,동금강천상류,1008
100808,현리하천,1008
100807,가성리하천,1008
100806,금강산댐상류,1008
100805,창도군,1008
100804,이포리하천,1008
100803,사두포천,1008
100802,신명리댐하류,1008
100801,신명리댐,1008
100719,남한강하류,1007
100718,양평수위표,1007
100717,흑천하류,1007
100716,흑천상류,1007
100715,흑천합류전,1007
100714,복하천하류,1007
100713,복하천중류,1007
100712,복하천상류,1007
100711,이포보,1007
100710,양화천,1007
100709,여주보,1007
100708,여주수위표,1007
100707,금당천,1007
100706,강천보,1007
100705,청미수위표,1007
100704,응천,1007
100703,청미천중류,1007
100702,죽산천,1007
100701,청미천상류,1007
100610,섬강하류,1006
100609,서곡천,1006
100608,간현수위표,1006
100607,삼산천,1006
100606,원주천,1006
100605,원주천합류전,1006
100604,전천,1006
100603,금계천,1006
100602,횡성댐하류,1006
100601,횡성댐,1006
100505,섬강합류전,1005
100504,운계천,1005
100503,운계천합류전,1005
100502,목계수위표,1005
100501,충주조정지댐,1005
100414,달천하류,1004
100413,요도천,1004
100412,석문동천,1004
100411,석문동천합류전,1004
100410,음성천,1004
100409,괴산댐하류,1004
100408,동진천,1004
100407,쌍천,1004
100406,괴산댐,1004
100405,화양천,1004
100404,압항천,1004
100403,압항천합류전,1004
100402,감천,1004
100401,달천상류,1004
100320,충주댐하류,1003
100319,충주댐,1003
100318,동달천,1003
100317,광천,1003
100316,원서천,1003
100315,제천천하류,1003
100314,장평천,1003
100313,제천천상류,1003
100312,충주댐상류,1003
100311,단양천,1003
100310,단양천합류후,1003
100309,죽령천,1003
100308,매포천,1003
100307,하일천합류후,1003
100306,사이곡천합류전,1003
100305,옥동천하류,1003
100304,내린천,1003
100303,옥동천중류,1003
100302,옥동천상류,1003
100301,평창강합류후,1003
100213,평창강하류,1002
100212,문곡천,1002
100211,쌍용천,1002
100210,주천강하류,1002
100209,주천강중류,1002
100208,주천강상류,1002
100207,주천강시점,1002
100206,평창강중류,1002
100205,평창수위표,1002
100204,계촌천,1002
100203,대화천,1002
100202,평창강상류,1002
100201,흥정천,1002
100117,영월,1001
100116,석항천,1001
100115,창리천,1001
100114,지장천하류,1001
100113,지장천상류,1001
100112,정선,1001
100111,어천하류,1001
100110,어천상류,1001
100109,오대천하류,1001
100108,오대천상류,1001
100107,골지천하류,1001
100106,송천,1001
100105,도암댐,1001
100104,골지천중류,1001
100103,임계천,1001
100102,광동댐하류,1001
100101,광동댐,1001
