수계,하천명 ,본류,하천코드,하천등급,시도기점,시군구기점,읍면동기점,경계기점,시도종점,시군구종점,읍면동종점,경계종점
한강,한강,한강,1000010,국가,강원,정선,여량,송천 합류점,경기,김포,월곳,용강리유도 31m산정부터 남북으로그은직선
한강,평창강,한강,1000170,국가,강원,평창,대화,대화천(지방) 합류점,강원,영월,영월,한강(국가) 합류점
한강,달천,한강,1000870,국가,충북,청주,미원,계원천(소) 합류점,충북,충주,중앙탑,한강(국가) 합류점
한강,섬강,한강,1001330,국가,강원,횡성,횡성,금계천(지방) 합류점,경기,여주,강천,한강(국가) 합류점
한강,원주천,한강,1001470,국가,강원,원주,판부,가리파천 (소하천)합류점,강원,원주,호저,섬강(국가) 합류점
한강,청미천,한강,1001630,국가,경기,이천,장호원,응천(지방) 합류점,경기,여주,점동,한강(국가) 합류점
한강,복하천,한강,1002190,국가,경기,이천,호법,원두천(지방) 합류점,경기,여주,흥천,한강(국가) 합류점
한강,북한강,한강,1002710,국가,강원,철원,원동,휴전선,경기,양평,양서,한강(국가) 합류점
한강,양구서천,한강,1002720,국가,강원,양구,양구,정림교,강원,양구,양구,북한강(국가) 합류점
한강,소양강,한강,1003000,국가,강원,인제,인제,인북천(지방) 합류점,강원,춘천,근화,북한강(국가) 합류점
한강,홍천강,한강,1003580,국가,강원,홍천,두촌,장남천(지방) 합류점,강원,춘천,남,북한강(국가) 합류점
한강,경안천,한강,1004290,국가,경기,광주,오포,용인시 모현면 경계,경기,광주,남종,한강(국가) 합류점
한강,중랑천,한강,1005090,국가,경기,의정부,장암,시도경계선의최북단에위치한 점에서동서로그은직선,서울,성동,금호,한강(국가) 합류점
한강,안양천,한강,1005380,국가,경기,안양,안양,경부본선철교,서울,영등포,양평,한강(국가) 합류점
한강,목감천,한강,1005500,국가,경기,시흥 광명,논곡 가학,-,서울,구로,개봉,안양천(국가) 합류점
한강,굴포천,한강,1005640,국가,인천,부평,갈산,193-61번지선,경기,김포,고촌,한강(국가) 합류점
한강,공릉천,한강,1005810,국가,경기,파주 고양,"조리 지영,내유","조리면,지영동, 내유동경계",경기,파주,교하,한강(국가) 합류점
한강,임진강,한강,1005980,국가,경기,연천,왕징,휴전선,경기,파주,탄현,한강(국가) 합류점
한강,신천,한강,1006430,국가,경기,양주,남,입암천(지방) 합류점,경기,연천,청산면,한탄강(지방) 합류점
한강,문산천,한강,1006760,국가,경기,파주,파주,"파주읍,광탄면, 월롱면의 경계",경기,파주,문산,임진강(국가) 합류점
한강,달천,한강,1010870,지방,충북,보은,속리산,사내리,충북,청주,미원,달천(국가) 기점
한강,소양강,한강,1013000,지방,강원,인제,기린,방태천(지방) 합류점,강원,인제,인제,소양강(국가) 기점
한강,인북천,한강,1013100,지방,강원,인제,서화,가전리휴전선,강원,인제,인제,소양강(국가) 합류점
한강,청계천,한강,1015270,지방,서울,종로,서린,148번지,서울,성동,용답,중랑천(국가) 합류점
한강,한탄강,한강,1016100,지방,강원,철원,갈말,정연리남방 한계선,경기,연천,전곡,임진강(국가) 합류점
한강,화강,한강,1016110,지방,강원,철원,근동,휴전선,강원,철원,김화,한탄강(지방) 합류점
한강,영평천,한강,1016240,지방,경기,포천,이동,도평리,경기,연천,청산,한탄강(지방) 합류점
한강,사천,한강,1016860,지방,경기,파주,군내,어룡리판문점 휴전선,경기,파주,장탄,임진강(국가) 합류점
한강,골지천,한강,1020020,지방,강원,태백,상사미,부정당,강원,정선,북평,한강(국가) 기점
한강,당곡천,한강,1020030,지방,강원,삼척,하장,중봉리 산68-2,강원,삼척,하장,골지천(지방) 합류점
한강,임계천,한강,1020040,지방,강원,정선,임계,도전리도전분교,강원,정선,임계,골지천(지방) 합류점
한강,송현천,한강,1020050,지방,강원,강릉,왕산,송현리 207-1번지,강원,정선,임계,임계천(지방) 합류점
한강,송천,한강,1020060,지방,강원,평창,대관령,횡계리 산1-122 (상정평),강원,정선,여량,골지천(지방) 합류점
한강,대기천,한강,1020070,지방,강원,강릉,왕산,대기리늪골천 합류점,강원,강릉,왕산,송천(지방) 합류점
한강,봉산천,한강,1020080,지방,강원,평창,진부,봉산리봉두곤리천 합류점,강원,정선,여량,송천(지방) 합류점
한강,오대천,한강,1020090,지방,강원,평창,진부,동산리 상원사앞 합류점,강원,정선,북평,한강(국가) 기점
한강,월정천,한강,1020100,지방,강원,평창,대관령,유천리고교 합류점,강원,평창,진부,오대천(지방) 합류점
한강,척천,한강,1020110,지방,강원,평창,진부,척천리저교 합류점,강원,평창,진부,오대천(지방) 합류점
한강,어천,한강,1020120,지방,강원,정선,화암,백전리하판내,강원,정선,정선,한강(국가) 합류점
한강,용탄천,한강,1020130,지방,강원,정선,정선,회동리장항동 합류점,강원,정선,정선,한강(국가) 합류점
한강,지장천,한강,1020140,지방,강원,정선,고한,고한리 정암사 합류점,강원,정선,정선,한강(국가) 합류점
한강,창리천,한강,1020150,지방,강원,평창,미탄,평안2리 한치동,강원,평창,미탄,마하리 한강 (국가) 합류점
한강,석항천,한강,1020160,지방,강원,정선,신동,조동리 안경다리앞,강원,영월,영월,한강(국가) 합류점
한강,평창강,한강,1020170,지방,강원,평창,용평,"흥정천, 속사천 (지방) 합류점",강원,평창,대화,평창강(국가) 합류점
한강,속사천,한강,1020180,지방,강원,평창,용평,노동리 산30-1지번선,강원,평창,용평,평창강(지방) 합류점
한강,도사천,한강,1020190,지방,강원,평창,용평,도사리쌍둔지 합류점,강원,평창,용평,속사천(지방) 합류점
한강,흥정천,한강,1020200,지방,강원,평창,봉평,흥정리 화명동천 합류점,강원,평창,용평,평창강(지방) 합류점
한강,덕거천,한강,1020210,지방,강원,평창,봉평,덕거리매지동천,강원,평창,봉평,흥정천(지방) 합류점
한강,면온천,한강,1020220,지방,강원,평창,봉평,무이리,강원,평창,봉평,평창강(지방) 합류점
한강,대화천,한강,1020230,지방,강원,평창,대화,대화리소근리 합류점,강원,평창,대화,평창강(국가) 합류점
한강,하안미천,한강,1020240,지방,강원,평창,대화,하안미리 도치동 합류점,강원,평창,대화,평창강(국가) 합류점
한강,계촌천,한강,1020250,지방,강원,평창,방림,운교리 운교교,강원,평창,방림,방림리 1615-1일원 (평창강 합류점)
한강,고길천,한강,1020260,지방,강원,평창,평창,지동리,강원,평창,평창,평창강(국가) 합류점
한강,판운천,한강,1020270,지방,강원,영월,주천,판운리중선분교 교량합류점,강원,영월,주천,평창강(국가) 합류점
한강,주천강,한강,1020280,지방,강원,횡성,둔내,화동리,강원,영월,한반도,평창강(국가) 합류점
한강,석문천,한강,1020290,지방,강원,횡성,둔내,삽교리 노루목 합류점,강원,횡성,둔내,주천강(지방) 합류점
한강,상안천,한강,1020300,지방,강원,횡성,안흥,상안리 상안분교앞,강원,횡성,안흥,주천강(지방) 합류점
한강,강림천,한강,1020310,지방,강원,횡성,강림,부곡리,강원,횡성,강림,주천강(지방) 합류점
한강,운학천,한강,1020320,지방,강원,영월,수주,운학리 큰골 합류점,강원,영월,수주,주천강(지방) 합류점
한강,황둔천,한강,1020330,지방,강원,원주,신림,황둔리,강원,원주,신림,주천강(지방) 합류점
한강,오미천,한강,1020340,지방,충북,제천,송학,오미리,강원,원주,신림,황둔천(지방) 합류점
한강,법흥천,한강,1020350,지방,강원,영월,수주,법흥리절골천 (소)합류점,강원,영월,수주,주천강(지방) 합류점
한강,신일천,한강,1020360,지방,강원,영월,주천,신일리,강원,영월,주천,주천강(지방) 합류점
한강,송한천,한강,1020370,지방,충북,제천,송학,송한리,강원,영월,주천,주천강(지방) 합류점
한강,무도천,한강,1020380,지방,충북,제천,송학,도화리,강원,영월,한반도,평창강(국가) 합류점
한강,쌍용천,한강,1020390,지방,강원,영월,남,토교리삼화천 합류점,강원,영월,한반도,평창강(국가) 합류점
한강,삼화천,한강,1020400,지방,충북,단양,어상천,대전리 694,강원,영월,남,쌍용천(지방) 합류점
한강,연당천,한강,1020410,지방,강원,영월,남,창원리명전 합류점,강원,영월,남,연당리 870-3 (평창강 합류점)
