수계,홍수,특보,특보,홍수,,,,계획홍수위,,계획,수위표,제방고,,,,하폭
,특보,지점,지점,특보 수위,,,,,,홍수량,영점,,,,,(m)
,지점명,위치,및,,,,,,,(㎥/sec),표고,,,,,
,(하천명),,기준,,,,,,,,(El.m),,,,,
,,,수위,주의보,,경 보,,,,,,좌안,,우안,,
,,,고시일,수위표,해발,수위표,해발,수위표,해발,,,수위표,해발,수위표,해발,
,,,,기준,기준,기준,기준,기준,기준,,,기준,기준,기준,기준,
,,,,(m),(El.m),(m),(El.m),(m),(El.m),,,(m),(El.m),(m),(El.m),
한강,서울시,서울시,00.04.15,8.5,10.57,10.5,12.57,12.8,14.87,"37,000",2.07,15.93,18,16.43,18.5,"1,013"
,(한강대교),한강대교,,,,,,,,,,,,,,
,(한강),,,,,,,,,,,,,,,
,정선군,정선군,24.04.23,5.5,337.56,6.5,338.56,7.56,339.62,"3,669",332.06,8.88,340.94,8.88,340.94,-
,(남평대교),남평대교,,,,,,,,,,,,,,
,(한강),,,,,,,,,,,,,,,
,여주시,여주시,12.05.15,6,38.53,8,40.53,9.19,41.72,"16,070",32.53,14.6,47.13,14.59,47.12,502
,(여주대교),여주대교,,,,,,,,,,,,,,
,(한강),,,,,,,,,,,,,,,
,정선군,정선군,21.12.28,6.7,301.99,8.6,303.89,10.5,305.79,"4,934",295.29,15.52,310.81,15.5,310.79,340
,(정선제1교),정선제1교,,,,,,,,,,,,,,
,(한강),,,,,,,,,,,,,,,
,영월군,영월군,07.04.05,6.6,189.81,8.5,191.71,10.5,193.71,"5,656",183.21,13.8,197.01,13.8,197.01,260
,(영월대교),영월대교,,,,,,,,,,,,,,
,(한강),,,,,,,,,,,,,,,
평창강,평창군,평창군,18.04.09,5.6,293.07,7.2,294.67,8.8,296.27,"4,630",287.47,10.45,297.92,10.27,297.74,260
,(평창교),평창교,,,,,,,,,,,,,,
,(평창강),,,,,,,,,,,,,,,
주천강,영월군,영월군,21.05.04,5,245.56,6,246.56,6.79,247.35,"2,840",240.56,8.94,249.5,8.89,249.45,140
,(주천교),주천교,,,,,,,,,,,,,,
,(주천강),,,,,,,,,,,,,,,
,영월군,영월군,24.04.23,6.5,216.99,7.5,217.99,8,218.49,"2,955",210.49,13.55,224.04,11.85,222.34,-
,(신천교),신천교,,,,,,,,,,,,,,
,(주천강),,,,,,,,,,,,,,,
달천,괴산군,괴산군,19.04.18,6.2,92.99,7.1,93.89,8.5,95.29,"4,455",86.79,12.87,99.66,12.75,99.54,-
,(목도교),목도교,,,,,,,,,,,,,,
,(달천),,,,,,,,,,,,,,,
섬강,원주시,원주시,15.05.04,4.6,55.32,5.8,56.52,7.05,57.77,"7,220",50.72,9.77,60.49,9.81,60.53,537
,(문막교),문막교,,,,,,,,,,,,,,
,(섬강),,,,,,,,,,,,,,,
원주천,원주시,원주시,24.04.23,3,122.72,3.9,123.62,4.8,124.52,"1,190",119.72,5.79,125.51,5.79,125.51,113
,(원주교),원주교,,,,,,,,,,,,,,
,(원주천),,,,,,,,,,,,,,,
청미천,여주시,여주시,18.04.09,5.5,56.45,6.5,57.45,7.63,58.58,"2,755",50.95,8.49,59.44,9.38,60.33,-
,(원부교),원부교,,,,,,,,,,,,,,
,(청미천),,,,,,,,,,,,,,,
복하천,여주시,여주시,20.05.06,6.2,37.74,6.9,38.44,7.4,38.94,"2,170",31.54,9.96,41.5,9.29,40.83,-
,(흥천대교),흥천대교,,,,,,,,,,,,,,
,(복하천),,,,,,,,,,,,,,,
홍천강,홍천군,홍천군,17.05.02,5.3,125.03,6.4,126.13,7.35,127.08,"4,315",119.73,10.93,130.66,10.93,130.66,151
,(홍천교),홍천교,,,,,,,,,,,,,,
,(홍천강),,,,,,,,,,,,,,,
경안천,광주시,광주시,17.05.02,4,38.11,5,39.11,6.13,40.24,"2,340",34.11,8.99,43.1,9.29,43.4,179
,(경안교),경안교,,,,,,,,,,,,,,
,(경안천),,,,,,,,,,,,,,,
중랑천,서울시,서울시,07.04.05,5,14.17,6.5,15.67,7.89,17.06,"1,950",9.17,9.29,18.46,9.28,18.45,180
,(중랑교),중랑교,,,,,,,,,,,,,,
,(중랑천),,,,,,,,,,,,,,,
안양천,서울시,서울시,15.05.04,7,10,9,12,11,14,"1,800",3,13.1,16.1,12.9,15.9,270
,(오금교),오금교,,,,,,,,,,,,,,
,(안양천),,,,,,,,,,,,,,,
목감천,서울시,서울시,24.04.23,3.5,10.37,4.5,11.37,4.9,11.77,210,6.87,5.64,12.51,6.64,13.51,-
,(너부대교),너부대교,,,,,,,,,,,,,,
,(목감천),,,,,,,,,,,,,,,
임진강,연천군,연천군,24.04.23,8.3,25.26,10.8,27.76,13.3,30.26,"11,000",16.96,16.98,33.94,17.08,34.04,-
,(임진교),임진교,,,,,,,,,,,,,,
,(임진강),,,,,,,,,,,,,,,
,파주시,파주시,00.11.,11.5,16.93,13.5,18.93,16.5,21.93,"15,060",5.43,24.07,29.5,23.07,28.5,395
,(비룡대교),비룡대교,,,,,,,,,,,,,,
,(임진강),,,,,,,,,,,,,,,
한탄강,연천군,연천군,06.02.,9,27.31,11.6,29.91,14,32.31,"8,006",18.31,18.69,37,19.63,37.94,164
,(사랑교),사랑교,,,,,,,,,,,,,,
,(한탄강),,,,,,,,,,,,,,,
신천,동두천시,동두천시,24.04.23,4,61.03,5,62.03,6.46,63.49,"1,600",57.03,6.77,63.8,6.77,63.8,-
,(송천교),송천교,,,,,,,,,,,,,,
,(신천),,,,,,,,,,,,,,,
,연천군,연천군,24.04.23,4.8,32.23,5.5,32.93,6.65,34.08,"2,565",27.43,8.6,36.03,8.6,36.03,-
,(신천교),신천교,,,,,,,,,,,,,,
,(신천),,,,,,,,,,,,,,,
화강,철원군,철원군,24.04.23,5.5,198.84,7,200.34,8.6,201.94,"2,790",193.34,12.83,206.17,12.73,206.07,-
,(장수대교),장수대교,,,,,,,,,,,,,,
,(화강),,,,,,,,,,,,,,,
영평천,포천시,포천시,19.04.18,5.5,61.85,6.2,62.55,7.09,63.44,"3,440",56.35,9.19,65.54,9.32,65.67,191
,(영평교),영평교,,,,,,,,,,,,,,
,(영평천),,,,,,,,,,,,,,,
골지천,정선군,정선군,24.04.23,5.2,374.69,6.5,375.99,7.78,377.27,"2,599",369.49,12.16,381.65,12.67,382.16,-
,(제1여량교),제1여량교,,,,,,,,,,,,,,
,(골지천),,,,,,,,,,,,,,,
송천,정선군,정선군,24.04.23,4.9,379.59,6.4,381.09,8.1,382.79,"2,955",374.69,9.37,384.06,9.15,383.84,-
,(송천교),송천교,,,,,,,,,,,,,,
,(송천),,,,,,,,,,,,,,,
