obscd,gdt
1001602,511.589
1001603,687.824
1001605,724.782
1001607,718.848
1001620,491.02
1001622,479.382
1001623,443.247
1001625,374.685
1001626,369.492
1001629,332.062
1001630,333.208
1001641,522.577
1001645,313.547
1001649,300.915
1001650,477.886
1001655,295.289
1001658,273.539
1001660,324.016
1001661,296.621
1001665,218.773
1001670,196.936
1001680,194.346
1001683,189.914
1001690,183.205
1001695,225.426
1002605,590.873
1002610,526.963
1002615,521.641
1002625,384.887
1002626,463.44
1002635,374.616
1002636,366.978
1002640,359.217
1002650,287.472
1002655,240.893
1002670,482.348
1002675,414.303
1002680,306.256
1002685,240.555
1002687,210.492
1002690,193.466
1002691,195.757
1002693,199.577
1002694,191.95
1002695,192.189
1002698,181.215
1003601,423.394
1003603,255.18
1003605,269.682
1003620,183.969
1003625,165.335
1003626,155.052
1003630,159.971
1003632,155.72
1003636,139.454
1003640,137.12
1003642,135.027
1003643,222.493
1003645,140.903
1003650,112.709
1003652,264.56
1003654,158.201
1003657,227.634
1003658,219.627
1003660,214.71
1003661,185.267
1003665,0.0
1003666,0.0
1003667,226.251
1003670,62.031
1003680,221.0
1004616,209.399
1004620,198.602
1004630,156.975
1004631,173.029
1004640,200.251
1004645,110.221
1004646,118.175
1004661,105.05
1004670,95.281
1004680,98.733
1004690,71.187
1004693,86.793
1004694,76.575
1004695,63.819
1004696,70.429
1005605,63.579
1005620,0.0
1005635,0.0
1005640,52.337
1005650,65.667
1005660,59.394
1005695,43.84
1005697,39.676
1006610,186.458
1006612,176.592
1006628,145.685
1006630,118.391
1006650,106.053
1006660,107.876
1006664,150.955
1006665,119.723
1006666,94.836
1006670,80.576
1006672,77.58
1006676,202.0
1006677,80.494
1006680,59.492
1006685,96.038
1006690,50.72
1007604,76.169
1007605,56.683
1007606,87.003
1007608,65.861
1007609,77.557
1007610,67.13
1007613,67.99
1007615,50.945
1007617,42.076
1007620,38.4
1007625,36.292
1007626,38.853
1007633,0.0
1007634,0.0
1007635,32.529
1007637,40.41
1007639,0.0
1007640,32.057
1007641,0.0
1007642,58.99
1007645,46.418
1007650,31.536
1007655,30.136
1007656,0.0
1007660,26.105
1007662,0.0
1007664,0.0
1007680,31.286
1007685,19.558
1007687,108.11
1007688,96.165
1007690,78.78
1007695,54.965
1007697,24.29
1010630,248.93
1010631,230.012
1010633,187.22
1010640,223.61
1010660,0.268
1010670,166.08
1010673,128.28
1010674,108.293
1010675,98.043
1010680,98.139
1010686,257.776
1010690,-0.022
1010695,71.811
1011620,306.678
1011640,302.349
1011650,231.81
1011690,218.337
1011693,227.837
1011695,192.943
