,korObs,korInst,waterElevation,sphereLarge,inOperation,methodObs,codeObs,codeWatershed,korStream,1차,2차,3차,4차,5차,6차,7차,8차
0,가평군(가평교),기후에너지환경부,51.62,한강,운영,T/M,1013655.0,101306,가평천하류,143.0,38,8,3,2,1,,
1,가평군(대보교),기후에너지환경부,102.19,한강,운영,T/M,1015620.0,101504,조종천하류,86.0,20,5,2,1,,,
2,가평군(선촌2교),기후에너지환경부,52.88,한강,운영,T/M,1015636.0,101501,미원천,75.0,19,5,2,2,,,
3,가평군(신상교),기후에너지환경부,137.63,한강,운영,T/M,1015611.0,101503,조종천상류,77.0,25,5,2,1,,,
4,가평군(신청평대교),기후에너지환경부,23.93,한강,운영,T/M,1015645.0,101506,청평댐하류,139.0,30,6,1,1,,1,
5,가평군(오류동교),기후에너지환경부,37.37,한강,운영,T/M,1015655.0,101505,구운천,93.0,20,5,1,,,,
6,가평군(제령교),기후에너지환경부,103.31,한강,운영,T/M,1013650.0,101306,가평천하류,143.0,38,8,3,2,1,,
7,가평군(청평교),기후에너지환경부,32.47,한강,운영,T/M,1015644.0,101504,조종천하류,86.0,20,5,2,1,,,
8,가평군(청평댐),기후에너지환경부,51.12,한강,운영,T/M,1015640.0,101502,청평댐,126.0,28,6,1,1,1,1,
9,가평군(화악교),기후에너지환경부,136.03,한강,운영,T/M,1013651.0,101306,가평천하류,143.0,38,8,3,2,1,,
10,강릉시(난곡교),기후에너지환경부,4.96,,,,,320309,,,,,,,,,
11,강릉시(송림교),기후에너지환경부,4.72,한강동해,운영,T/M,1302670.0,130201,연곡천,296.0,86,15,4,1,,,
12,강릉시(오봉교),기후에너지환경부,58.12,한강동해,운영,T/M,1302646.0,130204,강릉남대천,174.0,53,14,4,2,1,,
13,강릉시(우정교),기후에너지환경부,60.95,,,,,130201,연곡천,296.0,86,15,4,1,,,
14,강릉시(회산교),기후에너지환경부,15.84,한강동해,운영,T/M,1302648.0,130204,강릉남대천,174.0,53,14,4,2,1,,
15,강천보(상류),기후에너지환경부,38.22,한강,운영,T/M,1007633.0,100706,강천보,329.0,87,19,5,,1,,1
16,강천보(하류),기후에너지환경부,33.37,한강,운영,T/M,1007634.0,100708,여주수위표,238.0,71,15,4,1,1,,1
17,강화군(강화대교),기후에너지환경부,-1.21,한강서해,운영,T/M,1201620.0,120104,삼동암천,97.0,37,9,2,,,,
18,고성군(간촌교),기후에너지환경부,6.88,,,,,101103,북천,209.0,42,8,3,1,,,
19,고양시(원당교),기후에너지환경부,21.01,한강,운영,T/M,1019667.0,101905,공릉천하류,74.0,25,7,1,1,,,1
20,고양시(은덕교),기후에너지환경부,22.83,한강,운영,T/M,1019606.0,101901,창릉천,279.0,86,21,5,1,,,
21,광명시(시흥대교),기후에너지환경부,6.75,한강,운영,T/M,1018693.0,101815,안양천중류,233.0,58,10,2,1,,,
22,광주시(경안교),기후에너지환경부,34.51,한강,운영,T/M,1016650.0,101603,경안수위표,227.0,59,16,5,2,1,,
23,광주시(광동교),기후에너지환경부,25.01,한강,운영,T/M,1016695.0,101605,경안천하류,546.0,141,35,7,1,2,2,
24,광주시(동림3교),기후에너지환경부,73.75,한강,운영,T/M,1016606.0,101602,오산천,92.0,24,4,1,,,,
25,광주시(부항교),기후에너지환경부,94.18,한강,운영,T/M,1016657.0,101604,곤지암천,538.0,145,31,10,2,2,,
26,광주시(서하교),기후에너지환경부,27.44,한강,운영,T/M,1016670.0,101605,경안천하류,546.0,141,35,7,1,2,2,
27,광주시(섬뜰교),기후에너지환경부,37.26,한강,운영,T/M,1016660.0,101604,곤지암천,538.0,145,31,10,2,2,,
28,광주시(오포대교),기후에너지환경부,43.03,한강,운영,T/M,1016645.0,101603,경안수위표,227.0,59,16,5,2,1,,
29,광주시(파발교),기후에너지환경부,37.68,한강,운영,T/M,1016651.0,101603,경안수위표,227.0,59,16,5,2,1,,
30,괴산군(목도교),기후에너지환경부,88.17,한강,운영,T/M,1004693.0,100409,괴산댐하류,270.0,67,12,3,1,1,1,
31,괴산군(비도교),기후에너지환경부,119.22,한강,운영,T/M,1004646.0,100407,쌍천,311.0,72,15,5,1,,,
32,괴산군(수전교),기후에너지환경부,110.65,한강,운영,T/M,1004645.0,100409,괴산댐하류,270.0,67,12,3,1,1,1,
33,괴산군(월문교),기후에너지환경부,175.96,한강,운영,T/M,1004631.0,100404,압항천,658.0,176,43,8,2,1,,
34,괴산군(적석교),기후에너지환경부,202.84,한강,운영,T/M,1004640.0,100407,쌍천,311.0,72,15,5,1,,,
35,괴산군(제2괴산교),기후에너지환경부,107.08,한강,운영,T/M,1004661.0,100408,동진천,439.0,99,21,5,2,1,,
36,괴산군(추산교),기후에너지환경부,96.07,한강,운영,T/M,1004670.0,100410,음성천,359.0,106,28,7,1,,1,
37,김포시(사우교),기후에너지환경부,2.21,한강,운영,T/M,1019661.0,101904,공릉천상류,125.0,39,12,2,1,,,
38,김포시(전류리),기후에너지환경부,1.24,한강,운영,T/M,1019675.0,101906,임진강합류전,253.0,62,20,5,2,,,
39,남양주시(내곡교),기후에너지환경부,34.43,한강,운영,T/M,1018625.0,101802,퇴계원수위표,480.0,130,33,8,1,,,
40,남양주시(부평교),기후에너지환경부,56.35,한강,운영,T/M,1018620.0,101802,퇴계원수위표,480.0,130,33,8,1,,,
41,남양주시(삼봉리),기후에너지환경부,25.05,한강,운영,T/M,1015680.0,101508,북한강하류,242.0,67,13,4,1,,1,
42,남양주시(연평대교),기후에너지환경부,44.71,한강,운영,T/M,1018623.0,101802,퇴계원수위표,480.0,130,33,8,1,,,
43,남양주시(왕숙교),기후에너지환경부,11.36,한강,운영,T/M,1018638.0,101803,왕숙천,389.0,110,26,5,2,1,,
44,남양주시(진관교),기후에너지환경부,22.01,한강,운영,T/M,1018630.0,101803,왕숙천,389.0,110,26,5,2,1,,
45,남양주시(퇴계원리),기후에너지환경부,21.96,한강,운영,T/M,1018635.0,101803,왕숙천,389.0,110,26,5,2,1,,
46,남양주시(팔당대교),기후에너지환경부,6.62,한강,운영,T/M,1018610.0,101801,팔당댐하류,355.0,95,27,8,2,,,1
47,남양주시(팔당댐),기후에너지환경부,24.96,한강,운영,T/M,1017690.0,101701,팔당댐,96.0,26,7,1,,,3,1
48,단양군(가대교),기후에너지환경부,141.45,한강,운영,T/M,1003636.0,100307,하일천합류후,373.0,84,15,4,1,,,1
49,단양군(단양1교),기후에너지환경부,141.3,한강,운영,T/M,1003645.0,100309,죽령천,327.0,76,13,3,1,,,
50,단양군(덕천교),기후에너지환경부,136.85,한강,운영,T/M,1003642.0,100310,단양천합류후,171.0,45,12,2,3,,,1
51,단양군(들골교),기후에너지환경부,157.94,한강,운영,T/M,1003626.0,100308,매포천,227.0,58,14,3,1,,,
52,단양군(음지교),기후에너지환경부,223.27,한강,운영,T/M,1003643.0,100309,죽령천,327.0,76,13,3,1,,,
53,동두천시(송천교),기후에너지환경부,58.3,한강,운영,T/M,1022668.0,102213,신천하류,225.0,54,13,5,2,1,,
54,동해시(북평교),기후에너지환경부,-0.08,한강동해,운영,T/M,1302668.0,130207,전천,377.0,90,26,5,2,1,,
55,부천시(도두리2교),기후에너지환경부,3.88,한강,운영,T/M,1019620.0,101907,굴포천,149.0,45,10,3,1,,,1
56,삼척시(남양촌교),기후에너지환경부,50.74,한강동해,운영,T/M,1303610.0,130305,가곡천,851.0,175,39,8,2,1,,
57,삼척시(마차교),기후에너지환경부,119.45,한강동해,운영,T/M,1303645.0,130301,삼척오십천상류,431.0,102,26,6,1,,,
58,삼척시(상정교),기후에너지환경부,44.32,한강동해,운영,T/M,1303650.0,130302,삼천오십천하류,684.0,140,38,9,2,2,,
59,삼척시(오십천교),기후에너지환경부,-0.15,한강동해,운영,T/M,1303680.0,130302,삼천오십천하류,684.0,140,38,9,2,2,,
60,삼척시(전두3교),기후에너지환경부,241.34,한강동해,운영,T/M,1303640.0,130301,삼척오십천상류,431.0,102,26,6,1,,,
61,서울시(광진교),기후에너지환경부,6.42,한강,운영,T/M,1018640.0,101807,중랑천합류전,112.0,32,8,3,1,2,,1
62,서울시(너부대교),기후에너지환경부,7.41,한강,운영,T/M,1018695.0,101815,안양천중류,233.0,58,10,2,1,,,
63,서울시(대곡교),기후에너지환경부,11.36,한강,운영,T/M,1018655.0,101806,탄천하류,158.0,44,11,3,2,1,,
64,서울시(대치교),기후에너지환경부,5.94,한강,운영,T/M,1018658.0,101806,탄천하류,158.0,44,11,3,2,1,,
65,서울시(신대방1교),기후에너지환경부,12.66,한강,운영,T/M,1018698.0,101816,안양천하류,65.0,17,5,1,1,,,
66,서울시(신림5교),기후에너지환경부,50.41,한강,운영,T/M,1018692.0,101816,안양천하류,65.0,17,5,1,1,,,
67,서울시(오금교),기후에너지환경부,3.68,한강,운영,T/M,1018697.0,101815,안양천중류,233.0,58,10,2,1,,,
68,서울시(월계2교),기후에너지환경부,16.63,한강,운영,T/M,1018670.0,101810,중랑천하류,276.0,77,19,4,1,,1,
69,서울시(잠수교),기후에너지환경부,2.76,한강,운영,T/M,1018680.0,101811,한강대교수위표,28.0,5,1,,,,1,1
70,서울시(중랑교),기후에너지환경부,9.65,한강,운영,T/M,1018675.0,101810,중랑천하류,276.0,77,19,4,1,,1,
71,서울시(창동교),기후에너지환경부,15.15,한강,운영,T/M,1018669.0,101810,중랑천하류,276.0,77,19,4,1,,1,
72,서울시(청담대교),기후에너지환경부,2.8,한강,운영,T/M,1018662.0,101807,중랑천합류전,112.0,32,8,3,1,2,,1
73,서울시(한강대교),기후에너지환경부,2.78,한강,운영,T/M,1018683.0,101812,홍제천합류전,1.0,,,,,,,1
74,서울시(행주대교),기후에너지환경부,2.71,한강,운영,T/M,1019630.0,101903,계양천합류후,368.0,104,29,7,1,,,
75,서울시(홍남교),기후에너지환경부,16.95,한강,운영,T/M,1018686.0,101813,홍제천,30.0,10,4,2,1,,,
76,성남시(궁내교),기후에너지환경부,33.83,한강,운영,T/M,1018650.0,101804,탄천상류,252.0,72,16,4,1,,,
77,성남시(둔전교),기후에너지환경부,18.99,한강,운영,T/M,1018653.0,101805,성남수위표,175.0,53,13,4,1,,,
78,속초시(도문교),기후에너지환경부,83.07,한강동해,운영,T/M,1301625.0,130105,청초천,141.0,36,9,3,,,,
79,속초시(응골교),기후에너지환경부,7.11,,,,,130105,청초천,141.0,36,9,3,,,,
80,수원시(매세교),기후에너지환경부,32.06,안성천,운영,T/M,1101601.0,110112,황구지천상류,292.0,82,20,5,2,1,,
81,수원시(백년교),기후에너지환경부,22.95,안성천,운영,T/M,1101604.0,110112,황구지천상류,292.0,82,20,5,2,1,,
82,아산시(운교교),기후에너지환경부,3.37,안성천,운영,T/M,1101688.0,110107,평택수위표,54.0,17,5,1,3,3,1,
83,안산시(안산10교),기후에너지환경부,0.63,한강서해,운영,T/M,1202650.0,120201,화정천,86.0,38,11,6,,,,
84,안성시(건천리),기후에너지환경부,8.27,안성천,운영,T/M,1101620.0,110107,평택수위표,54.0,17,5,1,3,3,1,
85,안성시(고지교),기후에너지환경부,13.67,안성천,운영,T/M,1101616.0,110104,청룡천,118.0,33,15,2,1,1,,
86,안성시(두현교),기후에너지환경부,89.46,한강,운영,T/M,1007606.0,100702,죽산천,123.0,35,6,1,,,,
87,안성시(옥산대교),기후에너지환경부,18.38,안성천,운영,T/M,1101610.0,110101,안성천상류,399.0,112,27,6,6,3,,
88,안성시(평촌교),기후에너지환경부,33.06,안성천,운영,T/M,1101611.0,110103,한천,179.0,52,13,3,1,,,
89,안성시(한천교),기후에너지환경부,12.03,안성천,운영,T/M,1101618.0,110103,한천,179.0,52,13,3,1,,,
90,안성시(한평교),기후에너지환경부,77.56,한강,운영,T/M,1007604.0,100701,청미천상류,286.0,75,15,3,1,,,
91,안성시(현수교),기후에너지환경부,26.79,안성천,운영,T/M,1101606.0,110101,안성천상류,399.0,112,27,6,6,3,,
92,안양시(충훈1교),기후에너지환경부,16.62,한강,운영,T/M,1018690.0,101815,안양천중류,233.0,58,10,2,1,,,
93,양구군(송청제2교),기후에너지환경부,188.63,한강,운영,T/M,1010633.0,101004,서천,133.0,30,9,1,,,,
94,양구군(양지교),기후에너지환경부,230.66,한강,운영,T/M,1010631.0,101004,서천,133.0,30,9,1,,,,
95,양양군(북평교),기후에너지환경부,7.36,한강동해,운영,T/M,1301632.0,130106,후천,363.0,89,17,3,2,,,
96,양양군(양양대교),기후에너지환경부,1.05,한강동해,운영,T/M,1301658.0,130107,양양남대천,410.0,92,23,5,3,1,,
97,양양군(용천2교),기후에너지환경부,8.66,한강동해,운영,T/M,1301630.0,130107,양양남대천,410.0,92,23,5,3,1,,
98,양주시(마전3교),기후에너지환경부,47.5,한강,운영,T/M,1018661.0,101808,중랑천상류,825.0,239,56,16,4,2,1,
99,양주시(발운2교),기후에너지환경부,74.26,한강,운영,T/M,1022660.0,102211,신천상류,55.0,14,3,1,,,,
100,양주시(제궁교),기후에너지환경부,53.68,한강,운영,T/M,1019663.0,101905,공릉천하류,74.0,25,7,1,1,,,1
101,양평군(다문교),기후에너지환경부,56.11,한강,운영,T/M,1007695.0,100717,흑천하류,400.0,111,25,7,1,1,,
102,양평군(보룡교),기후에너지환경부,97.9,한강,운영,T/M,1007688.0,100716,흑천상류,324.0,74,17,5,2,1,,
103,양평군(봉상교),기후에너지환경부,79.65,한강,운영,T/M,1007690.0,100717,흑천하류,400.0,111,25,7,1,1,,
104,양평군(신원리),기후에너지환경부,25.08,한강,운영,T/M,1007697.0,100719,남한강하류,295.0,70,15,3,1,,1,1
105,양평군(양평교),기후에너지환경부,25.01,한강,운영,T/M,1007685.0,100718,양평수위표,307.0,81,20,4,1,1,,1
106,양평군(여물교),기후에너지환경부,110.25,한강,운영,T/M,1007687.0,100716,흑천상류,324.0,74,17,5,2,1,,
107,양평군(흑천교),기후에너지환경부,32.41,한강,운영,T/M,1007680.0,100717,흑천하류,400.0,111,25,7,1,1,,
108,여주보(상류),기후에너지환경부,33.19,한강,운영,T/M,1007639.0,100709,여주보,265.0,83,24,6,1,,,1
109,여주보(하류),기후에너지환경부,28.55,한강,운영,T/M,1007641.0,100710,양화천,589.0,165,44,8,2,1,,
110,여주시(강천리),기후에너지환경부,38.27,한강,운영,T/M,1007620.0,100706,강천보,329.0,87,19,5,,1,,1
111,여주시(남한강교),기후에너지환경부,38.24,한강,운영,T/M,1007625.0,100706,강천보,329.0,87,19,5,,1,,1
112,여주시(당우교),기후에너지환경부,43.84,한강,운영,T/M,1007637.0,100707,금당천,392.0,113,27,5,2,1,,
113,여주시(삼합교),기후에너지환경부,41.69,한강,운영,T/M,1007617.0,100706,강천보,329.0,87,19,5,,1,,1
114,여주시(양촌교),기후에너지환경부,29.49,한강,운영,T/M,1007655.0,100710,양화천,589.0,165,44,8,2,1,,
115,여주시(여주대교),기후에너지환경부,33.34,한강,운영,T/M,1007635.0,100709,여주보,265.0,83,24,6,1,,,1
116,여주시(용은교),기후에너지환경부,41.15,한강,운영,T/M,1007626.0,100710,양화천,589.0,165,44,8,2,1,,
117,여주시(원부교),기후에너지환경부,51.24,한강,운영,T/M,1007615.0,100706,강천보,329.0,87,19,5,,1,,1
118,여주시(율극교),기후에너지환경부,32.91,한강,운영,T/M,1007640.0,100711,이포보,395.0,106,18,4,1,2,,1
119,여주시(흥천대교),기후에너지환경부,32.84,한강,운영,T/M,1007650.0,100714,복하천하류,146.0,40,9,2,,1,,
120,연천군(보막교),기후에너지환경부,76.71,한강,운영,T/M,1022661.0,102214,차탄천,107.0,21,4,1,,,,
121,연천군(사랑교),기후에너지환경부,19.98,한강,운영,T/M,1022680.0,102215,한탄강하류,50.0,12,2,1,,3,1,
122,연천군(사미천교),기후에너지환경부,6.88,한강,운영,T/M,1023662.0,102302,사미천,235.0,60,17,4,1,,,
123,연천군(삼화교),기후에너지환경부,7.94,한강,운영,T/M,1023640.0,102301,적성수위표,69.0,17,3,1,,1,1,
124,연천군(신천교),기후에너지환경부,28.3,한강,운영,T/M,1022670.0,102213,신천하류,225.0,54,13,5,2,1,,
125,연천군(임진교),기후에너지환경부,17.62,한강,운영,T/M,1021680.0,102109,한탄강합류후,29.0,11,3,,,1,,
126,연천군(차탄교),기후에너지환경부,48.24,한강,운영,T/M,1022662.0,102214,차탄천,107.0,21,4,1,,,,
127,연천군(필승교),기후에너지환경부,31.18,한강,운영,T/M,1021650.0,102108,군남홍수조절지,129.0,30,5,1,1,1,,
128,영월군(각동교),기후에너지환경부,168.14,한강,운영,T/M,1003625.0,100306,사이곡천합류전,144.0,31,5,2,,,,1
129,영월군(거운교),기후에너지환경부,198.57,한강,운영,T/M,1001670.0,100117,영월,293.0,65,16,,2,1,1,
130,영월군(내리2교),기후에너지환경부,256.91,한강,운영,T/M,1003603.0,100304,내린천,89.0,22,5,1,,,,
131,영월군(농공단지교),기후에너지환경부,202.28,한강,운영,T/M,1002693.0,100212,문곡천,317.0,74,24,3,1,,1,
132,영월군(두학교),기후에너지환경부,306.57,한강,운영,T/M,1002680.0,100209,주천강중류,583.0,121,28,8,3,1,,
133,영월군(신천교),기후에너지환경부,211.87,한강,운영,T/M,1002687.0,100210,주천강하류,271.0,65,17,4,,1,,
134,영월군(신촌교),기후에너지환경부,227.41,한강,운영,T/M,1001695.0,100116,석항천,328.0,77,19,5,2,1,,
135,영월군(영월대교),기후에너지환경부,184.07,한강,운영,T/M,1001690.0,100117,영월,293.0,65,16,,2,1,1,
136,영월군(옥동교),기후에너지환경부,185.66,한강,운영,T/M,1003620.0,100305,옥동천하류,175.0,34,5,3,,1,,1
137,영월군(주채교),기후에너지환경부,425.48,,,,,100302,옥동천상류,256.0,53,11,3,1,,,
138,영월군(주천교),기후에너지환경부,241.69,한강,운영,T/M,1002685.0,100210,주천강하류,271.0,65,17,4,,1,,
139,영월군(충혼교),기후에너지환경부,270.91,한강,운영,T/M,1003605.0,100303,옥동천중류,302.0,76,19,4,2,1,,
140,영월군(팔괴교),기후에너지환경부,182.09,한강,운영,T/M,1002698.0,100213,평창강하류,414.0,101,26,5,1,,2,
141,영월군(화병교),기후에너지환경부,201.44,한강,운영,T/M,1002691.0,100213,평창강하류,414.0,101,26,5,1,,2,
142,오산시(탑동대교),기후에너지환경부,11.57,안성천,운영,T/M,1101645.0,110111,오산천,273.0,78,19,5,1,,,
143,용인시(덕성1교),기후에너지환경부,59.99,안성천,운영,T/M,1101621.0,110109,이동댐,270.0,70,15,5,1,,,
144,용인시(마전교),기후에너지환경부,92.1,한강,운영,T/M,1016601.0,101601,경안천상류,307.0,84,16,4,1,,,
145,용인시(월촌교),기후에너지환경부,50.11,한강,운영,T/M,1016607.0,101601,경안천상류,307.0,84,16,4,1,,,
146,용인시(전궁교),기후에너지환경부,21.68,안성천,운영,T/M,1101656.0,110114,동연교수위표,363.0,102,31,7,2,2,1,
147,원주시(가현교),기후에너지환경부,98.4,한강,운영,T/M,1006666.0,100606,원주천,264.0,75,16,5,2,1,,
148,원주시(남한강대교),기후에너지환경부,40.38,한강,운영,T/M,1005697.0,100505,섬강합류전,239.0,56,15,4,1,,1,1
149,원주시(동부교),기후에너지환경부,151.12,한강,운영,T/M,1006664.0,100606,원주천,264.0,75,16,5,2,1,,
150,원주시(문막교),기후에너지환경부,51.83,한강,운영,T/M,1006690.0,100610,섬강하류,467.0,121,29,6,1,1,1,
151,원주시(법천교),기후에너지환경부,44.6,한강,운영,T/M,1005695.0,100505,섬강합류전,239.0,56,15,4,1,,1,1
152,원주시(봉미교),기후에너지환경부,98.53,한강,운영,T/M,1006685.0,100609,서곡천,350.0,82,16,4,2,1,,
153,원주시(옥산교),기후에너지환경부,80.95,한강,운영,T/M,1006670.0,100605,원주천합류전,426.0,105,20,7,3,1,,
154,원주시(원주교),기후에너지환경부,120.1,한강,운영,T/M,1006665.0,100606,원주천,264.0,75,16,5,2,1,,
155,원주시(장현교),기후에너지환경부,78.62,한강,운영,T/M,1006672.0,100608,간현수위표,862.0,217,50,9,3,5,1,
156,원주시(지정대교),기후에너지환경부,60.68,한강,운영,T/M,1006680.0,100608,간현수위표,862.0,217,50,9,3,5,1,
157,원주시(판대2교),기후에너지환경부,83.1,한강,운영,T/M,1006677.0,100607,삼산천,743.0,185,42,6,2,1,,
158,음성군(병암교),기후에너지환경부,79.49,한강,운영,T/M,1007609.0,100704,응천,452.0,125,30,7,1,,,
159,음성군(상우교),기후에너지환경부,69.77,한강,운영,T/M,1007613.0,100705,청미수위표,400.0,113,27,6,2,1,,
