,지점,관할기관,3시간전 수위(m),수위 (m),유량,해발수위 (El.m),대권역,운영 여부,관측 방법,관측소 코드,표준유역 코드,관할 기관
0,가평군(가평교),기후에너지환경부,0.76,0.76,3.91,51.62,한강,운영,T/M,1013655.0,101306,기후에너지환경부
1,가평군(대보교),기후에너지환경부,2.66,2.66,1.81,102.19,한강,운영,T/M,1015620.0,101504,기후에너지환경부
2,가평군(선촌2교),기후에너지환경부,2.32,2.31,-,52.88,한강,운영,T/M,1015636.0,101501,기후에너지환경부
3,가평군(신상교),기후에너지환경부,3.49,3.48,-,137.63,한강,운영,T/M,1015611.0,101503,기후에너지환경부
4,가평군(신청평대교),기후에너지환경부,1.34,1.32,-,23.93,한강,운영,T/M,1015645.0,101506,기후에너지환경부
5,가평군(오류동교),기후에너지환경부,1.31,1.31,-,37.37,한강,운영,T/M,1015655.0,101505,기후에너지환경부
6,가평군(제령교),기후에너지환경부,2.85,2.85,-,103.31,한강,운영,T/M,1013650.0,101306,기후에너지환경부
7,가평군(청평교),기후에너지환경부,1.25,1.25,6.56,32.47,한강,운영,T/M,1015644.0,101504,기후에너지환경부
8,가평군(청평댐),기후에너지환경부,50.48,50.45,-,51.12,한강,운영,T/M,1015640.0,101502,기후에너지환경부
9,가평군(화악교),기후에너지환경부,2.36,2.37,-,136.03,한강,운영,T/M,1013651.0,101306,기후에너지환경부
10,강릉시(난곡교),기후에너지환경부,1.96,1.96,-,4.96,,,,,320309,
11,강릉시(송림교),기후에너지환경부,1.71,1.7,1.66,4.72,한강동해,운영,T/M,1302670.0,130201,기후에너지환경부
12,강릉시(오봉교),기후에너지환경부,2.48,2.49,-,58.12,한강동해,운영,T/M,1302646.0,130204,기후에너지환경부
13,강릉시(우정교),기후에너지환경부,2.33,2.33,-,60.95,,,,,130201,
14,강릉시(회산교),기후에너지환경부,1.21,1.21,1.43,15.84,한강동해,운영,T/M,1302648.0,130204,기후에너지환경부
15,강천보(상류),기후에너지환경부,38.22,38.22,-,38.22,한강,운영,T/M,1007633.0,100706,기후에너지환경부
16,강천보(하류),기후에너지환경부,33.35,33.37,-,33.37,한강,운영,T/M,1007634.0,100708,기후에너지환경부
17,강화군(강화대교),기후에너지환경부,1.11,-1.34,-,-1.21,한강서해,운영,T/M,1201620.0,120104,기후에너지환경부
18,고성군(간촌교),기후에너지환경부,2.36,2.36,-,6.88,,,,,101103,
19,고양시(원당교),기후에너지환경부,0.22,0.21,0.98,21.01,한강,운영,T/M,1019667.0,101905,기후에너지환경부
20,고양시(은덕교),기후에너지환경부,2.41,2.41,-,22.83,한강,운영,T/M,1019606.0,101901,기후에너지환경부
21,광명시(시흥대교),기후에너지환경부,0.38,0.38,3.57,6.75,한강,운영,T/M,1018693.0,101815,기후에너지환경부
22,광주시(경안교),기후에너지환경부,0.4,0.4,2.46,34.51,한강,운영,T/M,1016650.0,101603,기후에너지환경부
23,광주시(광동교),기후에너지환경부,25.03,25.07,-,25.01,한강,운영,T/M,1016695.0,101605,기후에너지환경부
24,광주시(동림3교),기후에너지환경부,2.32,2.33,-,73.75,한강,운영,T/M,1016606.0,101602,기후에너지환경부
25,광주시(부항교),기후에너지환경부,0.46,0.45,-,94.18,한강,운영,T/M,1016657.0,101604,기후에너지환경부
26,광주시(서하교),기후에너지환경부,0.68,0.68,3.86,27.44,한강,운영,T/M,1016670.0,101605,기후에너지환경부
27,광주시(섬뜰교),기후에너지환경부,1.15,1.14,9.73,37.26,한강,운영,T/M,1016660.0,101604,기후에너지환경부
28,광주시(오포대교),기후에너지환경부,2.59,2.58,-,43.03,한강,운영,T/M,1016645.0,101603,기후에너지환경부
29,광주시(파발교),기후에너지환경부,2.31,2.32,-,37.68,한강,운영,T/M,1016651.0,101603,기후에너지환경부
30,괴산군(목도교),기후에너지환경부,1.4,1.38,13.28,88.17,한강,운영,T/M,1004693.0,100409,기후에너지환경부
31,괴산군(비도교),기후에너지환경부,1.04,1.04,2.23,119.22,한강,운영,T/M,1004646.0,100407,기후에너지환경부
32,괴산군(수전교),기후에너지환경부,0.43,0.43,-,110.65,한강,운영,T/M,1004645.0,100409,기후에너지환경부
33,괴산군(월문교),기후에너지환경부,2.93,2.93,-,175.96,한강,운영,T/M,1004631.0,100404,기후에너지환경부
34,괴산군(적석교),기후에너지환경부,2.6,2.59,-,202.84,한강,운영,T/M,1004640.0,100407,기후에너지환경부
35,괴산군(제2괴산교),기후에너지환경부,2.03,2.03,-,107.08,한강,운영,T/M,1004661.0,100408,기후에너지환경부
36,괴산군(추산교),기후에너지환경부,0.79,0.79,-,96.07,한강,운영,T/M,1004670.0,100410,기후에너지환경부
37,김포시(사우교),기후에너지환경부,0.59,0.69,-,2.21,한강,운영,T/M,1019661.0,101904,기후에너지환경부
38,김포시(전류리),기후에너지환경부,3.06,1.34,-,1.24,한강,운영,T/M,1019675.0,101906,기후에너지환경부
39,남양주시(내곡교),기후에너지환경부,0.93,0.93,6.05,34.43,한강,운영,T/M,1018625.0,101802,기후에너지환경부
40,남양주시(부평교),기후에너지환경부,0.08,0.07,0.63,56.35,한강,운영,T/M,1018620.0,101802,기후에너지환경부
41,남양주시(삼봉리),기후에너지환경부,0.6,0.63,-,25.05,한강,운영,T/M,1015680.0,101508,기후에너지환경부
42,남양주시(연평대교),기후에너지환경부,0.23,0.21,-,44.71,한강,운영,T/M,1018623.0,101802,기후에너지환경부
43,남양주시(왕숙교),기후에너지환경부,1.02,1.02,3.37,11.36,한강,운영,T/M,1018638.0,101803,기후에너지환경부
44,남양주시(진관교),기후에너지환경부,0.66,0.66,1.74,22.01,한강,운영,T/M,1018630.0,101803,기후에너지환경부
45,남양주시(퇴계원리),기후에너지환경부,0.47,0.47,15.39,21.96,한강,운영,T/M,1018635.0,101803,기후에너지환경부
46,남양주시(팔당대교),기후에너지환경부,1.05,1.05,161.31,6.62,한강,운영,T/M,1018610.0,101801,기후에너지환경부
47,남양주시(팔당댐),기후에너지환경부,24.92,24.95,-,24.96,한강,운영,T/M,1017690.0,101701,기후에너지환경부
48,단양군(가대교),기후에너지환경부,2.02,2.0,-,141.45,한강,운영,T/M,1003636.0,100307,기후에너지환경부
49,단양군(단양1교),기후에너지환경부,0.4,0.4,3.36,141.3,한강,운영,T/M,1003645.0,100309,기후에너지환경부
50,단양군(덕천교),기후에너지환경부,1.83,1.82,-,136.85,한강,운영,T/M,1003642.0,100310,기후에너지환경부
51,단양군(들골교),기후에너지환경부,2.89,2.89,-,157.94,한강,운영,T/M,1003626.0,100308,기후에너지환경부
52,단양군(음지교),기후에너지환경부,0.78,0.78,-,223.27,한강,운영,T/M,1003643.0,100309,기후에너지환경부
53,동두천시(송천교),기후에너지환경부,1.27,1.27,1.57,58.3,한강,운영,T/M,1022668.0,102213,기후에너지환경부
54,동해시(북평교),기후에너지환경부,-0.29,-0.27,0.28,-0.08,한강동해,운영,T/M,1302668.0,130207,기후에너지환경부
55,부천시(도두리2교),기후에너지환경부,0.38,0.45,-,3.88,한강,운영,T/M,1019620.0,101907,기후에너지환경부
56,삼척시(남양촌교),기후에너지환경부,1.56,1.56,3.44,50.74,한강동해,운영,T/M,1303610.0,130305,기후에너지환경부
57,삼척시(마차교),기후에너지환경부,1.34,1.34,-,119.45,한강동해,운영,T/M,1303645.0,130301,기후에너지환경부
58,삼척시(상정교),기후에너지환경부,1.31,1.3,4.82,44.32,한강동해,운영,T/M,1303650.0,130302,기후에너지환경부
59,삼척시(오십천교),기후에너지환경부,1.63,1.6,-,-0.15,한강동해,운영,T/M,1303680.0,130302,기후에너지환경부
60,삼척시(전두3교),기후에너지환경부,2.13,2.13,-,241.34,한강동해,운영,T/M,1303640.0,130301,기후에너지환경부
61,서울시(광진교),기후에너지환경부,1.13,1.14,138.3,6.42,한강,운영,T/M,1018640.0,101807,기후에너지환경부
62,서울시(너부대교),기후에너지환경부,0.51,0.54,-,7.41,한강,운영,T/M,1018695.0,101815,기후에너지환경부
63,서울시(대곡교),기후에너지환경부,1.8,1.8,7.83,11.36,한강,운영,T/M,1018655.0,101806,기후에너지환경부
64,서울시(대치교),기후에너지환경부,1.49,1.48,0.72,5.94,한강,운영,T/M,1018658.0,101806,기후에너지환경부
65,서울시(신대방1교),기후에너지환경부,0.06,0.07,0.32,12.66,한강,운영,T/M,1018698.0,101816,기후에너지환경부
66,서울시(신림5교),기후에너지환경부,2.46,2.46,0.18,50.41,한강,운영,T/M,1018692.0,101816,기후에너지환경부
67,서울시(오금교),기후에너지환경부,0.68,0.68,5.07,3.68,한강,운영,T/M,1018697.0,101815,기후에너지환경부
68,서울시(월계2교),기후에너지환경부,0.27,0.27,0.24,16.63,한강,운영,T/M,1018670.0,101810,기후에너지환경부
69,서울시(잠수교),기후에너지환경부,2.69,2.83,-,2.76,한강,운영,T/M,1018680.0,101811,기후에너지환경부
70,서울시(중랑교),기후에너지환경부,0.49,0.49,3.44,9.65,한강,운영,T/M,1018675.0,101810,기후에너지환경부
71,서울시(창동교),기후에너지환경부,0.54,0.53,1.68,15.15,한강,운영,T/M,1018669.0,101810,기후에너지환경부
72,서울시(청담대교),기후에너지환경부,0.97,1.05,274.78,2.8,한강,운영,T/M,1018662.0,101807,기후에너지환경부
73,서울시(한강대교),기후에너지환경부,0.54,0.71,591.54,2.78,한강,운영,T/M,1018683.0,101812,기후에너지환경부
74,서울시(행주대교),기후에너지환경부,1.85,1.91,493.58,2.71,한강,운영,T/M,1019630.0,101903,기후에너지환경부
75,서울시(홍남교),기후에너지환경부,2.11,2.09,-,16.95,한강,운영,T/M,1018686.0,101813,기후에너지환경부
76,성남시(궁내교),기후에너지환경부,0.75,0.74,2.53,33.83,한강,운영,T/M,1018650.0,101804,기후에너지환경부
77,성남시(둔전교),기후에너지환경부,3.65,3.64,-,18.99,한강,운영,T/M,1018653.0,101805,기후에너지환경부
78,속초시(도문교),기후에너지환경부,2.4,2.4,-,83.07,한강동해,운영,T/M,1301625.0,130105,기후에너지환경부
79,속초시(응골교),기후에너지환경부,2.47,2.47,-,7.11,,,,,130105,
80,수원시(매세교),기후에너지환경부,2.31,2.31,-,32.06,안성천,운영,T/M,1101601.0,110112,기후에너지환경부
81,수원시(백년교),기후에너지환경부,2.34,2.33,-,22.95,안성천,운영,T/M,1101604.0,110112,기후에너지환경부
82,아산시(운교교),기후에너지환경부,1.99,1.99,-,3.37,안성천,운영,T/M,1101688.0,110107,기후에너지환경부
83,안산시(안산10교),기후에너지환경부,2.15,2.15,-,0.63,한강서해,운영,T/M,1202650.0,120201,기후에너지환경부
84,안성시(건천리),기후에너지환경부,-0.05,-0.05,0,8.27,안성천,운영,T/M,1101620.0,110107,기후에너지환경부
