,korObs,korInst,sphereLarge,inOperation,methodObs,codeObs,codeWatershed,korStream_x,1차,2차,3차,4차,5차,6차,7차,8차,dateNotice,aFLAdvisory(m),aFLAdvisory(El.m),aFLAlert(m),aFLAlert(El.m),designFloodLevel(m),designFloodLevel(El.m),designFloodCharge(m3/sec),(El.m),heightEmbarkmentLeft(m),heightEmbarkmentLeft(El.m),heightEmbarkmentRight(m),heightEmbarkmentRight(El.m),widthRiver(m)
0,가평군(가평교),기후에너지환경부,한강,운영,T/M,1013655.0,101306,가평천,143.0,38.0,8.0,3.0,2.0,1.0,-,-,21.12.28,4,54.86,5,55.86,6.2,57.06,"2,444",50.86,8.7,59.56,8.91,59.77,140
1,가평군(대보교),기후에너지환경부,한강,운영,T/M,1015620.0,101504,조종천,86.0,20.0,5.0,2.0,1.0,-,-,-,24.04.23,4.8,104.33,5.6,105.13,6.42,105.95,"1,464",99.53,8.71,108.24,9.4,108.93,-
2,가평군(선촌2교),기후에너지환경부,한강,운영,T/M,1015636.0,101501,미원천,75.0,19.0,5.0,2.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,가평군(신상교),기후에너지환경부,한강,운영,T/M,1015611.0,101503,조종천,77.0,25.0,5.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,가평군(신청평대교),기후에너지환경부,한강,운영,T/M,1015645.0,101506,청평댐,139.0,30.0,6.0,1.0,1.0,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,가평군(오류동교),기후에너지환경부,한강,운영,T/M,1015655.0,101505,구운천,93.0,20.0,5.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,가평군(제령교),기후에너지환경부,한강,운영,T/M,1013650.0,101306,가평천,143.0,38.0,8.0,3.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,가평군(청평교),기후에너지환경부,한강,운영,T/M,1015644.0,101504,조종천,86.0,20.0,5.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,가평군(청평댐),기후에너지환경부,한강,운영,T/M,1015640.0,101502,청평댐,126.0,28.0,6.0,1.0,1.0,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,가평군(화악교),기후에너지환경부,한강,운영,T/M,1013651.0,101306,가평천,143.0,38.0,8.0,3.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,강릉시(난곡교),기후에너지환경부,-,-,-,1302655,320309,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,강릉시(송림교),기후에너지환경부,한강동해,운영,T/M,1302670.0,130201,연곡천,296.0,86.0,15.0,4.0,1.0,-,-,-,24.04.23,3.5,6.52,4.5,7.52,5.19,8.21,"1,170",3.02,9.08,12.1,8.88,11.9,-
12,강릉시(오봉교),기후에너지환경부,한강동해,운영,T/M,1302646.0,130204,강릉남대천,174.0,53.0,14.0,4.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,강릉시(우정교),기후에너지환경부,-,-,-,1302666,130201,연곡천,296.0,86.0,15.0,4.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,강릉시(회산교),기후에너지환경부,한강동해,운영,T/M,1302648.0,130204,강릉남대천,174.0,53.0,14.0,4.0,2.0,1.0,-,-,24.04.23,3.8,18.43,4.8,19.43,5.8,20.43,"1,325",14.63,7.74,22.37,8.57,23.2,197
15,강천보(상류),기후에너지환경부,한강,운영,T/M,1007633.0,100706,강천보,329.0,87.0,19.0,5.0,-,1.0,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,강천보(하류),기후에너지환경부,한강,운영,T/M,1007634.0,100708,여주수위표,238.0,71.0,15.0,4.0,1.0,1.0,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,강화군(강화대교),기후에너지환경부,한강서해,운영,T/M,1201620.0,120104,삼동암천,97.0,37.0,9.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,고성군(간촌교),기후에너지환경부,-,-,-,1301620,101103,북천,209.0,42.0,8.0,3.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,고양시(원당교),기후에너지환경부,한강,운영,T/M,1019667.0,101905,공릉천,74.0,25.0,7.0,1.0,1.0,-,-,1.0,24.04.23,2.5,23.3,3,23.8,3.68,24.48,985,20.8,5.48,26.28,5.38,26.18,-
20,고양시(은덕교),기후에너지환경부,한강,운영,T/M,1019606.0,101901,창릉천,279.0,86.0,21.0,5.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,광명시(시흥대교),기후에너지환경부,한강,운영,T/M,1018693.0,101815,안양천,233.0,58.0,10.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,광주시(경안교),기후에너지환경부,한강,운영,T/M,1016650.0,101603,경안수위표,227.0,59.0,16.0,5.0,2.0,1.0,-,-,17.05.02,4,38.11,5,39.11,6.13,40.24,"2,340",34.11,8.99,43.1,9.29,43.4,179
23,광주시(광동교),기후에너지환경부,한강,운영,T/M,1016695.0,101605,경안천,546.0,141.0,35.0,7.0,1.0,2.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,광주시(동림3교),기후에너지환경부,한강,운영,T/M,1016606.0,101602,오산천,92.0,24.0,4.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,광주시(부항교),기후에너지환경부,한강,운영,T/M,1016657.0,101604,곤지암천,538.0,145.0,31.0,10.0,2.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,광주시(서하교),기후에너지환경부,한강,운영,T/M,1016670.0,101605,경안천,546.0,141.0,35.0,7.0,1.0,2.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,광주시(섬뜰교),기후에너지환경부,한강,운영,T/M,1016660.0,101604,곤지암천,538.0,145.0,31.0,10.0,2.0,2.0,-,-,24.04.23,4.4,40.52,5.2,41.32,6.21,42.33,"1,170",36.12,9.44,45.56,9.31,45.43,-
28,광주시(오포대교),기후에너지환경부,한강,운영,T/M,1016645.0,101603,경안수위표,227.0,59.0,16.0,5.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,광주시(파발교),기후에너지환경부,한강,운영,T/M,1016651.0,101603,경안수위표,227.0,59.0,16.0,5.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,괴산군(목도교),기후에너지환경부,한강,운영,T/M,1004693.0,100409,괴산댐,270.0,67.0,12.0,3.0,1.0,1.0,1.0,-,19.04.18,6.2,92.99,7.1,93.89,8.5,95.29,"4,455",86.79,12.87,99.66,12.75,99.54,-
31,괴산군(비도교),기후에너지환경부,한강,운영,T/M,1004646.0,100407,쌍천,311.0,72.0,15.0,5.0,1.0,-,-,-,24.04.23,3,121.18,3.5,121.68,3.74,121.92,900,118.18,5.9,124.08,5.88,124.06,-
32,괴산군(수전교),기후에너지환경부,한강,운영,T/M,1004645.0,100409,괴산댐,270.0,67.0,12.0,3.0,1.0,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,괴산군(월문교),기후에너지환경부,한강,운영,T/M,1004631.0,100404,압항천,658.0,176.0,43.0,8.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,괴산군(적석교),기후에너지환경부,한강,운영,T/M,1004640.0,100407,쌍천,311.0,72.0,15.0,5.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,괴산군(제2괴산교),기후에너지환경부,한강,운영,T/M,1004661.0,100408,동진천,439.0,99.0,21.0,5.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,괴산군(추산교),기후에너지환경부,한강,운영,T/M,1004670.0,100410,음성천,359.0,106.0,28.0,7.0,1.0,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
