obscd_wl,korObs_wl,region_wl,lat_wl,lon_wl,rank,stn_id_aws,stn_ko_aws,lat_aws,lon_aws,addr_aws,distance_km,weight_exp,reliability
1001602,평창군(송정교),한강,37.624167,128.551111,1,560,진부,37.64794,128.56447,(산지)강원특별자치도 평창군 진부면,2.89,0.749,A_매우신뢰
1001602,평창군(송정교),한강,37.624167,128.551111,2,318,평창용산,37.65328,128.68208,(산지)강원특별자치도 평창군 대관령면 용산리,11.98,0.3018,C_보통
1001602,평창군(송정교),한강,37.624167,128.551111,3,597,대화,37.54548,128.44108,강원특별자치도 평창군 대화면 신리,13.06,0.2709,C_보통
1001603,태백시(무사교),한강,37.315,128.994444,1,696,신기,37.34661,129.08614,(산지)강원특별자치도 삼척시 신기면 신기리,8.84,0.4131,B_신뢰
1001603,태백시(무사교),한강,37.315,128.994444,2,579,하장,37.36684,128.9133,(산지)강원특별자치도 삼척시 하장면 장전리,9.2,0.3985,B_신뢰
1001603,태백시(무사교),한강,37.315,128.994444,3,878,도계,37.22379,129.09609,(산지)강원특별자치도 삼척시 도계읍 황조리,13.56,0.2577,C_보통
1001605,송천1교,한강,37.668056,128.709722,1,100,대관령,37.67713,128.71834,(산지)강원특별자치도 평창군 대관령면 횡계리,1.26,0.8816,A_매우신뢰
1001605,송천1교,한강,37.668056,128.709722,2,318,평창용산,37.65328,128.68208,(산지)강원특별자치도 평창군 대관령면 용산리,2.94,0.7453,A_매우신뢰
1001605,송천1교,한강,37.668056,128.709722,3,679,강릉왕산,37.61045,128.77297,(산지)강원특별자치도 강릉시 왕산면 대기리,8.49,0.4278,B_신뢰
1001607,삼척시(번천교),한강,37.364444,128.996389,1,579,하장,37.36684,128.9133,(산지)강원특별자치도 삼척시 하장면 장전리,7.35,0.4795,B_신뢰
1001607,삼척시(번천교),한강,37.364444,128.996389,2,696,신기,37.34661,129.08614,(산지)강원특별자치도 삼척시 신기면 신기리,8.18,0.4413,B_신뢰
1001607,삼척시(번천교),한강,37.364444,128.996389,3,677,달방댐,37.51728,129.0213,(산지)강원특별자치도 동해시 신흥동,17.14,0.1801,D_주의
1001610,삼척시(광동댐),한강,37.343611,128.947222,1,579,하장,37.36684,128.9133,(산지)강원특별자치도 삼척시 하장면 장전리,3.96,0.673,A_매우신뢰
1001610,삼척시(광동댐),한강,37.343611,128.947222,2,696,신기,37.34661,129.08614,(산지)강원특별자치도 삼척시 신기면 신기리,12.28,0.2929,C_보통
1001610,삼척시(광동댐),한강,37.343611,128.947222,3,674,사북,37.21963,128.82141,(산지)강원특별자치도 정선군 사북읍 사북리,17.72,0.17,D_주의
1001613,삼척시(광동교),한강,37.358611,128.948889,1,579,하장,37.36684,128.9133,(산지)강원특별자치도 삼척시 하장면 장전리,3.28,0.7204,A_매우신뢰
1001613,삼척시(광동교),한강,37.358611,128.948889,2,696,신기,37.34661,129.08614,(산지)강원특별자치도 삼척시 신기면 신기리,12.2,0.2952,C_보통
1001613,삼척시(광동교),한강,37.358611,128.948889,3,537,임계,37.48323,128.84589,(산지)강원특별자치도 정선군 임계면 봉산리,16.58,0.1905,D_주의
1001615,삼척시(갈밭교),한강,37.371667,128.913889,1,579,하장,37.36684,128.9133,(산지)강원특별자치도 삼척시 하장면 장전리,0.54,0.9474,A_매우신뢰
1001615,삼척시(갈밭교),한강,37.371667,128.913889,2,537,임계,37.48323,128.84589,(산지)강원특별자치도 정선군 임계면 봉산리,13.78,0.2521,C_보통
1001615,삼척시(갈밭교),한강,37.371667,128.913889,3,696,신기,37.34661,129.08614,(산지)강원특별자치도 삼척시 신기면 신기리,15.48,0.2127,D_주의
1001620,정선군(송계교),한강,37.494167,128.849167,1,537,임계,37.48323,128.84589,(산지)강원특별자치도 정선군 임계면 봉산리,1.25,0.8825,A_매우신뢰
1001620,정선군(송계교),한강,37.494167,128.849167,2,497,삽당령,37.57516,128.85147,(산지)강원특별자치도 강릉시 왕산면 송현리,9.01,0.4062,B_신뢰
1001620,정선군(송계교),한강,37.494167,128.849167,3,679,강릉왕산,37.61045,128.77297,(산지)강원특별자치도 강릉시 왕산면 대기리,14.57,0.2329,C_보통
1001622,정선군(혈천교),한강,37.464722,128.846944,1,537,임계,37.48323,128.84589,(산지)강원특별자치도 정선군 임계면 봉산리,2.06,0.8138,A_매우신뢰
1001622,정선군(혈천교),한강,37.464722,128.846944,2,497,삽당령,37.57516,128.85147,(산지)강원특별자치도 강릉시 왕산면 송현리,12.29,0.2926,C_보통
1001622,정선군(혈천교),한강,37.464722,128.846944,3,579,하장,37.36684,128.9133,(산지)강원특별자치도 삼척시 하장면 장전리,12.36,0.2905,C_보통
1001623,정선군(오장2교),한강,37.531389,128.737778,1,563,북평,37.46356,128.6828,강원특별자치도 정선군 북평면 장열리,8.97,0.4078,B_신뢰
1001623,정선군(오장2교),한강,37.531389,128.737778,2,679,강릉왕산,37.61045,128.77297,(산지)강원특별자치도 강릉시 왕산면 대기리,9.32,0.3938,B_신뢰
1001623,정선군(오장2교),한강,37.531389,128.737778,3,537,임계,37.48323,128.84589,(산지)강원특별자치도 정선군 임계면 봉산리,10.94,0.3349,C_보통
1001625,정선군(송천교),한강,37.485556,128.718611,1,563,북평,37.46356,128.6828,강원특별자치도 정선군 북평면 장열리,4.0,0.6703,A_매우신뢰
1001625,정선군(송천교),한강,37.485556,128.718611,2,537,임계,37.48323,128.84589,(산지)강원특별자치도 정선군 임계면 봉산리,11.23,0.3253,C_보통
1001625,정선군(송천교),한강,37.485556,128.718611,3,217,정선군,37.37732,128.67348,강원특별자치도 정선군 정선읍 애산리,12.68,0.2814,C_보통
1001626,정선군(제1여량교),한강,37.473333,128.729167,1,563,북평,37.46356,128.6828,강원특별자치도 정선군 북평면 장열리,4.23,0.6551,A_매우신뢰
1001626,정선군(제1여량교),한강,37.473333,128.729167,2,537,임계,37.48323,128.84589,(산지)강원특별자치도 정선군 임계면 봉산리,10.36,0.3549,C_보통
1001626,정선군(제1여량교),한강,37.473333,128.729167,3,217,정선군,37.37732,128.67348,강원특별자치도 정선군 정선읍 애산리,11.75,0.3088,C_보통
1001629,정선군(남평대교),한강,37.438889,128.653056,1,563,북평,37.46356,128.6828,강원특별자치도 정선군 북평면 장열리,3.8,0.6839,A_매우신뢰
1001629,정선군(남평대교),한강,37.438889,128.653056,2,217,정선군,37.37732,128.67348,강원특별자치도 정선군 정선읍 애산리,7.08,0.4926,B_신뢰
1001629,정선군(남평대교),한강,37.438889,128.653056,3,537,임계,37.48323,128.84589,(산지)강원특별자치도 정선군 임계면 봉산리,17.72,0.17,D_주의
1001630,정선군(나전교),한강,37.438611,128.649722,1,563,북평,37.46356,128.6828,강원특별자치도 정선군 북평면 장열리,4.03,0.6683,A_매우신뢰
1001630,정선군(나전교),한강,37.438611,128.649722,2,217,정선군,37.37732,128.67348,강원특별자치도 정선군 정선읍 애산리,7.13,0.4902,B_신뢰
1001630,정선군(나전교),한강,37.438611,128.649722,3,537,임계,37.48323,128.84589,(산지)강원특별자치도 정선군 임계면 봉산리,18.01,0.1651,D_주의
1001640,정선3,한강,37.4,128.666667,1,217,정선군,37.37732,128.67348,강원특별자치도 정선군 정선읍 애산리,2.59,0.7718,A_매우신뢰
1001640,정선3,한강,37.4,128.666667,2,563,북평,37.46356,128.6828,강원특별자치도 정선군 북평면 장열리,7.21,0.4863,B_신뢰
1001640,정선3,한강,37.4,128.666667,3,537,임계,37.48323,128.84589,(산지)강원특별자치도 정선군 임계면 봉산리,18.33,0.1599,D_주의
1001641,정선군(각희교),한강,37.308333,128.814444,1,674,사북,37.21963,128.82141,(산지)강원특별자치도 정선군 사북읍 사북리,9.88,0.3723,B_신뢰
1001641,정선군(각희교),한강,37.308333,128.814444,2,579,하장,37.36684,128.9133,(산지)강원특별자치도 삼척시 하장면 장전리,10.9,0.3362,C_보통
1001641,정선군(각희교),한강,37.308333,128.814444,3,217,정선군,37.37732,128.67348,강원특별자치도 정선군 정선읍 애산리,14.63,0.2315,C_보통
1001645,정선군(와평교),한강,37.366111,128.684167,1,217,정선군,37.37732,128.67348,강원특별자치도 정선군 정선읍 애산리,1.56,0.8556,A_매우신뢰
1001645,정선군(와평교),한강,37.366111,128.684167,2,563,북평,37.46356,128.6828,강원특별자치도 정선군 북평면 장열리,10.84,0.3382,C_보통
1001645,정선군(와평교),한강,37.366111,128.684167,3,527,신동,37.21108,128.64126,강원특별자치도 정선군 신동읍 예미리,17.65,0.1712,D_주의
1001647,정선1,한강,37.366667,128.683333,1,217,정선군,37.37732,128.67348,강원특별자치도 정선군 정선읍 애산리,1.47,0.8633,A_매우신뢰
1001647,정선1,한강,37.366667,128.683333,2,563,북평,37.46356,128.6828,강원특별자치도 정선군 북평면 장열리,10.77,0.3406,C_보통
1001647,정선1,한강,37.366667,128.683333,3,527,신동,37.21108,128.64126,강원특별자치도 정선군 신동읍 예미리,17.7,0.1703,D_주의
1001649,정선군(애산교),한강,37.373333,128.670833,1,217,정선군,37.37732,128.67348,강원특별자치도 정선군 정선읍 애산리,0.5,0.9512,A_매우신뢰
1001649,정선군(애산교),한강,37.373333,128.670833,2,563,북평,37.46356,128.6828,강원특별자치도 정선군 북평면 장열리,10.09,0.3646,C_보통
1001649,정선군(애산교),한강,37.373333,128.670833,3,527,신동,37.21108,128.64126,강원특별자치도 정선군 신동읍 예미리,18.23,0.1615,D_주의
1001650,정선군(삼거리교),한강,37.253889,128.778333,1,674,사북,37.21963,128.82141,(산지)강원특별자치도 정선군 사북읍 사북리,5.39,0.5833,B_신뢰
1001650,정선군(삼거리교),한강,37.253889,128.778333,2,527,신동,37.21108,128.64126,강원특별자치도 정선군 신동읍 예미리,13.04,0.2714,C_보통
