obscd_wl,korObs_wl,region_wl,lat_wl,lon_wl,stn_id_aws,stn_ko_aws,lat_aws,lon_aws,addr_aws,distance_km
1001602,평창군(송정교),한강,37.624167,128.551111,560,진부,37.64794,128.56447,(산지)강원특별자치도 평창군 진부면,2.89
1001603,태백시(무사교),한강,37.315,128.994444,696,신기,37.34661,129.08614,(산지)강원특별자치도 삼척시 신기면 신기리,8.84
1001605,송천1교,한강,37.668056,128.709722,100,대관령,37.67713,128.71834,(산지)강원특별자치도 평창군 대관령면 횡계리,1.26
1001607,삼척시(번천교),한강,37.364444,128.996389,579,하장,37.36684,128.9133,(산지)강원특별자치도 삼척시 하장면 장전리,7.35
1001610,삼척시(광동댐),한강,37.343611,128.947222,579,하장,37.36684,128.9133,(산지)강원특별자치도 삼척시 하장면 장전리,3.96
1001613,삼척시(광동교),한강,37.358611,128.948889,579,하장,37.36684,128.9133,(산지)강원특별자치도 삼척시 하장면 장전리,3.28
1001615,삼척시(갈밭교),한강,37.371667,128.913889,579,하장,37.36684,128.9133,(산지)강원특별자치도 삼척시 하장면 장전리,0.54
1001620,정선군(송계교),한강,37.494167,128.849167,537,임계,37.48323,128.84589,(산지)강원특별자치도 정선군 임계면 봉산리,1.25
1001622,정선군(혈천교),한강,37.464722,128.846944,537,임계,37.48323,128.84589,(산지)강원특별자치도 정선군 임계면 봉산리,2.06
1001623,정선군(오장2교),한강,37.531389,128.737778,563,북평,37.46356,128.6828,강원특별자치도 정선군 북평면 장열리,8.97
1001625,정선군(송천교),한강,37.485556,128.718611,563,북평,37.46356,128.6828,강원특별자치도 정선군 북평면 장열리,4.0
1001626,정선군(제1여량교),한강,37.473333,128.729167,563,북평,37.46356,128.6828,강원특별자치도 정선군 북평면 장열리,4.23
1001629,정선군(남평대교),한강,37.438889,128.653056,563,북평,37.46356,128.6828,강원특별자치도 정선군 북평면 장열리,3.8
1001630,정선군(나전교),한강,37.438611,128.649722,563,북평,37.46356,128.6828,강원특별자치도 정선군 북평면 장열리,4.03
1001640,정선3,한강,37.4,128.666667,217,정선군,37.37732,128.67348,강원특별자치도 정선군 정선읍 애산리,2.59
1001641,정선군(각희교),한강,37.308333,128.814444,674,사북,37.21963,128.82141,(산지)강원특별자치도 정선군 사북읍 사북리,9.88
1001645,정선군(와평교),한강,37.366111,128.684167,217,정선군,37.37732,128.67348,강원특별자치도 정선군 정선읍 애산리,1.56
1001647,정선1,한강,37.366667,128.683333,217,정선군,37.37732,128.67348,강원특별자치도 정선군 정선읍 애산리,1.47
1001649,정선군(애산교),한강,37.373333,128.670833,217,정선군,37.37732,128.67348,강원특별자치도 정선군 정선읍 애산리,0.5
1001650,정선군(삼거리교),한강,37.253889,128.778333,674,사북,37.21963,128.82141,(산지)강원특별자치도 정선군 사북읍 사북리,5.39
1001655,정선군(정선제1교),한강,37.378333,128.657222,217,정선군,37.37732,128.67348,강원특별자치도 정선군 정선읍 애산리,1.44
1001658,정선군(광하교),한강,37.369722,128.618889,217,정선군,37.37732,128.67348,강원특별자치도 정선군 정선읍 애산리,4.9
1001660,정선군(낙동교),한강,37.318889,128.693611,217,정선군,37.37732,128.67348,강원특별자치도 정선군 정선읍 애산리,6.74
1001661,정선군(광탄교),한강,37.317778,128.665556,217,정선군,37.37732,128.67348,강원특별자치도 정선군 정선읍 애산리,6.66
1001665,평창군(마하교),한강,37.293056,128.544722,527,신동,37.21108,128.64126,강원특별자치도 정선군 신동읍 예미리,12.49
1001670,영월군(거운교),한강,37.234722,128.512222,121,영월,37.18126,128.45743,강원특별자치도 영월군 영월읍 하송리,7.67
1001680,영월2,한강,37.216667,128.510833,121,영월,37.18126,128.45743,강원특별자치도 영월군 영월읍 하송리,6.15
1001683,영월군(삼옥교),한강,37.207222,128.510278,121,영월,37.18126,128.45743,강원특별자치도 영월군 영월읍 하송리,5.5
1001690,영월군(영월대교),한강,37.181944,128.475278,121,영월,37.18126,128.45743,강원특별자치도 영월군 영월읍 하송리,1.58
1001695,영월군(신촌교),한강,37.182222,128.539444,121,영월,37.18126,128.45743,강원특별자치도 영월군 영월읍 하송리,7.27
1002605,평창군(이목정교),한강,37.621389,128.471944,525,봉평,37.61234,128.37725,강원특별자치도 평창군 봉평면 창동리,8.4
1002610,평창군(장평교),한강,37.586389,128.412778,660,면온,37.56197,128.37762,강원특별자치도 평창군 봉평면 면온리,4.12
