station_id,stn_id_aws
1001602,560
1001620,537
1001622,537
1001623,563
1001625,563
1001626,563
1001629,563
1001630,563
1001641,674
1001645,217
1001649,217
1001650,674
1001655,217
1001658,217
1001660,217
1001661,217
1001665,527
1001670,121
1001690,121
1001695,121
1002605,525
1002610,660
1002615,660
1002625,597
1002626,597
1002635,526
1002636,526
1002640,526
1002650,526
1002670,583
1002675,583
1002680,582
1002685,221
1002687,121
1002691,121
1002693,121
1002698,121
1003601,581
1003603,581
1003605,527
1003620,638
1003625,638
1003626,601
1003636,601
1003642,601
1003643,601
1003645,601
1003652,325
1003654,324
1003657,221
1003658,325
1003660,221
1003661,325
1003667,639
1004616,624
1004620,624
1004631,640
1004640,622
1004645,603
1004646,603
1004661,603
1004670,603
1004680,622
1004693,603
1004694,630
1004695,127
1004696,127
1005605,127
1005640,620
1005650,630
1005660,347
1005695,592
1005697,592
1006628,536
1006630,536
1006650,536
1006660,536
1006664,114
1006665,114
1006666,114
1006670,536
1006672,536
1006677,547
1006680,877
1006685,114
1006690,877
1007604,469
1007605,534
1007606,576
1007608,534
1007609,600
1007610,534
1007613,534
1007615,534
1007617,592
1007620,592
1007625,548
1007626,203
1007633,548
1007634,548
1007635,548
1007637,447
1007639,574
1007640,463
1007641,574
1007642,461
1007645,203
1007650,463
1007655,574
1007662,466
1007664,466
1007680,202
1007685,202
1007687,573
1007688,573
1007690,326
1007695,326
1007697,449
1010631,556
1010633,556
1010660,681
1010673,555
1010674,555
1010686,519
1010690,93
1010695,93
1011620,594
1011640,595
1011695,321
1012625,559
1012630,557
1012635,557
1012638,557
1012639,557
1012640,557
1012645,557
1012685,978
1013610,101
1013637,101
1013643,588
1013645,588
1013650,531
1013651,531
1013655,455
1014618,535
1014620,522
1014622,522
1014630,522
1014637,522
1014640,522
1014645,212
1014650,212
1014652,212
1014664,558
1014665,558
1014680,558
1014690,588
1014696,558
1015611,505
1015620,505
1015636,485
1015640,486
1015644,486
1015645,486
1015655,542
1015680,484
1016601,436
1016606,459
1016607,459
1016645,459
1016650,546
1016651,546
1016657,460
1016660,442
1016670,442
1016695,458
1017690,458
1018610,428
1018619,360
1018620,599
1018623,451
1018625,451
1018630,541
1018635,541
1018638,368
1018640,413
1018650,364
1018653,572
1018655,400
1018658,400
1018661,373
1018662,413
1018665,532
1018666,431
1018669,406
1018670,407
1018675,408
1018680,415
1018683,415
1018686,412
1018690,365
1018692,509
1018693,453
1018695,437
1018697,405
1018698,410
1019606,416
1019612,433
1019620,433
1019630,450
1019657,110
1019661,441
1019663,352
1019667,540
1019675,427
1019680,506
1021630,651
1021650,499
1021680,478
1022620,323
1022626,552
1022630,552
1022635,95
1022640,95
1022641,539
1022646,539
1022647,504
1022648,361
1022649,452
1022650,361
1022651,359
1022655,507
1022660,372
1022661,538
1022662,456
1022668,372
1022670,652
1022680,652
1023635,479
1023640,480
1023660,479
1023662,479
1023667,483
1023670,503
1023671,482
1023674,482
1023677,482
1023680,481
1101601,430
1101604,430
1101605,439
1101606,516
1101610,516
1101611,470
1101616,495
1101618,495
1101620,495
1101621,370
1101628,495
1101630,551
1101631,617
1101635,551
1101645,446
1101650,355
1101656,575
1101663,355
1101665,355
1101670,356
1101680,551
1101688,551
1201620,201
1201660,512
1202650,435
1202668,432
1301620,517
1301625,520
1301630,670
1301632,670
1301658,670
1301665,671
1302646,678
1302648,105
1302655,524
1302666,566
1302668,106
1302670,566
1303610,529
1303640,878
1303645,696
1303650,696
1303680,876
