obscd,korObs,cluster_id,is_centroid,silhouette_score,intra_mean_dist,event_date
1001602,평창군(송정교),6,False,0.5298,1.2192,2024-07-23
1001620,정선군(송계교),4,True,0.3211,3.3504,2024-07-23
1001622,정선군(혈천교),2,False,0.289,2.7817,2024-07-23
1001625,정선군(송천교),5,False,0.3841,1.9289,2024-07-23
1001626,정선군(제1여량교),7,False,-0.2833,4.3471,2024-07-23
1001629,정선군(남평대교),4,False,0.2578,3.3504,2024-07-23
1001630,정선군(나전교),6,False,0.5309,1.1995,2024-07-23
1001645,정선군(와평교),5,False,0.1676,1.8615,2024-07-23
1001649,정선군(애산교),5,False,0.2981,1.7932,2024-07-23
1001655,정선군(정선제1교),5,False,0.4658,1.6843,2024-07-23
1001658,정선군(광하교),5,False,0.4375,1.7675,2024-07-23
1001660,정선군(낙동교),5,True,0.4493,1.6189,2024-07-23
1001670,영월군(거운교),5,False,0.3338,2.0784,2024-07-23
1001690,영월군(영월대교),5,False,0.3081,1.6503,2024-07-23
1002605,평창군(이목정교),6,False,0.4022,1.5194,2024-07-23
1002610,평창군(장평교),6,True,0.4921,1.1951,2024-07-23
1002615,평창군(진전교),6,False,0.3696,1.5977,2024-07-23
1002625,평창군(선애교),6,False,0.4759,1.2357,2024-07-23
1002635,평창군(사초교),6,False,0.5707,1.2496,2024-07-23
1002640,평창군(상방림교),6,False,0.5859,1.2459,2024-07-23
1002650,평창군(평창교),6,False,0.5985,1.2939,2024-07-23
1002675,횡성군(안흥교),6,False,0.478,1.6306,2024-07-23
1002680,영월군(두학교),6,False,0.4987,1.9785,2024-07-23
1002685,영월군(주천교),7,True,0.2611,1.4573,2024-07-23
1002687,영월군(신천교),7,False,0.1877,1.5509,2024-07-23
1002693,영월군(농공단지교),6,False,0.2518,1.4354,2024-07-23
1002698,영월군(팔괴교),6,False,0.3577,1.4876,2024-07-23
1003605,영월군(충혼교),1,False,0.6414,0.9913,2024-07-23
1003620,영월군(옥동교),1,False,0.6973,0.9885,2024-07-23
1003636,단양군(가대교),5,False,-0.1186,2.0152,2024-07-23
1003642,단양군(덕천교),5,False,-0.21,2.0843,2024-07-23
1003645,단양군(단양1교),2,False,-0.2081,2.0524,2024-07-23
1003657,제천시(강저3교),7,False,0.0937,2.8424,2024-07-23
1003658,제천시(부수동교),6,False,0.4752,1.4674,2024-07-23
1003660,제천시(팔송교),6,False,0.4599,1.243,2024-07-23
1003661,제천시(구곡교),6,False,0.2746,1.416,2024-07-23
1004616,청주시(청석굴교),1,False,0.4428,1.3128,2024-07-23
1004620,청주시(옥화1교),2,True,0.1795,1.8049,2024-07-23
1004645,괴산군(수전교),2,False,0.3737,2.1678,2024-07-23
1004646,괴산군(비도교),2,False,0.2237,2.7747,2024-07-23
1004661,괴산군(제2괴산교),1,False,0.5884,1.0546,2024-07-23
1004670,괴산군(추산교),1,True,0.7147,0.9036,2024-07-23
1004680,충주시(문강교),2,False,0.0479,2.0164,2024-07-23
1004693,괴산군(목도교),2,False,0.3619,1.965,2024-07-23
1004695,충주시(국원대교),1,False,0.7152,0.9468,2024-07-23
1005605,충주시(탄금교),3,False,0.3438,4.6556,2024-07-23
1005640,충주시(목계교),2,False,0.3118,2.5612,2024-07-23
1005695,원주시(법천교),7,False,-0.1945,2.2639,2024-07-23
1005697,원주시(남한강대교),5,False,0.4347,2.6356,2024-07-23
1006630,횡성군(오산교),7,False,0.3793,2.217,2024-07-23
1006650,횡성군(횡성교),5,False,0.24,3.1933,2024-07-23
1006660,횡성군(전천교),7,False,0.3061,1.5665,2024-07-23
1006665,원주시(원주교),7,False,-0.1106,2.3071,2024-07-23
1006666,원주시(가현교),7,False,0.1412,2.2266,2024-07-23
1006670,원주시(옥산교),7,False,0.0564,2.0426,2024-07-23
1006672,원주시(장현교),7,False,0.2091,1.7167,2024-07-23
1006680,원주시(지정대교),7,False,0.3942,1.5298,2024-07-23
1006685,원주시(봉미교),6,False,0.2202,1.5445,2024-07-23
1006690,원주시(문막교),7,False,0.2098,1.8649,2024-07-23
1007604,안성시(한평교),5,False,-0.1431,3.7668,2024-07-23
1007605,이천시(장호원교),1,False,0.717,0.9137,2024-07-23
1007610,음성군(총천교),2,False,0.2606,2.3731,2024-07-23
1007615,여주시(원부교),1,False,0.7192,0.9048,2024-07-23
1007617,여주시(삼합교),1,False,0.6995,0.905,2024-07-23
1007620,여주시(강천리),7,False,0.2779,1.4729,2024-07-23
1007625,여주시(남한강교),7,False,0.2523,1.9084,2024-07-23
1007633,강천보(상류),3,False,0.5395,3.9689,2024-07-23
1007634,강천보(하류),7,False,0.1241,2.1015,2024-07-23
1007635,여주시(여주대교),7,False,0.293,1.75,2024-07-23
1007639,여주보(상류),3,True,0.5659,3.3786,2024-07-23
1007640,여주시(율극교),7,False,0.2713,1.8581,2024-07-23
1007641,여주보(하류),7,False,0.2385,1.7148,2024-07-23
1007642,이천시(동산교),5,False,-0.2155,4.2978,2024-07-23
1007645,이천시(복하교),5,False,0.2544,3.2732,2024-07-23
1007650,여주시(흥천대교),6,False,0.4546,1.6802,2024-07-23
1007655,여주시(양촌교),6,False,0.4673,1.4797,2024-07-23
1007662,이포보(상류),3,False,0.5697,3.9145,2024-07-23
1007664,이포보(하류),7,False,0.2895,1.8273,2024-07-23
1007680,양평군(흑천교),6,False,0.3751,1.5565,2024-07-23
1007685,양평군(양평교),7,False,0.3687,2.4445,2024-07-23
1007690,양평군(봉상교),6,False,0.4165,1.6247,2024-07-23
1007697,양평군(신원리),3,False,0.1465,4.9298,2024-07-23
