obscd,korObs,final_cluster,confidence,best_event,method
1001602,평창군(송정교),6,0.53,2024-07-23,C3_best_event
1001620,정선군(송계교),5,0.332,2024-07-24,C3_best_event
1001622,정선군(혈천교),3,0.678,2024-07-24,C3_best_event
1001623,정선군(오장2교),4,0.042,2025-08-14,C3_best_event
1001625,정선군(송천교),2,0.511,2024-07-18,C3_best_event
1001626,정선군(제1여량교),3,0.7,2024-07-24,C3_best_event
1001629,정선군(남평대교),5,0.427,2024-07-24,C3_best_event
1001630,정선군(나전교),2,0.576,2024-07-18,C3_best_event
1001641,정선군(각희교),4,0.193,2025-08-14,C3_best_event
1001645,정선군(와평교),6,0.489,2024-07-24,C3_best_event
1001649,정선군(애산교),6,0.574,2024-07-24,C3_best_event
1001650,정선군(삼거리교),4,0.232,2025-08-14,C3_best_event
1001655,정선군(정선제1교),6,0.616,2024-07-24,C3_best_event
1001658,정선군(광하교),6,0.585,2024-07-24,C3_best_event
1001660,정선군(낙동교),6,0.629,2024-07-24,C3_best_event
1001665,평창군(마하교),7,0.206,2025-08-14,C3_best_event
1001670,영월군(거운교),6,0.445,2024-07-24,C3_best_event
1001690,영월군(영월대교),6,0.608,2024-07-24,C3_best_event
1001695,영월군(신촌교),6,0.191,2025-08-14,C3_best_event
1002605,평창군(이목정교),2,0.545,2024-07-18,C3_best_event
1002610,평창군(장평교),2,0.556,2024-07-18,C3_best_event
1002615,평창군(진전교),2,0.507,2024-07-18,C3_best_event
1002625,평창군(선애교),6,0.476,2024-07-23,C3_best_event
1002626,평창군(바이오교),7,0.233,2025-08-14,C3_best_event
1002635,평창군(사초교),6,0.571,2024-07-23,C3_best_event
1002636,평창군(하방림교),7,0.028,2025-08-14,C3_best_event
1002640,평창군(상방림교),6,0.586,2024-07-23,C3_best_event
1002650,평창군(평창교),6,0.599,2024-07-23,C3_best_event
1002670,횡성군(둔방내리),7,-0.087,2025-08-14,C3_best_event
1002675,횡성군(안흥교),2,0.487,2024-07-18,C3_best_event
1002680,영월군(두학교),6,0.499,2024-07-23,C3_best_event
1002685,영월군(주천교),1,0.421,2024-07-24,C3_best_event
1002687,영월군(신천교),1,0.381,2024-07-24,C3_best_event
1002691,영월군(화병교),7,0.451,2025-08-14,C3_best_event
1002693,영월군(농공단지교),6,0.435,2024-07-18,C3_best_event
1002698,영월군(팔괴교),7,0.395,2025-08-14,C3_best_event
1003601,영월군(주채교),1,0.256,2025-08-14,C3_best_event
1003603,영월군(내리2교),1,0.365,2025-08-14,C3_best_event
1003605,영월군(충혼교),3,0.77,2024-07-24,C3_best_event
1003620,영월군(옥동교),1,0.697,2024-07-23,C3_best_event
1003625,영월군(각동교),7,0.493,2025-08-14,C3_best_event
1003626,단양군(들골교),6,-0.076,2025-08-14,C3_best_event
1003636,단양군(가대교),7,0.511,2025-08-14,C3_best_event
1003642,단양군(덕천교),2,0.237,2024-07-18,C3_best_event
1003645,단양군(단양1교),3,0.406,2024-07-18,C3_best_event
1003652,제천시(덕동교),7,0.221,2025-08-14,C3_best_event
1003657,제천시(강저3교),5,0.445,2025-08-14,C3_best_event
1003658,제천시(부수동교),6,0.475,2024-07-23,C3_best_event
1003660,제천시(팔송교),6,0.46,2024-07-23,C3_best_event
1003661,제천시(구곡교),6,0.468,2024-07-18,C3_best_event
1003667,제천시(용암교),6,-0.16,2025-08-14,C3_best_event
1004616,청주시(청석굴교),5,0.558,2024-07-24,C3_best_event
1004620,청주시(옥화1교),5,0.498,2024-07-24,C3_best_event
1004631,괴산군(월문교),4,0.308,2025-08-14,C3_best_event
1004640,괴산군(적석교),4,-0.204,2025-08-14,C3_best_event
1004645,괴산군(수전교),7,0.453,2024-07-18,C3_best_event
1004646,괴산군(비도교),4,0.333,2025-08-14,C3_best_event
1004661,괴산군(제2괴산교),3,0.722,2024-07-24,C3_best_event
1004670,괴산군(추산교),3,0.764,2024-07-24,C3_best_event
1004680,충주시(문강교),3,0.671,2024-07-24,C3_best_event
1004693,괴산군(목도교),3,0.724,2024-07-24,C3_best_event
1004694,충주시(주덕교),5,0.313,2025-08-14,C3_best_event
1004695,충주시(국원대교),1,0.715,2024-07-23,C3_best_event
1004696,충주시(봉계교),5,0.417,2025-08-14,C3_best_event
1005605,충주시(탄금교),2,0.435,2025-08-14,C3_best_event
1005640,충주시(목계교),3,0.661,2024-07-24,C3_best_event
1005650,충주시(능암교),6,0.205,2025-08-14,C3_best_event
1005660,충주시(세포교),6,-0.038,2025-08-14,C3_best_event
1005695,원주시(법천교),5,0.537,2025-08-14,C3_best_event
1005697,원주시(남한강대교),5,0.435,2024-07-23,C3_best_event
1006628,횡성군(청곡교),7,0.036,2025-08-14,C3_best_event
1006630,횡성군(오산교),5,0.523,2025-08-14,C3_best_event
1006650,횡성군(횡성교),5,0.521,2025-08-14,C3_best_event
1006660,횡성군(전천교),1,0.373,2024-07-24,C3_best_event
1006665,원주시(원주교),1,0.161,2025-08-14,C3_best_event
1006666,원주시(가현교),5,0.506,2025-08-14,C3_best_event
1006670,원주시(옥산교),2,0.57,2024-07-18,C3_best_event
1006672,원주시(장현교),2,0.572,2024-07-18,C3_best_event
1006677,원주시(판대2교),5,0.461,2025-08-14,C3_best_event
1006680,원주시(지정대교),1,0.458,2024-07-24,C3_best_event
1006685,원주시(봉미교),6,0.401,2024-07-18,C3_best_event
1006690,원주시(문막교),2,0.561,2024-07-18,C3_best_event
1007604,안성시(한평교),6,0.477,2024-07-18,C3_best_event
1007605,이천시(장호원교),1,0.717,2024-07-23,C3_best_event
1007606,안성시(두현교),5,0.437,2025-08-14,C3_best_event
1007608,이천시(고당교),5,0.319,2025-08-14,C3_best_event
1007610,음성군(총천교),6,0.374,2024-07-25,C3_best_event
1007615,여주시(원부교),1,0.719,2024-07-23,C3_best_event
1007617,여주시(삼합교),1,0.7,2024-07-23,C3_best_event
1007620,여주시(강천리),4,0.664,2024-07-18,C3_best_event
1007625,여주시(남한강교),4,0.484,2024-07-18,C3_best_event
1007626,여주시(용은교),6,0.107,2025-08-14,C3_best_event
1007633,강천보(상류),3,0.539,2024-07-23,C3_best_event
1007634,강천보(하류),4,0.607,2024-07-18,C3_best_event
1007635,여주시(여주대교),4,0.608,2024-07-18,C3_best_event
1007637,여주시(당우교),5,0.546,2025-08-14,C3_best_event
1007639,여주보(상류),3,0.566,2024-07-23,C3_best_event
1007640,여주시(율극교),6,0.4,2024-07-18,C3_best_event
1007641,여주보(하류),4,0.62,2024-07-18,C3_best_event
1007642,이천시(동산교),6,0.438,2024-07-18,C3_best_event
1007645,이천시(복하교),6,0.376,2024-07-18,C3_best_event
1007650,여주시(흥천대교),6,0.455,2024-07-23,C3_best_event
1007655,여주시(양촌교),2,0.474,2024-07-18,C3_best_event
1007662,이포보(상류),3,0.57,2024-07-23,C3_best_event
1007664,이포보(하류),4,0.592,2024-07-18,C3_best_event
1007680,양평군(흑천교),5,0.586,2025-08-14,C3_best_event
1007685,양평군(양평교),2,0.616,2025-08-14,C3_best_event
1007687,양평군(여물교),7,-0.099,2025-08-14,C3_best_event
1007690,양평군(봉상교),6,0.416,2024-07-23,C3_best_event
1007697,양평군(신원리),2,0.641,2025-08-14,C3_best_event
