obscd,korObs,rank,neighbor_obscd,neighbor_korObs,score,method
1001602,평창군(송정교),1,1002615,평창군(진전교),5,T2_frequency
1001602,평창군(송정교),2,1001630,정선군(나전교),4,T2_frequency
1001602,평창군(송정교),3,1002605,평창군(이목정교),3,T2_frequency
1001602,평창군(송정교),4,1002635,평창군(사초교),3,T2_frequency
1001602,평창군(송정교),5,1003642,단양군(덕천교),3,T2_frequency
1001620,정선군(송계교),1,1001626,정선군(제1여량교),2,T2_frequency
1001620,정선군(송계교),2,1001670,영월군(거운교),2,T2_frequency
1001620,정선군(송계교),3,1007605,이천시(장호원교),2,T2_frequency
1001620,정선군(송계교),4,1007615,여주시(원부교),2,T2_frequency
1001620,정선군(송계교),5,1007617,여주시(삼합교),2,T2_frequency
1001622,정선군(혈천교),1,1001626,정선군(제1여량교),3,T2_frequency
1001622,정선군(혈천교),2,1001629,정선군(남평대교),2,T2_frequency
1001622,정선군(혈천교),3,1003605,영월군(충혼교),2,T2_frequency
1001622,정선군(혈천교),4,1004620,청주시(옥화1교),2,T2_frequency
1001622,정선군(혈천교),5,1005640,충주시(목계교),2,T2_frequency
1001623,정선군(오장2교),1,1001620,정선군(송계교),1,T2_frequency
1001623,정선군(오장2교),2,1001625,정선군(송천교),1,T2_frequency
1001623,정선군(오장2교),3,1002675,횡성군(안흥교),1,T2_frequency
1001623,정선군(오장2교),4,1003642,단양군(덕천교),1,T2_frequency
1001623,정선군(오장2교),5,1006690,원주시(문막교),1,T2_frequency
1001625,정선군(송천교),1,1001658,정선군(광하교),4,T2_frequency
1001625,정선군(송천교),2,1001690,영월군(영월대교),4,T2_frequency
1001625,정선군(송천교),3,1001655,정선군(정선제1교),3,T2_frequency
1001625,정선군(송천교),4,1001660,정선군(낙동교),3,T2_frequency
1001625,정선군(송천교),5,1001670,영월군(거운교),3,T2_frequency
1001626,정선군(제1여량교),1,1003605,영월군(충혼교),4,T2_frequency
1001626,정선군(제1여량교),2,1001622,정선군(혈천교),3,T2_frequency
1001626,정선군(제1여량교),3,1001620,정선군(송계교),2,T2_frequency
1001626,정선군(제1여량교),4,1004670,괴산군(추산교),2,T2_frequency
1001626,정선군(제1여량교),5,1005640,충주시(목계교),2,T2_frequency
1001629,정선군(남평대교),1,1001625,정선군(송천교),2,T2_frequency
1001629,정선군(남평대교),2,1001670,영월군(거운교),2,T2_frequency
1001629,정선군(남평대교),3,1004616,청주시(청석굴교),2,T2_frequency
1001629,정선군(남평대교),4,1007605,이천시(장호원교),2,T2_frequency
1001629,정선군(남평대교),5,1007615,여주시(원부교),2,T2_frequency
1001630,정선군(나전교),1,1001602,평창군(송정교),4,T2_frequency
1001630,정선군(나전교),2,1002635,평창군(사초교),3,T2_frequency
1001630,정선군(나전교),3,1003642,단양군(덕천교),3,T2_frequency
1001630,정선군(나전교),4,1003658,제천시(부수동교),3,T2_frequency
1001630,정선군(나전교),5,1003660,제천시(팔송교),3,T2_frequency
1001641,정선군(각희교),1,1001620,정선군(송계교),1,T2_frequency
1001641,정선군(각희교),2,1001623,정선군(오장2교),1,T2_frequency
1001641,정선군(각희교),3,1001660,정선군(낙동교),1,T2_frequency
1001641,정선군(각희교),4,1003645,단양군(단양1교),1,T2_frequency
1001641,정선군(각희교),5,1007641,여주보(하류),1,T2_frequency
1001645,정선군(와평교),1,1001649,정선군(애산교),5,T2_frequency
1001645,정선군(와평교),2,1001660,정선군(낙동교),4,T2_frequency
1001645,정선군(와평교),3,1001690,영월군(영월대교),3,T2_frequency
1001645,정선군(와평교),4,1003636,단양군(가대교),3,T2_frequency
1001645,정선군(와평교),5,1003642,단양군(덕천교),3,T2_frequency
1001649,정선군(애산교),1,1001645,정선군(와평교),5,T2_frequency
1001649,정선군(애산교),2,1001660,정선군(낙동교),4,T2_frequency
