obscd,korObs,T1_rank1,T2_rank1,T3_rank1,T4_rank1,rank1_agree
1001602,평창군(송정교),정선군(나전교),평창군(진전교),정선군(나전교),평창군(진전교),False
1001620,정선군(송계교),괴산군(적석교),정선군(제1여량교),괴산군(적석교),정선군(제1여량교),False
1001622,정선군(혈천교),정선군(제1여량교),정선군(제1여량교),정선군(제1여량교),정선군(제1여량교),True
1001623,정선군(오장2교),단양군(덕천교),정선군(송계교),단양군(덕천교),정선군(송계교),False
1001625,정선군(송천교),정선군(광하교),정선군(광하교),정선군(광하교),정선군(광하교),True
1001626,정선군(제1여량교),정선군(혈천교),영월군(충혼교),정선군(혈천교),영월군(충혼교),False
1001629,정선군(남평대교),단양군(가대교),정선군(송천교),단양군(가대교),정선군(송천교),False
1001630,정선군(나전교),평창군(송정교),평창군(송정교),평창군(송정교),평창군(송정교),True
1001641,정선군(각희교),정선군(낙동교),정선군(송계교),정선군(낙동교),정선군(송계교),False
1001645,정선군(와평교),정선군(애산교),정선군(애산교),정선군(애산교),정선군(애산교),True
1001649,정선군(애산교),정선군(와평교),정선군(와평교),정선군(와평교),정선군(와평교),True
1001650,정선군(삼거리교),괴산군(비도교),정선군(각희교),괴산군(비도교),정선군(각희교),False
1001655,정선군(정선제1교),정선군(송천교),정선군(광하교),정선군(광하교),정선군(광하교),False
1001658,정선군(광하교),정선군(송천교),정선군(정선제1교),정선군(송천교),정선군(정선제1교),False
1001660,정선군(낙동교),영월군(충혼교),정선군(와평교),영월군(충혼교),정선군(와평교),False
1001665,평창군(마하교),충주시(세포교),평창군(송정교),충주시(세포교),평창군(송정교),False
1001670,영월군(거운교),단양군(덕천교),정선군(광하교),단양군(덕천교),정선군(광하교),False
1001690,영월군(영월대교),영월군(거운교),단양군(가대교),영월군(거운교),단양군(덕천교),False
1001695,영월군(신촌교),정선군(와평교),정선군(와평교),정선군(와평교),정선군(와평교),True
1002605,평창군(이목정교),평창군(상방림교),평창군(진전교),평창군(상방림교),평창군(진전교),False
1002610,평창군(장평교),평창군(선애교),정선군(나전교),평창군(선애교),정선군(나전교),False
1002615,평창군(진전교),양평군(봉상교),평창군(이목정교),양평군(봉상교),평창군(이목정교),False
1002625,평창군(선애교),평창군(장평교),평창군(상방림교),평창군(장평교),평창군(상방림교),False
1002626,평창군(바이오교),평창군(하방림교),정선군(광하교),평창군(하방림교),정선군(광하교),False
1002635,평창군(사초교),평창군(송정교),정선군(나전교),평창군(송정교),정선군(나전교),False
1002636,평창군(하방림교),평창군(바이오교),평창군(송정교),평창군(바이오교),평창군(송정교),False
1002640,평창군(상방림교),원주시(판대2교),평창군(평창교),원주시(판대2교),평창군(평창교),False
1002650,평창군(평창교),원주시(판대2교),평창군(상방림교),원주시(판대2교),평창군(상방림교),False
1002670,횡성군(둔방내리),횡성군(안흥교),평창군(송정교),횡성군(안흥교),평창군(송정교),False
1002675,횡성군(안흥교),영월군(두학교),여주시(양촌교),영월군(두학교),여주시(양촌교),False
1002680,영월군(두학교),영월군(신천교),횡성군(안흥교),영월군(신천교),횡성군(안흥교),False
1002685,영월군(주천교),영월군(신천교),영월군(신천교),영월군(신천교),영월군(신천교),True
1002687,영월군(신천교),영월군(팔괴교),영월군(주천교),영월군(팔괴교),영월군(주천교),False
1002691,영월군(화병교),영월군(팔괴교),평창군(송정교),영월군(팔괴교),평창군(송정교),False
1002693,영월군(농공단지교),원주시(봉미교),제천시(팔송교),원주시(봉미교),제천시(팔송교),False
1002698,영월군(팔괴교),영월군(화병교),정선군(나전교),영월군(화병교),정선군(나전교),False
1003601,영월군(주채교),괴산군(목도교),영월군(내리2교),괴산군(목도교),영월군(내리2교),False
1003603,영월군(내리2교),영월군(주채교),영월군(주채교),영월군(주채교),영월군(주채교),True
1003605,영월군(충혼교),정선군(낙동교),영월군(옥동교),정선군(낙동교),영월군(옥동교),False
1003620,영월군(옥동교),충주시(국원대교),영월군(충혼교),충주시(국원대교),영월군(충혼교),False
1003625,영월군(각동교),영월군(화병교),정선군(나전교),영월군(화병교),정선군(나전교),False
1003626,단양군(들골교),원주시(법천교),제천시(강저3교),원주시(법천교),제천시(강저3교),False
1003636,단양군(가대교),단양군(덕천교),정선군(나전교),단양군(덕천교),정선군(나전교),False
1003642,단양군(덕천교),단양군(가대교),영월군(영월대교),단양군(가대교),단양군(가대교),False
1003645,단양군(단양1교),청주시(청석굴교),충주시(문강교),청주시(청석굴교),충주시(문강교),False
