record_no,date,datetime,forecast_no,point,warn_level,action,raw_action,wlobscd,kind,url,sphereLarge,codeWatershed,korStream,in_designFlood,coverageStream
76,2025-09-20,2025-09-20 15:50,홍수예보 제 2025-41호,인제군(현리교),주의보,해제,홍수주의보 해제,,,,한강,101204,방태천,N,인제군(진동2교);인제군(현리교)
75,2025-09-20,2025-09-20 05:40,홍수예보 제 2025-40호,인제군(현리교),주의보,발령,홍수주의보 발령,1012640,0,https://w.floodmap.go.kr?wlobscd=1012640&kind=0,한강,101204,방태천,N,인제군(진동2교);인제군(현리교)
74,2025-09-17,2025-09-17 20:00,홍수예보 제 2025-39호,인제군(현리교),주의보,해제,홍수주의보 해제,,,,한강,101204,방태천,N,인제군(진동2교);인제군(현리교)
73,2025-09-17,2025-09-17 16:50,홍수예보 제 2025-38호,인제군(현리교),주의보,발령,홍수주의보 발령,1012640,0,https://w.floodmap.go.kr?wlobscd=1012640&kind=0,한강,101204,방태천,N,인제군(진동2교);인제군(현리교)
72,2025-09-13,2025-09-13 13:40,홍수예보 제 2025-37호,인제군(현리교),주의보,해제,홍수주의보 해제,,,,한강,101204,방태천,N,인제군(진동2교);인제군(현리교)
71,2025-09-13,2025-09-13 07:40,홍수예보 제 2025-36호,인제군(현리교),주의보,발령,홍수주의보 발령,1012640,0,https://w.floodmap.go.kr?wlobscd=1012640&kind=0,한강,101204,방태천,N,인제군(진동2교);인제군(현리교)
70,2025-08-14,2025-08-14 14:10,홍수예보 제 2025-35호,횡성군(오산교),주의보,해제,홍수주의보 해제,,,,한강,100603,금계천,N,횡성군(오산교);횡성군(청곡교)
69,2025-08-14,2025-08-14 11:20,홍수예보 제 2025-34호,가평군(대보교),주의보,해제,홍수주의보 해제,,,,한강,101504,조종천,Y,가평군(대보교);가평군(신상교);가평군(청평교)
69,2025-08-14,2025-08-14 11:20,홍수예보 제 2025-34호,의정부시(신곡교),주의보,해제,홍수주의보 해제,,,,한강,101808,중랑천,Y,서울시(광진교);서울시(월계2교);서울시(중랑교);서울시(창동교);서울시(청담대교);양주시(마전3교);의정부시(금신교);의정부시(신곡교)
69,2025-08-14,2025-08-14 11:20,홍수예보 제 2025-34호,서울시(중랑교),주의보,해제,홍수주의보 해제,,,,한강,101810,중랑천,Y,서울시(광진교);서울시(월계2교);서울시(중랑교);서울시(창동교);서울시(청담대교);양주시(마전3교);의정부시(금신교);의정부시(신곡교)
69,2025-08-14,2025-08-14 11:20,홍수예보 제 2025-34호,고양시(원당교),경보,해제,홍수경보 해제,,,,한강,101905,공릉천,Y,고양시(원당교);김포시(사우교);양주시(제궁교)
69,2025-08-14,2025-08-14 11:20,홍수예보 제 2025-34호,포천시(포천대교),주의보,해제,홍수주의보 해제,,,,한강,102208,포천천,Y,포천시(가산교);포천시(은현교);포천시(지현교);포천시(포천대교)
69,2025-08-14,2025-08-14 11:20,홍수예보 제 2025-34호,포천시(은현교),주의보,해제,홍수주의보 해제,,,,한강,102209,포천천,Y,포천시(가산교);포천시(은현교);포천시(지현교);포천시(포천대교)
69,2025-08-14,2025-08-14 11:20,홍수예보 제 2025-34호,동두천시(송천교),경보,해제,홍수경보 해제,,,,한강,102213,신천,Y,동두천시(송천교);양주시(발운2교);연천군(신천교)
69,2025-08-14,2025-08-14 11:20,홍수예보 제 2025-34호,연천군(신천교),주의보,해제,홍수주의보 해제,,,,한강,102213,신천,Y,동두천시(송천교);양주시(발운2교);연천군(신천교)
69,2025-08-14,2025-08-14 11:20,홍수예보 제 2025-34호,파주시(만장교),주의보,해제,홍수주의보 해제,,,,한강,102305,문산천,Y,파주시(만장교);파주시(신우교);파주시(아가메교);파주시(전진교);파주시(주월교);파주시(통일대교)
68,2025-08-14,2025-08-14 10:20,홍수예보 제 2025-33호,횡성군(오산교),주의보,발령,홍수주의보 발령,1006630,0,https://w.floodmap.go.kr?wlobscd=1006630&kind=0,한강,100603,금계천,N,횡성군(오산교);횡성군(청곡교)
67,2025-08-13,2025-08-13 14:20,홍수예보 제 2025-32호,포천시(은현교),주의보,발령,홍수주의보 발령,1022648,0,https://w.floodmap.go.kr?wlobscd=1022648&kind=0,한강,102209,포천천,Y,포천시(가산교);포천시(은현교);포천시(지현교);포천시(포천대교)
66,2025-08-13,2025-08-13 14:10,홍수예보 제 2025-31호,연천군(신천교),주의보,발령,홍수주의보 발령,1022670,0,https://w.floodmap.go.kr?wlobscd=1022670&kind=0,한강,102213,신천,Y,동두천시(송천교);양주시(발운2교);연천군(신천교)
65,2025-08-13,2025-08-13 13:20,홍수예보 제 2025-30호,파주시(만장교),주의보,발령,홍수주의보 발령,1023674,0,https://w.floodmap.go.kr?wlobscd=1023674&kind=0,한강,102305,문산천,Y,파주시(만장교);파주시(신우교);파주시(아가메교);파주시(전진교);파주시(주월교);파주시(통일대교)
64,2025-08-13,2025-08-13 13:10,홍수예보 제 2025-29호,동두천시(송천교),경보,변경,홍수경보 변경(격상),1022668,1,https://w.floodmap.go.kr?wlobscd=1022668&kind=1,한강,102213,신천,Y,동두천시(송천교);양주시(발운2교);연천군(신천교)
63,2025-08-13,2025-08-13 13:10,홍수예보 제 2025-28호,서울시(중랑교),주의보,발령,홍수주의보 발령,1018675,0,https://w.floodmap.go.kr?wlobscd=1018675&kind=0,한강,101810,중랑천,Y,서울시(광진교);서울시(월계2교);서울시(중랑교);서울시(창동교);서울시(청담대교);양주시(마전3교);의정부시(금신교);의정부시(신곡교)
62,2025-08-13,2025-08-13 13:00,홍수예보 제 2025-27호,가평군(대보교),주의보,발령,홍수주의보 발령,1015620,0,https://w.floodmap.go.kr?wlobscd=1015620&kind=0,한강,101504,조종천,Y,가평군(대보교);가평군(신상교);가평군(청평교)
61,2025-08-13,2025-08-13 12:50,홍수예보 제 2025-26호,포천시(포천대교),주의보,발령,홍수주의보 발령,1022647,0,https://w.floodmap.go.kr?wlobscd=1022647&kind=0,한강,102208,포천천,Y,포천시(가산교);포천시(은현교);포천시(지현교);포천시(포천대교)
60,2025-08-13,2025-08-13 12:40,홍수예보 제 2025-25호,의정부시(신곡교),주의보,발령,홍수주의보 발령,1018665,0,https://w.floodmap.go.kr?wlobscd=1018665&kind=0,한강,101808,중랑천,Y,서울시(광진교);서울시(월계2교);서울시(중랑교);서울시(창동교);서울시(청담대교);양주시(마전3교);의정부시(금신교);의정부시(신곡교)
59,2025-08-13,2025-08-13 12:30,홍수예보 제 2025-24호,고양시(원당교),경보,변경,홍수경보 변경(격상),1019667,1,https://w.floodmap.go.kr?wlobscd=1019667&kind=1,한강,101905,공릉천,Y,고양시(원당교);김포시(사우교);양주시(제궁교)
58,2025-08-13,2025-08-13 12:10,홍수예보 제 2025-23호,동두천시(송천교),주의보,발령,홍수주의보 발령,1022668,0,https://w.floodmap.go.kr?wlobscd=1022668&kind=0,한강,102213,신천,Y,동두천시(송천교);양주시(발운2교);연천군(신천교)
57,2025-08-13,2025-08-13 11:50,홍수예보 제 2025-22호,고양시(원당교),주의보,발령,홍수주의보 발령,1019667,0,https://w.floodmap.go.kr?wlobscd=1019667&kind=0,한강,101905,공릉천,Y,고양시(원당교);김포시(사우교);양주시(제궁교)
56,2025-07-20,2025-07-20 16:00,홍수예보 제 2025-21호,가평군(대보교),경보,해제,홍수경보 해제,,,,한강,101504,조종천,Y,가평군(대보교);가평군(신상교);가평군(청평교)
56,2025-07-20,2025-07-20 16:00,홍수예보 제 2025-21호,남양주시(진관교),주의보,해제,홍수주의보 해제,,,,한강,101803,왕숙천,Y,남양주시(왕숙교);남양주시(진관교);남양주시(퇴계원리)
55,2025-07-20,2025-07-20 14:30,홍수예보 제 2025-20호,동두천시(송천교),주의보,해제,홍수주의보 해제,,,,한강,102213,신천,Y,동두천시(송천교);양주시(발운2교);연천군(신천교)
54,2025-07-20,2025-07-20 11:20,홍수예보 제 2025-19호,가평군(가평교),경보,해제,홍수경보 해제,,,,한강,101306,가평천,Y,가평군(가평교);가평군(제령교);가평군(화악교)
54,2025-07-20,2025-07-20 11:20,홍수예보 제 2025-19호,남양주시(부평교),주의보,해제,홍수주의보 해제,,,,한강,101802,퇴계원수위표,Y,남양주시(내곡교);남양주시(부평교);남양주시(연평대교);포천시(마명1교)
54,2025-07-20,2025-07-20 11:20,홍수예보 제 2025-19호,남양주시(왕숙교),주의보,해제,홍수주의보 해제,,,,한강,101803,왕숙천,Y,남양주시(왕숙교);남양주시(진관교);남양주시(퇴계원리)
54,2025-07-20,2025-07-20 11:20,홍수예보 제 2025-19호,의정부시(신곡교),주의보,해제,홍수주의보 해제,,,,한강,101808,중랑천,Y,서울시(광진교);서울시(월계2교);서울시(중랑교);서울시(창동교);서울시(청담대교);양주시(마전3교);의정부시(금신교);의정부시(신곡교)
54,2025-07-20,2025-07-20 11:20,홍수예보 제 2025-19호,고양시(원당교),경보,해제,홍수경보 해제,,,,한강,101905,공릉천,Y,고양시(원당교);김포시(사우교);양주시(제궁교)
54,2025-07-20,2025-07-20 11:20,홍수예보 제 2025-19호,포천시(포천대교),주의보,해제,홍수주의보 해제,,,,한강,102208,포천천,Y,포천시(가산교);포천시(은현교);포천시(지현교);포천시(포천대교)
54,2025-07-20,2025-07-20 11:20,홍수예보 제 2025-19호,포천시(은현교),주의보,해제,홍수주의보 해제,,,,한강,102209,포천천,Y,포천시(가산교);포천시(은현교);포천시(지현교);포천시(포천대교)
53,2025-07-20,2025-07-20 04:50,홍수예보 제 2025-18호,가평군(가평교),경보,변경,홍수경보 변경,1013655,3,https://w.floodmap.go.kr?wlobscd=1013655&kind=3,한강,101306,가평천,Y,가평군(가평교);가평군(제령교);가평군(화악교)
52,2025-07-20,2025-07-20 04:20,홍수예보 제 2025-17호,남양주시(왕숙교),주의보,발령,홍수주의보 발령,1018638,0,https://w.floodmap.go.kr?wlobscd=1018638&kind=0,한강,101803,왕숙천,Y,남양주시(왕숙교);남양주시(진관교);남양주시(퇴계원리)
51,2025-07-20,2025-07-20 03:50,홍수예보 제 2025-16호,가평군(가평교),주의보,발령,홍수주의보 발령,1013655,0,https://w.floodmap.go.kr?wlobscd=1013655&kind=0,한강,101306,가평천,Y,가평군(가평교);가평군(제령교);가평군(화악교)
50,2025-07-20,2025-07-20 03:40,홍수예보 제 2025-15호,남양주시(진관교),주의보,발령,홍수주의보 발령,1018630,0,https://w.floodmap.go.kr?wlobscd=1018630&kind=0,한강,101803,왕숙천,Y,남양주시(왕숙교);남양주시(진관교);남양주시(퇴계원리)
49,2025-07-20,2025-07-20 03:30,홍수예보 제 2025-14호,포천시(은현교),주의보,발령,홍수주의보 발령,1022648,0,https://w.floodmap.go.kr?wlobscd=1022648&kind=0,한강,102209,포천천,Y,포천시(가산교);포천시(은현교);포천시(지현교);포천시(포천대교)
48,2025-07-20,2025-07-20 03:00,홍수예보 제 2025-13호,고양시(원당교),경보,변경,홍수경보 변경,1019667,3,https://w.floodmap.go.kr?wlobscd=1019667&kind=3,한강,101905,공릉천,Y,고양시(원당교);김포시(사우교);양주시(제궁교)
47,2025-07-20,2025-07-20 02:40,홍수예보 제 2025-12호,가평군(대보교),경보,변경,홍수경보 변경,1015620,3,https://w.floodmap.go.kr?wlobscd=1015620&kind=3,한강,101504,조종천,Y,가평군(대보교);가평군(신상교);가평군(청평교)
46,2025-07-20,2025-07-20 02:40,홍수예보 제 2025-11호,남양주시(부평교),주의보,발령,홍수주의보 발령,1018620,0,https://w.floodmap.go.kr?wlobscd=1018620&kind=0,한강,101802,퇴계원수위표,Y,남양주시(내곡교);남양주시(부평교);남양주시(연평대교);포천시(마명1교)
45,2025-07-20,2025-07-20 02:40,홍수예보 제 2025-10호,의정부시(신곡교),주의보,발령,홍수주의보 발령,1018665,0,https://w.floodmap.go.kr?wlobscd=1018665&kind=0,한강,101808,중랑천,Y,서울시(광진교);서울시(월계2교);서울시(중랑교);서울시(창동교);서울시(청담대교);양주시(마전3교);의정부시(금신교);의정부시(신곡교)
44,2025-07-20,2025-07-20 02:20,홍수예보 제 2025-9호,동두천시(송천교),주의보,발령,홍수주의보 발령,1022668,0,https://w.floodmap.go.kr?wlobscd=1022668&kind=0,한강,102213,신천,Y,동두천시(송천교);양주시(발운2교);연천군(신천교)
43,2025-07-20,2025-07-20 02:20,홍수예보 제 2025-8호,가평군(대보교),주의보,발령,홍수주의보 발령,1015620,0,https://w.floodmap.go.kr?wlobscd=1015620&kind=0,한강,101504,조종천,Y,가평군(대보교);가평군(신상교);가평군(청평교)
43,2025-07-20,2025-07-20 02:20,홍수예보 제 2025-8호,고양시(원당교),주의보,발령,홍수주의보 발령,1019667,0,https://w.floodmap.go.kr?wlobscd=1019667&kind=0,한강,101905,공릉천,Y,고양시(원당교);김포시(사우교);양주시(제궁교)
42,2025-07-20,2025-07-20 02:10,홍수예보 제 2025-7호,포천시(포천대교),주의보,발령,홍수주의보 발령,1022647,0,https://w.floodmap.go.kr?wlobscd=1022647&kind=0,한강,102208,포천천,Y,포천시(가산교);포천시(은현교);포천시(지현교);포천시(포천대교)
41,2025-07-19,2025-07-19 10:20,홍수예보 제 2025-6호,서울시(너부대교),주의보,해제,홍수주의보 해제,,,,한강,101815,안양천,Y,광명시(시흥대교);서울시(너부대교);서울시(신대방1교);서울시(신림5교);서울시(오금교);안양시(충훈1교)
40,2025-07-19,2025-07-19 03:10,홍수예보 제 2025-5호,서울시(너부대교),주의보,발령,홍수주의보 발령,1018695,0,https://w.floodmap.go.kr?wlobscd=1018695&kind=0,한강,101815,안양천,Y,광명시(시흥대교);서울시(너부대교);서울시(신대방1교);서울시(신림5교);서울시(오금교);안양시(충훈1교)
39,2025-07-18,2025-07-18 08:10,홍수예보 제 2025-4호,평택시(군문교),주의보,해제,홍수주의보 해제,,,,안성천,110107,평택수위표,Y,아산시(운교교);안성시(건천리);천안시(안성천교);평택시(군문교)
38,2025-07-17,2025-07-17 11:10,홍수예보 제 2025-3호,서울시(신대방1교),주의보,해제,홍수주의보 해제,,,,한강,101816,안양천,Y,광명시(시흥대교);서울시(너부대교);서울시(신대방1교);서울시(신림5교);서울시(오금교);안양시(충훈1교)
37,2025-07-17,2025-07-17 09:20,홍수예보 제 2025-2호,서울시(신대방1교),주의보,발령,홍수주의보 발령,1018698,0,https://w.floodmap.go.kr?wlobscd=1018698&kind=0,한강,101816,안양천,Y,광명시(시흥대교);서울시(너부대교);서울시(신대방1교);서울시(신림5교);서울시(오금교);안양시(충훈1교)
36,2025-07-17,2025-07-17 08:40,홍수예보 제 2025-1호,평택시(군문교),주의보,발령,홍수주의보 발령,1101635,0,https://w.floodmap.go.kr?wlobscd=1101635&kind=0,안성천,110107,평택수위표,Y,아산시(운교교);안성시(건천리);천안시(안성천교);평택시(군문교)
35,2024-08-22,2024-08-22 12:20,홍수예보 제 2024-35호,연천군(임진교),주의보,해제,홍수주의보 해제,,,,한강,102109,한탄강,Y,연천군(사랑교);연천군(임진교);철원군(삼합교)
34,2024-08-22,2024-08-22 04:30,홍수예보 제 2024-34호,연천군(임진교),주의보,발령,홍수주의보 발령,1021680,0,https://w.floodmap.go.kr?wlobscd=1021680&kind=0,한강,102109,한탄강,Y,연천군(사랑교);연천군(임진교);철원군(삼합교)
33,2024-07-24,2024-07-24 16:30,홍수예보 제 2024-33호,횡성군(오산교),주의보,해제,홍수주의보 해제,,,,한강,100603,금계천,N,횡성군(오산교);횡성군(청곡교)
32,2024-07-24,2024-07-24 06:00,홍수예보 제 2024-32호,횡성군(오산교),주의보,발령,홍수주의보 발령,1006630,0,https://w.floodmap.go.kr?wlobscd=1006630&kind=0,한강,100603,금계천,N,횡성군(오산교);횡성군(청곡교)
31,2024-07-23,2024-07-23 11:00,홍수예보 제 2024-31호,횡성군(오산교),주의보,해제,홍수주의보 해제,,,,한강,100603,금계천,N,횡성군(오산교);횡성군(청곡교)
30,2024-07-23,2024-07-23 04:10,홍수예보 제 2024-30호,횡성군(오산교),주의보,발령,홍수주의보 발령,1006630,0,https://w.floodmap.go.kr?wlobscd=1006630&kind=0,한강,100603,금계천,N,횡성군(오산교);횡성군(청곡교)
29,2024-07-18,2024-07-18 23:00,홍수예보 제 2024-29호,횡성군(오산교),주의보,해제,홍수주의보 해제,,,,한강,100603,금계천,N,횡성군(오산교);횡성군(청곡교)
