event_date,obscd,korObs,peak_time,peak_wl,has_peak,window_start,window_end,n_expected,n_actual,missing_rate,included
2024-07-18,1001602,평창군(송정교),2024-07-18 16:00:00,3.19,True,2024-07-15 16:00:00,2024-07-23 16:00:00,193,193,0.0,True
2024-07-18,1001620,정선군(송계교),2024-07-18 17:00:00,0.15,True,2024-07-15 17:00:00,2024-07-23 17:00:00,193,193,0.0,True
2024-07-18,1001622,정선군(혈천교),2024-07-19 04:00:00,2.17,True,2024-07-16 04:00:00,2024-07-24 04:00:00,193,193,0.0,True
2024-07-18,1001623,정선군(오장2교),,,False,,,193,0,1.0,False
2024-07-18,1001625,정선군(송천교),2024-07-18 21:00:00,1.87,True,2024-07-15 21:00:00,2024-07-23 21:00:00,193,193,0.0,True
2024-07-18,1001626,정선군(제1여량교),2024-07-19 09:00:00,2.19,True,2024-07-16 09:00:00,2024-07-24 09:00:00,193,193,0.0,True
2024-07-18,1001629,정선군(남평대교),2024-07-19 04:00:00,2.95,True,2024-07-16 04:00:00,2024-07-24 04:00:00,193,193,0.0,True
2024-07-18,1001630,정선군(나전교),2024-07-18 19:00:00,3.05,True,2024-07-15 19:00:00,2024-07-23 19:00:00,193,193,0.0,True
2024-07-18,1001641,정선군(각희교),,,False,,,193,0,1.0,False
2024-07-18,1001645,정선군(와평교),2024-07-19 01:00:00,2.82,True,2024-07-16 01:00:00,2024-07-24 01:00:00,193,193,0.0,True
2024-07-18,1001649,정선군(애산교),2024-07-19 00:00:00,2.64,True,2024-07-16 00:00:00,2024-07-24 00:00:00,193,193,0.0,True
2024-07-18,1001650,정선군(삼거리교),,,False,,,193,0,1.0,False
2024-07-18,1001655,정선군(정선제1교),2024-07-19 00:00:00,1.65,True,2024-07-16 00:00:00,2024-07-24 00:00:00,193,193,0.0,True
2024-07-18,1001658,정선군(광하교),2024-07-19 02:00:00,3.2,True,2024-07-16 02:00:00,2024-07-24 02:00:00,193,193,0.0,True
2024-07-18,1001660,정선군(낙동교),2024-07-18 21:00:00,2.8,True,2024-07-15 21:00:00,2024-07-23 21:00:00,193,193,0.0,True
2024-07-18,1001661,정선군(광탄교),,,False,,,193,0,1.0,False
2024-07-18,1001665,평창군(마하교),,,False,,,193,0,1.0,False
2024-07-18,1001670,영월군(거운교),2024-07-19 03:00:00,3.66,True,2024-07-16 03:00:00,2024-07-24 03:00:00,193,193,0.0,True
2024-07-18,1001690,영월군(영월대교),2024-07-19 04:00:00,2.29,True,2024-07-16 04:00:00,2024-07-24 04:00:00,193,193,0.0,True
2024-07-18,1001695,영월군(신촌교),,,False,,,193,0,1.0,False
2024-07-18,1002605,평창군(이목정교),2024-07-18 14:00:00,3.17,True,2024-07-15 14:00:00,2024-07-23 14:00:00,193,193,0.0,True
2024-07-18,1002610,평창군(장평교),2024-07-18 15:00:00,1.29,True,2024-07-15 15:00:00,2024-07-23 15:00:00,193,193,0.0,True
2024-07-18,1002615,평창군(진전교),2024-07-18 13:00:00,1.96,True,2024-07-15 13:00:00,2024-07-23 13:00:00,193,193,0.0,True
2024-07-18,1002625,평창군(선애교),2024-07-18 16:00:00,3.03,True,2024-07-15 16:00:00,2024-07-23 16:00:00,193,193,0.0,True
2024-07-18,1002626,평창군(바이오교),,,False,,,193,0,1.0,False
2024-07-18,1002635,평창군(사초교),2024-07-18 18:00:00,2.59,True,2024-07-15 18:00:00,2024-07-23 18:00:00,193,193,0.0,True
2024-07-18,1002636,평창군(하방림교),,,False,,,193,0,1.0,False
2024-07-18,1002640,평창군(상방림교),2024-07-18 16:00:00,2.43,True,2024-07-15 16:00:00,2024-07-23 16:00:00,193,193,0.0,True
2024-07-18,1002650,평창군(평창교),2024-07-18 18:00:00,2.41,True,2024-07-15 18:00:00,2024-07-23 18:00:00,193,193,0.0,True
2024-07-18,1002670,횡성군(둔방내리),,,False,,,193,0,1.0,False
2024-07-18,1002675,횡성군(안흥교),2024-07-18 14:00:00,3.05,True,2024-07-15 14:00:00,2024-07-23 14:00:00,193,193,0.0,True
2024-07-18,1002680,영월군(두학교),2024-07-18 16:00:00,2.32,True,2024-07-15 16:00:00,2024-07-23 16:00:00,193,193,0.0,True
2024-07-18,1002685,영월군(주천교),2024-07-18 18:00:00,3.4,True,2024-07-15 18:00:00,2024-07-23 18:00:00,193,193,0.0,True
2024-07-18,1002687,영월군(신천교),2024-07-18 19:00:00,3.69,True,2024-07-15 19:00:00,2024-07-23 19:00:00,193,193,0.0,True
2024-07-18,1002691,영월군(화병교),,,False,,,193,0,1.0,False
2024-07-18,1002693,영월군(농공단지교),2024-07-18 19:00:00,4.15,True,2024-07-15 19:00:00,2024-07-23 19:00:00,193,193,0.0,True
2024-07-18,1002698,영월군(팔괴교),2024-07-19 01:00:00,4.22,True,2024-07-16 01:00:00,2024-07-24 01:00:00,193,193,0.0,True
2024-07-18,1003601,영월군(주채교),,,False,,,193,0,1.0,False
2024-07-18,1003603,영월군(내리2교),,,False,,,193,0,1.0,False
2024-07-18,1003605,영월군(충혼교),2024-07-18 21:00:00,2.76,True,2024-07-15 21:00:00,2024-07-23 21:00:00,193,193,0.0,True
2024-07-18,1003620,영월군(옥동교),2024-07-18 21:00:00,2.97,True,2024-07-15 21:00:00,2024-07-23 21:00:00,193,193,0.0,True
2024-07-18,1003625,영월군(각동교),,,False,,,193,0,1.0,False
2024-07-18,1003626,단양군(들골교),,,False,,,193,0,1.0,False
2024-07-18,1003636,단양군(가대교),2024-07-19 05:00:00,5.73,True,2024-07-16 05:00:00,2024-07-24 05:00:00,193,193,0.0,True
2024-07-18,1003642,단양군(덕천교),2024-07-19 06:00:00,6.06,True,2024-07-16 06:00:00,2024-07-24 06:00:00,193,193,0.0,True
2024-07-18,1003643,단양군(음지교),,,False,,,193,0,1.0,False
2024-07-18,1003645,단양군(단양1교),2024-07-18 19:00:00,1.11,True,2024-07-15 19:00:00,2024-07-23 19:00:00,193,193,0.0,True
2024-07-18,1003652,제천시(덕동교),,,False,,,193,0,1.0,False
2024-07-18,1003654,제천시(송계교),,,False,,,193,0,1.0,False
