watershed4,obscd_a,korObs_a,obscd_b,korObs_b,mean_lag_h,std_lag_h,n_events
1001,1001690,영월군(영월대교),1001695,영월군(신촌교),-60.0,0.0,1
1001,1001670,영월군(거운교),1001695,영월군(신촌교),-59.0,0.0,1
1001,1001622,정선군(혈천교),1001695,영월군(신촌교),-54.0,0.0,1
1001,1001622,정선군(혈천교),1001650,정선군(삼거리교),-47.0,0.0,1
1001,1001623,정선군(오장2교),1001645,정선군(와평교),-47.0,0.0,1
1001,1001625,정선군(송천교),1001695,영월군(신촌교),-47.0,0.0,1
1001,1001623,정선군(오장2교),1001649,정선군(애산교),-46.0,0.0,1
1001,1001623,정선군(오장2교),1001695,영월군(신촌교),-46.0,0.0,1
1001,1001658,정선군(광하교),1001695,영월군(신촌교),-45.0,0.0,1
1001,1001622,정선군(혈천교),1001665,평창군(마하교),-44.0,0.0,1
1001,1001655,정선군(정선제1교),1001695,영월군(신촌교),-41.0,0.0,1
1001,1001625,정선군(송천교),1001650,정선군(삼거리교),-40.0,0.0,1
1001,1001623,정선군(오장2교),1001650,정선군(삼거리교),-39.0,0.0,1
1001,1001625,정선군(송천교),1001665,평창군(마하교),-37.0,0.0,1
1001,1001623,정선군(오장2교),1001665,평창군(마하교),-36.0,0.0,1
1001,1001658,정선군(광하교),1001665,평창군(마하교),-35.0,0.0,1
1001,1001630,정선군(나전교),1001695,영월군(신촌교),-34.0,0.0,1
1001,1001655,정선군(정선제1교),1001665,평창군(마하교),-31.0,0.0,1
1001,1001623,정선군(오장2교),1001660,정선군(낙동교),-29.0,0.0,1
1001,1001641,정선군(각희교),1001645,정선군(와평교),-28.0,0.0,1
1001,1001622,정선군(혈천교),1001641,정선군(각희교),-27.0,0.0,1
1001,1001630,정선군(나전교),1001650,정선군(삼거리교),-27.0,0.0,1
1001,1001641,정선군(각희교),1001649,정선군(애산교),-27.0,0.0,1
1001,1001641,정선군(각희교),1001695,영월군(신촌교),-27.0,0.0,1
1001,1001602,평창군(송정교),1001695,영월군(신촌교),-25.0,0.0,1
1001,1001626,정선군(제1여량교),1001695,영월군(신촌교),-24.0,0.0,1
1001,1001630,정선군(나전교),1001665,평창군(마하교),-24.0,0.0,1
1001,1001625,정선군(송천교),1001626,정선군(제1여량교),-23.8,26.84,5
1001,1001623,정선군(오장2교),1001629,정선군(남평대교),-23.0,0.0,1
1001,1001629,정선군(남평대교),1001695,영월군(신촌교),-23.0,0.0,1
1001,1001623,정선군(오장2교),1001626,정선군(제1여량교),-22.0,0.0,1
1001,1001625,정선군(송천교),1001641,정선군(각희교),-20.0,0.0,1
1001,1001641,정선군(각희교),1001650,정선군(삼거리교),-20.0,0.0,1
1001,1001620,정선군(송계교),1001695,영월군(신촌교),-19.0,0.0,1
1001,1001623,정선군(오장2교),1001641,정선군(각희교),-19.0,0.0,1
1001,1001602,평창군(송정교),1001650,정선군(삼거리교),-18.0,0.0,1
1001,1001622,정선군(혈천교),1001626,정선군(제1여량교),-17.2,22.31,5
1001,1001626,정선군(제1여량교),1001650,정선군(삼거리교),-17.0,0.0,1
1001,1001641,정선군(각희교),1001665,평창군(마하교),-17.0,0.0,1
1001,1001660,정선군(낙동교),1001695,영월군(신촌교),-17.0,0.0,1
1001,1001629,정선군(남평대교),1001650,정선군(삼거리교),-16.0,0.0,1
1001,1001602,평창군(송정교),1001626,정선군(제1여량교),-15.4,28.01,5
1001,1001602,평창군(송정교),1001665,평창군(마하교),-15.0,0.0,1
1001,1001620,정선군(송계교),1001626,정선군(제1여량교),-15.0,29.07,5
1001,1001626,정선군(제1여량교),1001665,평창군(마하교),-14.0,0.0,1
1001,1001629,정선군(남평대교),1001665,평창군(마하교),-13.0,0.0,1
1001,1001620,정선군(송계교),1001650,정선군(삼거리교),-12.0,0.0,1
1001,1001623,정선군(오장2교),1001630,정선군(나전교),-12.0,0.0,1
1001,1001645,정선군(와평교),1001655,정선군(정선제1교),-11.0,32.53,5
1001,1001649,정선군(애산교),1001655,정선군(정선제1교),-11.0,32.2,5
1001,1001641,정선군(각희교),1001660,정선군(낙동교),-10.0,0.0,1
1001,1001665,평창군(마하교),1001695,영월군(신촌교),-10.0,0.0,1
1001,1001645,정선군(와평교),1001658,정선군(광하교),-9.2,33.83,5
1001,1001649,정선군(애산교),1001658,정선군(광하교),-9.2,33.5,5
1001,1001620,정선군(송계교),1001665,평창군(마하교),-9.0,0.0,1
1001,1001622,정선군(혈천교),1001623,정선군(오장2교),-8.0,0.0,1
1001,1001630,정선군(나전교),1001641,정선군(각희교),-7.0,0.0,1
1001,1001650,정선군(삼거리교),1001695,영월군(신촌교),-7.0,0.0,1
1001,1001660,정선군(낙동교),1001665,평창군(마하교),-7.0,0.0,1
1001,1001629,정선군(남평대교),1001630,정선군(나전교),-5.6,9.29,5
1001,1001623,정선군(오장2교),1001655,정선군(정선제1교),-5.0,0.0,1
1001,1001625,정선군(송천교),1001630,정선군(나전교),-4.2,4.92,5
1001,1001670,영월군(거운교),1001690,영월군(영월대교),-2.0,2.74,5
1001,1001645,정선군(와평교),1001660,정선군(낙동교),-1.4,10.92,5
1001,1001649,정선군(애산교),1001660,정선군(낙동교),-1.4,10.43,5
1001,1001623,정선군(오장2교),1001658,정선군(광하교),-1.0,0.0,1
1001,1001629,정선군(남평대교),1001655,정선군(정선제1교),-0.8,10.55,5
1001,1001602,평창군(송정교),1001620,정선군(송계교),-0.4,3.13,5
1001,1001645,정선군(와평교),1001649,정선군(애산교),0.0,0.71,5
1001,1001649,정선군(애산교),1001695,영월군(신촌교),0.0,0.0,1
1001,1001625,정선군(송천교),1001655,정선군(정선제1교),0.6,3.71,5
1001,1001623,정선군(오장2교),1001625,정선군(송천교),1.0,0.0,1
1001,1001629,정선군(남평대교),1001658,정선군(광하교),1.0,11.81,5
1001,1001645,정선군(와평교),1001695,영월군(신촌교),1.0,0.0,1
1001,1001625,정선군(송천교),1001629,정선군(남평대교),1.4,14.21,5
1001,1001602,평창군(송정교),1001622,정선군(혈천교),1.8,37.22,5
1001,1001655,정선군(정선제1교),1001658,정선군(광하교),1.8,1.3,5
1001,1001602,평창군(송정교),1001641,정선군(각희교),2.0,0.0,1
1001,1001620,정선군(송계교),1001622,정선군(혈천교),2.2,38.61,5
1001,1001622,정선군(혈천교),1001630,정선군(나전교),2.4,36.21,5
1001,1001625,정선군(송천교),1001658,정선군(광하교),2.4,2.61,5
1001,1001626,정선군(제1여량교),1001641,정선군(각희교),3.0,0.0,1
1001,1001650,정선군(삼거리교),1001665,평창군(마하교),3.0,0.0,1
1001,1001629,정선군(남평대교),1001641,정선군(각희교),4.0,0.0,1
1001,1001602,평창군(송정교),1001630,정선군(나전교),4.2,2.68,5
1001,1001620,정선군(송계교),1001630,정선군(나전교),4.6,5.81,5
1001,1001630,정선군(나전교),1001655,정선군(정선제1교),4.8,1.3,5
1001,1001622,정선군(혈천교),1001625,정선군(송천교),6.6,34.82,5
1001,1001630,정선군(나전교),1001658,정선군(광하교),6.6,2.61,5
1001,1001649,정선군(애산교),1001650,정선군(삼거리교),7.0,0.0,1
1001,1001622,정선군(혈천교),1001655,정선군(정선제1교),7.2,35.69,5
1001,1001645,정선군(와평교),1001690,영월군(영월대교),7.4,30.41,5
1001,1001649,정선군(애산교),1001690,영월군(영월대교),7.4,29.94,5
1001,1001658,정선군(광하교),1001660,정선군(낙동교),7.8,23.63,5
1001,1001620,정선군(송계교),1001641,정선군(각희교),8.0,0.0,1
1001,1001622,정선군(혈천교),1001629,정선군(남평대교),8.0,40.48,5
