sphereLarge,korStream_x,obscd_upstream,korObs_upstream,obscd_downstream,korObs_downstream,mean_lag_h,median_lag_h,std_lag_h,mean_cc_peak,mean_dtw_dist,median_dtw_dist,n_events
한강,간현수위표,1006672,원주시(장현교),1006680,원주시(지정대교),-1.0,-1.0,0.71,6.5905,1.2558,0.4756,5
한강,강천보,1007620,여주시(강천리),1007625,여주시(남한강교),0.0,0.0,0.0,6.3301,0.4653,0.557,5
한강,강천보,1007615,여주시(원부교),1007617,여주시(삼합교),0.6,0.0,2.51,11.1756,0.3433,0.2274,5
한강,강천보,1007625,여주시(남한강교),1007633,강천보(상류),20.2,25.0,11.88,4.2245,2.6587,3.9929,5
한강,강천보,1007617,여주시(삼합교),1007620,여주시(강천리),28.8,59.0,42.78,6.0716,2.064,0.9271,5
한강,골지천,1001626,정선군(제1여량교),1001629,정선군(남평대교),36.4,41.0,31.48,9.3998,2.188,1.9203,5
한강,괴산댐,1004645,괴산군(수전교),1004693,괴산군(목도교),-15.2,0.0,28.24,10.7781,1.0381,0.6916,5
한강,금계천,1006628,횡성군(청곡교),1006630,횡성군(오산교),0.0,0.0,0.0,7.3614,0.7303,0.7303,1
한강,달천,1004696,충주시(봉계교),1005605,충주시(탄금교),47.0,47.0,0.0,2.4852,4.8142,4.8142,1
한강,대화천,1002626,평창군(바이오교),1002635,평창군(사초교),0.0,0.0,0.0,9.2956,3.0291,3.0291,1
한강,복하천,1007642,이천시(동산교),1007645,이천시(복하교),-0.8,-1.0,0.45,7.0966,1.193,1.5105,5
한강,복하천,1007645,이천시(복하교),1007650,여주시(흥천대교),0.4,1.0,0.89,8.1206,1.3428,1.9095,5
한강,섬강,1005695,원주시(법천교),1005697,원주시(남한강대교),-1.4,-1.0,1.52,3.5115,2.7332,2.6355,5
한강,섬강,1006690,원주시(문막교),1005695,원주시(법천교),1.0,1.0,0.71,4.9419,0.9245,0.8478,5
한강,송천,1001623,정선군(오장2교),1001625,정선군(송천교),0.0,0.0,0.0,20.0606,0.8032,0.8032,1
한강,쌍천,1004640,괴산군(적석교),1004646,괴산군(비도교),3.0,3.0,0.0,10.5502,1.8526,1.8526,1
한강,압항천,1004620,청주시(옥화1교),1004631,괴산군(월문교),1.0,1.0,0.0,5.4697,2.508,2.508,1
한강,양화천,1007626,여주시(용은교),1007655,여주시(양촌교),-28.0,-28.0,0.0,10.4343,1.0562,1.0562,1
한강,양화천,1007655,여주시(양촌교),1007641,여주보(하류),-16.6,-26.0,12.92,7.6337,0.9477,0.9851,5
한강,양화천,1007641,여주보(하류),1007662,이포보(상류),71.4,107.0,50.56,4.2436,3.192,4.5987,5
