watershed4,obscd_a,korObs_a,obscd_b,korObs_b,mean_lag_h,std_lag_h,mean_cc_peak,mean_dtw_dist,n_events
1001,1001649,정선군(애산교),1001650,정선군(삼거리교),-71.0,0.0,4.3686,4.0777,1
1001,1001645,정선군(와평교),1001650,정선군(삼거리교),-69.0,0.0,4.3055,3.9279,1
1001,1001630,정선군(나전교),1001650,정선군(삼거리교),-59.0,0.0,3.643,3.5025,1
1001,1001602,평창군(송정교),1001650,정선군(삼거리교),-58.0,0.0,3.6273,3.4929,1
1001,1001626,정선군(제1여량교),1001650,정선군(삼거리교),-50.0,0.0,2.6283,3.5135,1
1001,1001629,정선군(남평대교),1001650,정선군(삼거리교),-50.0,0.0,4.9567,3.7815,1
1001,1001602,평창군(송정교),1001620,정선군(송계교),-42.6,37.56,6.3901,2.7244,5
1001,1001625,정선군(송천교),1001626,정선군(제1여량교),-37.2,34.57,9.6122,3.2514,5
1001,1001602,평창군(송정교),1001626,정선군(제1여량교),-35.0,33.73,6.7974,3.0709,5
1001,1001602,평창군(송정교),1001622,정선군(혈천교),-25.2,34.77,8.329,3.1157,5
1001,1001665,평창군(마하교),1001670,영월군(거운교),-19.0,0.0,12.177,1.7022,1
1001,1001665,평창군(마하교),1001690,영월군(영월대교),-19.0,0.0,12.7647,2.1308,1
1001,1001602,평창군(송정교),1001670,영월군(거운교),-12.8,9.07,8.3799,1.3486,5
1001,1001630,정선군(나전교),1001670,영월군(거운교),-12.6,9.02,9.4611,1.288,5
1001,1001629,정선군(남평대교),1001670,영월군(거운교),-12.4,8.88,12.0627,1.2524,5
1001,1001655,정선군(정선제1교),1001670,영월군(거운교),-10.4,10.43,10.4694,0.6522,5
1001,1001658,정선군(광하교),1001670,영월군(거운교),-10.2,10.73,10.3672,0.5307,5
1001,1001625,정선군(송천교),1001670,영월군(거운교),-10.0,9.59,12.6721,0.8398,5
1001,1001629,정선군(남평대교),1001690,영월군(영월대교),-9.0,8.25,12.6548,1.879,5
