obscd,korObs,cluster_id,is_centroid,silhouette_score,intra_mean_dist,event_date
1001602,평창군(송정교),2,False,0.3158,1.5156,2024-07-24
1001620,정선군(송계교),5,False,0.3321,2.5385,2024-07-24
1001622,정선군(혈천교),3,False,0.6785,1.9351,2024-07-24
1001625,정선군(송천교),6,False,0.4988,1.5329,2024-07-24
1001626,정선군(제1여량교),3,False,0.6997,1.876,2024-07-24
1001629,정선군(남평대교),5,False,0.4274,2.4945,2024-07-24
1001630,정선군(나전교),2,False,0.2928,1.5025,2024-07-24
1001645,정선군(와평교),6,False,0.4889,1.2645,2024-07-24
1001649,정선군(애산교),6,False,0.5735,1.1873,2024-07-24
1001655,정선군(정선제1교),6,False,0.6163,1.2683,2024-07-24
1001658,정선군(광하교),6,False,0.5853,1.3685,2024-07-24
1001660,정선군(낙동교),6,False,0.6294,1.1557,2024-07-24
1001670,영월군(거운교),6,False,0.4452,1.6412,2024-07-24
1001690,영월군(영월대교),6,True,0.6079,1.1048,2024-07-24
1002605,평창군(이목정교),2,False,0.1712,1.8038,2024-07-24
1002610,평창군(장평교),2,False,0.3531,1.3949,2024-07-24
1002615,평창군(진전교),2,False,0.0766,1.9355,2024-07-24
1002625,평창군(선애교),2,True,0.3688,1.3922,2024-07-24
1002635,평창군(사초교),2,False,0.3892,1.5389,2024-07-24
1002640,평창군(상방림교),2,False,0.5258,1.4284,2024-07-24
1002650,평창군(평창교),2,False,0.5187,1.5002,2024-07-24
1002675,횡성군(안흥교),2,False,0.3526,1.8495,2024-07-24
1002680,영월군(두학교),2,False,0.3531,2.4232,2024-07-24
1002685,영월군(주천교),1,False,0.4215,1.1984,2024-07-24
1002687,영월군(신천교),1,False,0.3808,1.2669,2024-07-24
1002693,영월군(농공단지교),2,False,0.064,1.5749,2024-07-24
1002698,영월군(팔괴교),2,False,0.1943,1.7607,2024-07-24
1003605,영월군(충혼교),3,True,0.7699,1.4497,2024-07-24
1003620,영월군(옥동교),3,False,0.6517,2.4328,2024-07-24
1003636,단양군(가대교),6,False,0.3196,1.4657,2024-07-24
1003642,단양군(덕천교),6,False,0.2374,1.5308,2024-07-24
1003645,단양군(단양1교),3,False,0.3147,2.7569,2024-07-24
1003657,제천시(강저3교),2,False,-0.0642,3.0836,2024-07-24
1003658,제천시(부수동교),2,False,0.2914,1.7077,2024-07-24
1003660,제천시(팔송교),2,False,0.2658,1.4721,2024-07-24
1003661,제천시(구곡교),2,False,0.0746,1.5779,2024-07-24
1004616,청주시(청석굴교),5,False,0.5583,2.0664,2024-07-24
1004620,청주시(옥화1교),5,False,0.4982,2.0829,2024-07-24
1004645,괴산군(수전교),7,False,-0.1016,3.7896,2024-07-24
1004646,괴산군(비도교),2,False,0.2494,3.9872,2024-07-24
1004661,괴산군(제2괴산교),3,False,0.7215,1.6099,2024-07-24
1004670,괴산군(추산교),3,False,0.7639,1.5659,2024-07-24
1004680,충주시(문강교),3,False,0.6706,1.6971,2024-07-24
1004693,괴산군(목도교),3,False,0.724,1.8138,2024-07-24
1004695,충주시(국원대교),3,False,0.6339,1.8854,2024-07-24
1005605,충주시(탄금교),4,False,0.4158,4.6545,2024-07-24
1005640,충주시(목계교),3,False,0.6609,1.7542,2024-07-24
1005695,원주시(법천교),2,False,0.1153,1.8798,2024-07-24
1005697,원주시(남한강대교),6,False,0.4304,2.259,2024-07-24
1006630,횡성군(오산교),1,False,0.4358,2.022,2024-07-24
1006650,횡성군(횡성교),6,False,0.4089,2.6668,2024-07-24
1006660,횡성군(전천교),1,False,0.3733,1.4255,2024-07-24
1006665,원주시(원주교),2,False,0.0745,2.053,2024-07-24
1006666,원주시(가현교),2,False,-0.1362,2.5681,2024-07-24
1006670,원주시(옥산교),1,False,0.2962,1.6805,2024-07-24
1006672,원주시(장현교),1,False,0.4169,1.367,2024-07-24
1006680,원주시(지정대교),1,False,0.458,1.3662,2024-07-24
1006685,원주시(봉미교),2,False,-0.116,1.7793,2024-07-24
1006690,원주시(문막교),1,False,0.409,1.5044,2024-07-24
1007604,안성시(한평교),5,False,0.3217,2.5232,2024-07-24
1007605,이천시(장호원교),5,False,0.6041,1.6168,2024-07-24
1007610,음성군(총천교),3,False,0.0886,3.4111,2024-07-24
1007615,여주시(원부교),5,True,0.606,1.5824,2024-07-24
1007617,여주시(삼합교),5,False,0.6057,1.7218,2024-07-24
1007620,여주시(강천리),1,True,0.4646,1.1656,2024-07-24
1007625,여주시(남한강교),1,False,0.3266,1.7324,2024-07-24
1007633,강천보(상류),4,False,0.5055,3.9249,2024-07-24
1007634,강천보(하류),1,False,0.3317,1.7136,2024-07-24
1007635,여주시(여주대교),1,False,0.4007,1.5234,2024-07-24
1007639,여주보(상류),4,True,0.5043,3.475,2024-07-24
1007640,여주시(율극교),1,False,0.3356,1.7269,2024-07-24
1007641,여주보(하류),1,False,0.4523,1.3404,2024-07-24
1007642,이천시(동산교),7,False,-0.0886,3.8535,2024-07-24
1007645,이천시(복하교),7,True,0.1152,2.9572,2024-07-24
1007650,여주시(흥천대교),2,False,0.3392,1.9328,2024-07-24
1007655,여주시(양촌교),2,False,0.3024,1.724,2024-07-24
1007662,이포보(상류),4,False,0.5404,3.8164,2024-07-24
1007664,이포보(하류),1,False,0.4802,1.4328,2024-07-24
1007680,양평군(흑천교),2,False,0.23,1.7068,2024-07-24
1007685,양평군(양평교),1,False,0.4572,2.1241,2024-07-24
1007690,양평군(봉상교),2,False,0.241,1.8645,2024-07-24
1007697,양평군(신원리),4,False,0.1333,4.9744,2024-07-24
