obscd,korObs,final_cluster,confidence,method
1001602,평창군(송정교),2,0.383,C2_sil_weighted
1001620,정선군(송계교),5,0.388,C2_sil_weighted
1001622,정선군(혈천교),3,0.427,C2_sil_weighted
1001623,정선군(오장2교),4,1.0,C2_sil_weighted
1001625,정선군(송천교),2,0.253,C2_sil_weighted
1001626,정선군(제1여량교),3,0.651,C2_sil_weighted
1001629,정선군(남평대교),7,0.325,C2_sil_weighted
1001630,정선군(나전교),2,0.413,C2_sil_weighted
1001641,정선군(각희교),4,1.0,C2_sil_weighted
1001645,정선군(와평교),6,0.621,C2_sil_weighted
1001649,정선군(애산교),6,0.503,C2_sil_weighted
1001650,정선군(삼거리교),4,1.0,C2_sil_weighted
1001655,정선군(정선제1교),6,0.253,C2_sil_weighted
1001658,정선군(광하교),6,0.242,C2_sil_weighted
1001660,정선군(낙동교),6,0.339,C2_sil_weighted
1001665,평창군(마하교),7,1.0,C2_sil_weighted
1001670,영월군(거운교),6,0.254,C2_sil_weighted
1001690,영월군(영월대교),6,0.329,C2_sil_weighted
1001695,영월군(신촌교),6,1.0,C2_sil_weighted
1002605,평창군(이목정교),2,0.455,C2_sil_weighted
1002610,평창군(장평교),2,0.409,C2_sil_weighted
1002615,평창군(진전교),2,0.37,C2_sil_weighted
1002625,평창군(선애교),2,0.398,C2_sil_weighted
1002626,평창군(바이오교),7,1.0,C2_sil_weighted
1002635,평창군(사초교),3,0.381,C2_sil_weighted
1002636,평창군(하방림교),7,1.0,C2_sil_weighted
1002640,평창군(상방림교),2,0.409,C2_sil_weighted
1002650,평창군(평창교),2,0.418,C2_sil_weighted
1002670,횡성군(둔방내리),7,1.0,C2_sil_weighted
1002675,횡성군(안흥교),2,0.433,C2_sil_weighted
1002680,영월군(두학교),2,0.383,C2_sil_weighted
1002685,영월군(주천교),7,0.362,C2_sil_weighted
1002687,영월군(신천교),2,0.427,C2_sil_weighted
1002691,영월군(화병교),7,1.0,C2_sil_weighted
1002693,영월군(농공단지교),6,0.615,C2_sil_weighted
1002698,영월군(팔괴교),2,0.372,C2_sil_weighted
1003601,영월군(주채교),1,1.0,C2_sil_weighted
1003603,영월군(내리2교),1,1.0,C2_sil_weighted
1003605,영월군(충혼교),3,0.352,C2_sil_weighted
1003620,영월군(옥동교),6,0.388,C2_sil_weighted
1003625,영월군(각동교),7,1.0,C2_sil_weighted
1003626,단양군(들골교),6,1.0,C2_sil_weighted
1003636,단양군(가대교),7,0.413,C2_sil_weighted
1003642,단양군(덕천교),2,0.5,C2_sil_weighted
1003645,단양군(단양1교),3,0.612,C2_sil_weighted
1003652,제천시(덕동교),7,1.0,C2_sil_weighted
1003657,제천시(강저3교),5,0.454,C2_sil_weighted
1003658,제천시(부수동교),6,0.527,C2_sil_weighted
1003660,제천시(팔송교),6,0.549,C2_sil_weighted
1003661,제천시(구곡교),6,0.61,C2_sil_weighted
1003667,제천시(용암교),6,1.0,C2_sil_weighted
1004616,청주시(청석굴교),5,0.452,C2_sil_weighted
1004620,청주시(옥화1교),5,0.488,C2_sil_weighted
1004631,괴산군(월문교),4,1.0,C2_sil_weighted
1004640,괴산군(적석교),4,1.0,C2_sil_weighted
1004645,괴산군(수전교),7,0.422,C2_sil_weighted
1004646,괴산군(비도교),2,0.38,C2_sil_weighted
1004661,괴산군(제2괴산교),3,0.476,C2_sil_weighted
1004670,괴산군(추산교),6,0.349,C2_sil_weighted
1004680,충주시(문강교),3,0.693,C2_sil_weighted
1004693,괴산군(목도교),3,0.391,C2_sil_weighted
1004694,충주시(주덕교),5,1.0,C2_sil_weighted
1004695,충주시(국원대교),1,0.311,C2_sil_weighted
1004696,충주시(봉계교),5,1.0,C2_sil_weighted
1005605,충주시(탄금교),2,0.302,C2_sil_weighted
1005640,충주시(목계교),3,0.404,C2_sil_weighted
1005650,충주시(능암교),6,1.0,C2_sil_weighted
1005660,충주시(세포교),6,1.0,C2_sil_weighted
1005695,원주시(법천교),5,0.675,C2_sil_weighted
1005697,원주시(남한강대교),5,0.352,C2_sil_weighted
1006628,횡성군(청곡교),7,1.0,C2_sil_weighted
1006630,횡성군(오산교),2,0.396,C2_sil_weighted
1006650,횡성군(횡성교),5,0.419,C2_sil_weighted
1006660,횡성군(전천교),1,0.355,C2_sil_weighted
1006665,원주시(원주교),1,0.426,C2_sil_weighted
1006666,원주시(가현교),5,0.708,C2_sil_weighted
1006670,원주시(옥산교),2,0.494,C2_sil_weighted
1006672,원주시(장현교),2,0.517,C2_sil_weighted
1006677,원주시(판대2교),5,1.0,C2_sil_weighted
1006680,원주시(지정대교),1,0.367,C2_sil_weighted
1006685,원주시(봉미교),6,0.632,C2_sil_weighted
1006690,원주시(문막교),2,0.541,C2_sil_weighted
1007604,안성시(한평교),5,0.535,C2_sil_weighted
1007605,이천시(장호원교),1,0.298,C2_sil_weighted
1007606,안성시(두현교),5,1.0,C2_sil_weighted
1007608,이천시(고당교),5,1.0,C2_sil_weighted
1007610,음성군(총천교),6,0.622,C2_sil_weighted
1007615,여주시(원부교),1,0.317,C2_sil_weighted
1007617,여주시(삼합교),1,0.31,C2_sil_weighted
1007620,여주시(강천리),4,0.441,C2_sil_weighted
1007625,여주시(남한강교),4,0.461,C2_sil_weighted
1007626,여주시(용은교),6,1.0,C2_sil_weighted
