obscd,korObs,C1_dominant,C1_dominant_conf,C2_sil_weighted,C2_sil_weighted_conf,C3_best_event,C3_best_event_conf,C4_consensus,C4_consensus_conf,all_agree
1001602,평창군(송정교),2,0.4,2,0.383,6,0.53,unstable,0.4,False
1001620,정선군(송계교),4,0.4,5,0.388,5,0.332,unstable,0.4,False
1001622,정선군(혈천교),3,0.4,3,0.427,3,0.678,unstable,0.4,True
1001623,정선군(오장2교),4,1.0,4,1.0,4,0.042,4,1.0,True
1001625,정선군(송천교),2,0.2,2,0.253,2,0.511,unstable,0.2,True
1001626,정선군(제1여량교),3,0.4,3,0.651,3,0.7,unstable,0.4,True
1001629,정선군(남평대교),7,0.4,7,0.325,5,0.427,unstable,0.4,False
1001630,정선군(나전교),2,0.4,2,0.413,2,0.576,unstable,0.4,True
1001641,정선군(각희교),4,1.0,4,1.0,4,0.193,4,1.0,True
1001645,정선군(와평교),6,0.4,6,0.621,6,0.489,unstable,0.4,True
1001649,정선군(애산교),6,0.4,6,0.503,6,0.574,unstable,0.4,True
1001650,정선군(삼거리교),4,1.0,4,1.0,4,0.232,4,1.0,True
1001655,정선군(정선제1교),2,0.2,6,0.253,6,0.616,unstable,0.2,False
1001658,정선군(광하교),2,0.2,6,0.242,6,0.585,unstable,0.2,False
1001660,정선군(낙동교),7,0.2,6,0.339,6,0.629,unstable,0.2,False
1001665,평창군(마하교),7,1.0,7,1.0,7,0.206,7,1.0,True
1001670,영월군(거운교),2,0.2,6,0.254,6,0.445,unstable,0.2,False
1001690,영월군(영월대교),2,0.2,6,0.329,6,0.608,unstable,0.2,False
1001695,영월군(신촌교),6,1.0,6,1.0,6,0.191,6,1.0,True
1002605,평창군(이목정교),2,0.4,2,0.455,2,0.545,unstable,0.4,True
1002610,평창군(장평교),2,0.4,2,0.409,2,0.556,unstable,0.4,True
1002615,평창군(진전교),2,0.4,2,0.37,2,0.507,unstable,0.4,True
1002625,평창군(선애교),2,0.4,2,0.398,6,0.476,unstable,0.4,False
1002626,평창군(바이오교),7,1.0,7,1.0,7,0.233,7,1.0,True
1002635,평창군(사초교),2,0.4,3,0.381,6,0.571,unstable,0.4,False
1002636,평창군(하방림교),7,1.0,7,1.0,7,0.028,7,1.0,True
1002640,평창군(상방림교),2,0.4,2,0.409,6,0.586,unstable,0.4,False
1002650,평창군(평창교),2,0.4,2,0.418,6,0.599,unstable,0.4,False
1002670,횡성군(둔방내리),7,1.0,7,1.0,7,-0.087,7,1.0,True
1002675,횡성군(안흥교),2,0.4,2,0.433,2,0.487,unstable,0.4,True
1002680,영월군(두학교),2,0.4,2,0.383,6,0.499,unstable,0.4,False
1002685,영월군(주천교),2,0.4,7,0.362,1,0.421,unstable,0.4,False
1002687,영월군(신천교),2,0.4,2,0.427,1,0.381,unstable,0.4,False
1002691,영월군(화병교),7,1.0,7,1.0,7,0.451,7,1.0,True
1002693,영월군(농공단지교),6,0.4,6,0.615,6,0.435,unstable,0.4,True
1002698,영월군(팔괴교),2,0.4,2,0.372,7,0.395,unstable,0.4,False
1003601,영월군(주채교),1,1.0,1,1.0,1,0.256,1,1.0,True
1003603,영월군(내리2교),1,1.0,1,1.0,1,0.365,1,1.0,True
1003605,영월군(충혼교),7,0.25,3,0.352,3,0.77,unstable,0.25,False
1003620,영월군(옥동교),6,0.5,6,0.388,1,0.697,unstable,0.5,False
1003625,영월군(각동교),7,1.0,7,1.0,7,0.493,7,1.0,True
1003626,단양군(들골교),6,1.0,6,1.0,6,-0.076,6,1.0,True
1003636,단양군(가대교),2,0.2,7,0.413,7,0.511,unstable,0.2,False
1003642,단양군(덕천교),2,0.2,2,0.5,2,0.237,unstable,0.2,True
1003645,단양군(단양1교),3,0.4,3,0.612,3,0.406,unstable,0.4,True
1003652,제천시(덕동교),7,1.0,7,1.0,7,0.221,7,1.0,True
1003657,제천시(강저3교),6,0.2,5,0.454,5,0.445,unstable,0.2,False
1003658,제천시(부수동교),6,0.4,6,0.527,6,0.475,unstable,0.4,True
1003660,제천시(팔송교),6,0.4,6,0.549,6,0.46,unstable,0.4,True
1003661,제천시(구곡교),6,0.4,6,0.61,6,0.468,unstable,0.4,True
1003667,제천시(용암교),6,1.0,6,1.0,6,-0.16,6,1.0,True
1004616,청주시(청석굴교),7,0.4,5,0.452,5,0.558,unstable,0.4,False
1004620,청주시(옥화1교),7,0.4,5,0.488,5,0.498,unstable,0.4,False
1004631,괴산군(월문교),4,1.0,4,1.0,4,0.308,4,1.0,True
1004640,괴산군(적석교),4,1.0,4,1.0,4,-0.204,4,1.0,True
1004645,괴산군(수전교),7,0.4,7,0.422,7,0.453,unstable,0.4,True
1004646,괴산군(비도교),2,0.4,2,0.38,4,0.333,unstable,0.4,False
1004661,괴산군(제2괴산교),3,0.4,3,0.476,3,0.722,unstable,0.4,True
1004670,괴산군(추산교),6,0.4,6,0.349,3,0.764,unstable,0.4,False
1004680,충주시(문강교),3,0.4,3,0.693,3,0.671,unstable,0.4,True
1004693,괴산군(목도교),1,0.4,3,0.391,3,0.724,unstable,0.4,False
1004694,충주시(주덕교),5,1.0,5,1.0,5,0.313,5,1.0,True
1004695,충주시(국원대교),6,0.2,1,0.311,1,0.715,unstable,0.2,False
1004696,충주시(봉계교),5,1.0,5,1.0,5,0.417,5,1.0,True
1005605,충주시(탄금교),5,0.4,2,0.302,2,0.435,unstable,0.4,False
1005640,충주시(목계교),1,0.4,3,0.404,3,0.661,unstable,0.4,False
1005650,충주시(능암교),6,1.0,6,1.0,6,0.205,6,1.0,True
1005660,충주시(세포교),6,1.0,6,1.0,6,-0.038,6,1.0,True
1005695,원주시(법천교),7,0.4,5,0.675,5,0.537,unstable,0.4,False
1005697,원주시(남한강대교),5,0.4,5,0.352,5,0.435,unstable,0.4,True
1006628,횡성군(청곡교),7,1.0,7,1.0,7,0.036,7,1.0,True
1006630,횡성군(오산교),2,0.4,2,0.396,5,0.523,unstable,0.4,False
1006650,횡성군(횡성교),5,0.4,5,0.419,5,0.521,unstable,0.4,True
1006660,횡성군(전천교),2,0.4,1,0.355,1,0.373,unstable,0.4,False
1006665,원주시(원주교),6,0.2,1,0.426,1,0.161,unstable,0.2,False
1006666,원주시(가현교),6,0.2,5,0.708,5,0.506,unstable,0.2,False
1006670,원주시(옥산교),2,0.4,2,0.494,2,0.57,unstable,0.4,True
1006672,원주시(장현교),2,0.4,2,0.517,2,0.572,unstable,0.4,True
1006677,원주시(판대2교),5,1.0,5,1.0,5,0.461,5,1.0,True
1006680,원주시(지정대교),2,0.4,1,0.367,1,0.458,unstable,0.4,False
1006685,원주시(봉미교),6,0.4,6,0.632,6,0.401,unstable,0.4,True
1006690,원주시(문막교),2,0.4,2,0.541,2,0.561,unstable,0.4,True
1007604,안성시(한평교),5,0.6,5,0.535,6,0.477,5,0.6,False
1007605,이천시(장호원교),6,0.4,1,0.298,1,0.717,unstable,0.4,False
1007606,안성시(두현교),5,1.0,5,1.0,5,0.437,5,1.0,True
1007608,이천시(고당교),5,1.0,5,1.0,5,0.319,5,1.0,True
1007610,음성군(총천교),6,0.4,6,0.622,6,0.374,unstable,0.4,True
1007615,여주시(원부교),6,0.4,1,0.317,1,0.719,unstable,0.4,False
1007617,여주시(삼합교),6,0.4,1,0.31,1,0.7,unstable,0.4,False
1007620,여주시(강천리),4,0.4,4,0.441,4,0.664,unstable,0.4,True
1007625,여주시(남한강교),4,0.4,4,0.461,4,0.484,unstable,0.4,True
1007626,여주시(용은교),6,1.0,6,1.0,6,0.107,6,1.0,True
1007633,강천보(상류),4,0.4,4,0.599,3,0.539,unstable,0.4,False
1007634,강천보(하류),4,0.4,4,0.466,4,0.607,unstable,0.4,True
1007635,여주시(여주대교),4,0.2,4,0.347,4,0.608,unstable,0.2,True
1007637,여주시(당우교),5,1.0,5,1.0,5,0.546,5,1.0,True
1007639,여주보(상류),4,0.6,4,0.665,3,0.566,4,0.6,False
1007640,여주시(율극교),6,0.4,6,0.298,6,0.4,unstable,0.4,True
1007641,여주보(하류),4,0.4,4,0.393,4,0.62,unstable,0.4,True
1007642,이천시(동산교),6,0.4,6,1.0,6,0.438,unstable,0.4,True
1007645,이천시(복하교),6,0.4,6,0.428,6,0.376,unstable,0.4,True
1007650,여주시(흥천대교),6,0.6,6,0.525,6,0.455,6,0.6,True
1007655,여주시(양촌교),2,0.4,2,0.496,2,0.474,unstable,0.4,True
1007662,이포보(상류),6,0.4,4,0.455,3,0.57,unstable,0.4,False
1007664,이포보(하류),4,0.2,4,0.309,4,0.592,unstable,0.2,True
1007680,양평군(흑천교),2,0.4,5,0.365,5,0.586,unstable,0.4,False
1007685,양평군(양평교),2,0.4,2,0.482,2,0.616,unstable,0.4,True
1007687,양평군(여물교),7,1.0,7,1.0,7,-0.099,7,1.0,True
1007690,양평군(봉상교),2,0.4,2,0.373,6,0.416,unstable,0.4,False
