obscd,korObs,rank,neighbor_obscd,neighbor_korObs,score,n_events,method
1001602,평창군(송정교),1,1001630,정선군(나전교),0.5626,4,T1_avg_dist
1001602,평창군(송정교),2,1002635,평창군(사초교),0.633,3,T1_avg_dist
1001602,평창군(송정교),3,1002605,평창군(이목정교),0.7285,3,T1_avg_dist
1001602,평창군(송정교),4,1001655,정선군(정선제1교),0.7705,1,T1_avg_dist
1001602,평창군(송정교),5,1003642,단양군(덕천교),0.8226,3,T1_avg_dist
1001620,정선군(송계교),1,1004640,괴산군(적석교),1.2033,1,T1_avg_dist
1001620,정선군(송계교),2,1001660,정선군(낙동교),1.2881,1,T1_avg_dist
1001620,정선군(송계교),3,1007615,여주시(원부교),1.719,2,T1_avg_dist
1001620,정선군(송계교),4,1007617,여주시(삼합교),1.7192,2,T1_avg_dist
1001620,정선군(송계교),5,1004620,청주시(옥화1교),1.7263,1,T1_avg_dist
1001622,정선군(혈천교),1,1001626,정선군(제1여량교),1.2453,3,T1_avg_dist
1001622,정선군(혈천교),2,1004693,괴산군(목도교),1.3267,1,T1_avg_dist
1001622,정선군(혈천교),3,1005640,충주시(목계교),1.3797,2,T1_avg_dist
1001622,정선군(혈천교),4,1001670,영월군(거운교),1.456,1,T1_avg_dist
1001622,정선군(혈천교),5,1003605,영월군(충혼교),1.4646,2,T1_avg_dist
1001623,정선군(오장2교),1,1003642,단양군(덕천교),1.3595,1,T1_avg_dist
1001623,정선군(오장2교),2,1001625,정선군(송천교),1.6063,1,T1_avg_dist
1001623,정선군(오장2교),3,1006690,원주시(문막교),1.6125,1,T1_avg_dist
1001623,정선군(오장2교),4,1001620,정선군(송계교),1.8233,1,T1_avg_dist
1001623,정선군(오장2교),5,1002675,횡성군(안흥교),1.8939,1,T1_avg_dist
1001625,정선군(송천교),1,1001658,정선군(광하교),0.5146,4,T1_avg_dist
1001625,정선군(송천교),2,1001655,정선군(정선제1교),0.5652,3,T1_avg_dist
1001625,정선군(송천교),3,1003636,단양군(가대교),0.593,1,T1_avg_dist
1001625,정선군(송천교),4,1002698,영월군(팔괴교),0.612,1,T1_avg_dist
1001625,정선군(송천교),5,1006690,원주시(문막교),0.7054,1,T1_avg_dist
1001626,정선군(제1여량교),1,1001622,정선군(혈천교),1.2453,3,T1_avg_dist
1001626,정선군(제1여량교),2,1003605,영월군(충혼교),1.4525,4,T1_avg_dist
1001626,정선군(제1여량교),3,1004693,괴산군(목도교),1.6482,1,T1_avg_dist
1001626,정선군(제1여량교),4,1001670,영월군(거운교),1.675,1,T1_avg_dist
1001626,정선군(제1여량교),5,1003620,영월군(옥동교),1.6956,1,T1_avg_dist
1001629,정선군(남평대교),1,1003636,단양군(가대교),0.6585,1,T1_avg_dist
1001629,정선군(남평대교),2,1001690,영월군(영월대교),0.6975,1,T1_avg_dist
1001629,정선군(남평대교),3,1003642,단양군(덕천교),0.7101,1,T1_avg_dist
1001629,정선군(남평대교),4,1001670,영월군(거운교),1.5789,2,T1_avg_dist
1001629,정선군(남평대교),5,1001625,정선군(송천교),1.797,2,T1_avg_dist
1001630,정선군(나전교),1,1001602,평창군(송정교),0.5626,4,T1_avg_dist
1001630,정선군(나전교),2,1006672,원주시(장현교),0.602,1,T1_avg_dist
1001630,정선군(나전교),3,1002610,평창군(장평교),0.6296,1,T1_avg_dist
1001630,정선군(나전교),4,1002605,평창군(이목정교),0.6388,1,T1_avg_dist
1001630,정선군(나전교),5,1006690,원주시(문막교),0.6474,1,T1_avg_dist
1001641,정선군(각희교),1,1001660,정선군(낙동교),2.4639,1,T1_avg_dist
1001641,정선군(각희교),2,1001620,정선군(송계교),2.7329,1,T1_avg_dist
1001641,정선군(각희교),3,1003645,단양군(단양1교),3.0305,1,T1_avg_dist
1001641,정선군(각희교),4,1001623,정선군(오장2교),3.1808,1,T1_avg_dist
1001641,정선군(각희교),5,1007641,여주보(하류),3.2234,1,T1_avg_dist
1001645,정선군(와평교),1,1001649,정선군(애산교),0.63,5,T1_avg_dist
1001645,정선군(와평교),2,1001690,영월군(영월대교),0.6794,3,T1_avg_dist
1001645,정선군(와평교),3,1003642,단양군(덕천교),0.7054,3,T1_avg_dist
1001645,정선군(와평교),4,1003660,제천시(팔송교),0.8023,1,T1_avg_dist
1001645,정선군(와평교),5,1001660,정선군(낙동교),0.8497,4,T1_avg_dist
1001649,정선군(애산교),1,1001645,정선군(와평교),0.63,5,T1_avg_dist
1001649,정선군(애산교),2,1001690,영월군(영월대교),0.6724,3,T1_avg_dist
1001649,정선군(애산교),3,1001660,정선군(낙동교),0.7298,4,T1_avg_dist
1001649,정선군(애산교),4,1003605,영월군(충혼교),0.7515,1,T1_avg_dist
1001649,정선군(애산교),5,1003660,제천시(팔송교),0.7859,1,T1_avg_dist
1001650,정선군(삼거리교),1,1004646,괴산군(비도교),2.6704,1,T1_avg_dist
1001650,정선군(삼거리교),2,1004631,괴산군(월문교),2.9244,1,T1_avg_dist
1001650,정선군(삼거리교),3,1004645,괴산군(수전교),3.7573,1,T1_avg_dist
1001650,정선군(삼거리교),4,1003645,단양군(단양1교),4.1118,1,T1_avg_dist
1001650,정선군(삼거리교),5,1001641,정선군(각희교),4.194,1,T1_avg_dist
1001655,정선군(정선제1교),1,1001625,정선군(송천교),0.5652,3,T1_avg_dist
1001655,정선군(정선제1교),2,1001658,정선군(광하교),0.5793,5,T1_avg_dist
1001655,정선군(정선제1교),3,1001660,정선군(낙동교),0.6506,3,T1_avg_dist
