obscd,korObs,rank,neighbor_obscd,neighbor_korObs,dtw_dist
1001602,평창군(송정교),1,1001630,정선군(나전교),0.553
1001602,평창군(송정교),2,1002635,평창군(사초교),0.633
1001602,평창군(송정교),3,1002605,평창군(이목정교),0.7285
1001602,평창군(송정교),4,1002615,평창군(진전교),0.7531
1001602,평창군(송정교),5,1003642,단양군(덕천교),0.8226
1001620,정선군(송계교),1,1007604,안성시(한평교),3.2987
1001620,정선군(송계교),2,1001629,정선군(남평대교),3.3504
1001620,정선군(송계교),3,1001625,정선군(송천교),3.501
1001620,정선군(송계교),4,1001670,영월군(거운교),3.6775
1001620,정선군(송계교),5,1001655,정선군(정선제1교),3.8086
1001622,정선군(혈천교),1,1005640,충주시(목계교),0.8956
1001622,정선군(혈천교),2,1007610,음성군(총천교),2.0014
1001622,정선군(혈천교),3,1001626,정선군(제1여량교),2.0439
1001622,정선군(혈천교),4,1004620,청주시(옥화1교),2.1437
1001622,정선군(혈천교),5,1003645,단양군(단양1교),2.9784
1001625,정선군(송천교),1,1001658,정선군(광하교),0.5037
1001625,정선군(송천교),2,1001655,정선군(정선제1교),0.5652
1001625,정선군(송천교),3,1001660,정선군(낙동교),0.9007
1001625,정선군(송천교),4,1001690,영월군(영월대교),1.2094
1001625,정선군(송천교),5,1001670,영월군(거운교),1.3143
1001626,정선군(제1여량교),1,1001622,정선군(혈천교),2.0439
1001626,정선군(제1여량교),2,1003605,영월군(충혼교),2.1221
1001626,정선군(제1여량교),3,1007685,양평군(양평교),2.5052
1001626,정선군(제1여량교),4,1006630,횡성군(오산교),2.6291
1001626,정선군(제1여량교),5,1004620,청주시(옥화1교),2.8282
1001629,정선군(남평대교),1,1001670,영월군(거운교),2.5624
1001629,정선군(남평대교),2,1001625,정선군(송천교),2.7624
1001629,정선군(남평대교),3,1007604,안성시(한평교),3.157
1001629,정선군(남평대교),4,1001658,정선군(광하교),3.2203
1001629,정선군(남평대교),5,1001655,정선군(정선제1교),3.2346
1001630,정선군(나전교),1,1001602,평창군(송정교),0.553
1001630,정선군(나전교),2,1002635,평창군(사초교),0.7033
1001630,정선군(나전교),3,1003660,제천시(팔송교),0.7206
1001630,정선군(나전교),4,1003642,단양군(덕천교),0.7289
1001630,정선군(나전교),5,1003658,제천시(부수동교),0.811
1001645,정선군(와평교),1,1001649,정선군(애산교),0.3772
1001645,정선군(와평교),2,1001690,영월군(영월대교),0.6794
1001645,정선군(와평교),3,1003642,단양군(덕천교),0.7054
1001645,정선군(와평교),4,1003636,단양군(가대교),0.8824
1001645,정선군(와평교),5,1001660,정선군(낙동교),0.8936
1001649,정선군(애산교),1,1001645,정선군(와평교),0.3772
1001649,정선군(애산교),2,1001690,영월군(영월대교),0.6724
1001649,정선군(애산교),3,1001660,정선군(낙동교),0.7559
1001649,정선군(애산교),4,1003642,단양군(덕천교),0.8801
1001649,정선군(애산교),5,1003636,단양군(가대교),0.8955
1001655,정선군(정선제1교),1,1001658,정선군(광하교),0.4458
1001655,정선군(정선제1교),2,1001625,정선군(송천교),0.5652
1001655,정선군(정선제1교),3,1001660,정선군(낙동교),0.6506
1001655,정선군(정선제1교),4,1001690,영월군(영월대교),0.9602
1001655,정선군(정선제1교),5,1001670,영월군(거운교),1.0749
1001658,정선군(광하교),1,1001655,정선군(정선제1교),0.4458
1001658,정선군(광하교),2,1001625,정선군(송천교),0.5037
1001658,정선군(광하교),3,1001690,영월군(영월대교),0.7351
1001658,정선군(광하교),4,1001670,영월군(거운교),0.9755
