obscd,korObs,rank,neighbor_obscd,neighbor_korObs,dtw_dist
1001602,평창군(송정교),1,1001630,정선군(나전교),0.5913
1001602,평창군(송정교),2,1002615,평창군(진전교),0.8314
1001602,평창군(송정교),3,1002698,영월군(팔괴교),0.872
1001602,평창군(송정교),4,1002691,영월군(화병교),0.8828
1001602,평창군(송정교),5,1007687,양평군(여물교),0.9935
1001620,정선군(송계교),1,1004640,괴산군(적석교),1.2033
1001620,정선군(송계교),2,1001660,정선군(낙동교),1.2881
1001620,정선군(송계교),3,1004620,청주시(옥화1교),1.7263
1001620,정선군(송계교),4,1001623,정선군(오장2교),1.8233
1001620,정선군(송계교),5,1007640,여주시(율극교),1.9521
1001622,정선군(혈천교),1,1001623,정선군(오장2교),2.4845
1001622,정선군(혈천교),2,1003642,단양군(덕천교),2.7599
1001622,정선군(혈천교),3,1006690,원주시(문막교),2.7915
1001622,정선군(혈천교),4,1004640,괴산군(적석교),2.9313
1001622,정선군(혈천교),5,1002675,횡성군(안흥교),3.0355
1001623,정선군(오장2교),1,1003642,단양군(덕천교),1.3595
1001623,정선군(오장2교),2,1001625,정선군(송천교),1.6063
1001623,정선군(오장2교),3,1006690,원주시(문막교),1.6125
1001623,정선군(오장2교),4,1001620,정선군(송계교),1.8233
1001623,정선군(오장2교),5,1002675,횡성군(안흥교),1.8939
1001625,정선군(송천교),1,1001623,정선군(오장2교),1.6063
1001625,정선군(송천교),2,1003642,단양군(덕천교),1.9438
1001625,정선군(송천교),3,1002675,횡성군(안흥교),2.0014
1001625,정선군(송천교),4,1007655,여주시(양촌교),2.2557
1001625,정선군(송천교),5,1001620,정선군(송계교),2.2647
1001626,정선군(제1여량교),1,1001655,정선군(정선제1교),4.9817
1001626,정선군(제1여량교),2,1007662,이포보(상류),5.0029
1001626,정선군(제1여량교),3,1003667,제천시(용암교),5.0137
1001626,정선군(제1여량교),4,1001658,정선군(광하교),5.1157
1001626,정선군(제1여량교),5,1002636,평창군(하방림교),5.1815
1001629,정선군(남평대교),1,1001665,평창군(마하교),2.9993
1001629,정선군(남평대교),2,1002626,평창군(바이오교),3.8662
1001629,정선군(남평대교),3,1001641,정선군(각희교),3.9987
1001629,정선군(남평대교),4,1004645,괴산군(수전교),4.0817
1001629,정선군(남평대교),5,1002685,영월군(주천교),4.1459
1001630,정선군(나전교),1,1001602,평창군(송정교),0.5913
1001630,정선군(나전교),2,1002691,영월군(화병교),0.825
1001630,정선군(나전교),3,1002698,영월군(팔괴교),0.8282
1001630,정선군(나전교),4,1003625,영월군(각동교),0.8518
1001630,정선군(나전교),5,1007687,양평군(여물교),0.8862
1001641,정선군(각희교),1,1001660,정선군(낙동교),2.4639
1001641,정선군(각희교),2,1001620,정선군(송계교),2.7329
1001641,정선군(각희교),3,1003645,단양군(단양1교),3.0305
1001641,정선군(각희교),4,1001623,정선군(오장2교),3.1808
1001641,정선군(각희교),5,1007641,여주보(하류),3.2234
1001645,정선군(와평교),1,1001649,정선군(애산교),1.7038
1001645,정선군(와평교),2,1007640,여주시(율극교),1.7099
1001645,정선군(와평교),3,1003661,제천시(구곡교),1.7206
1001645,정선군(와평교),4,1007645,이천시(복하교),1.8124
1001645,정선군(와평교),5,1002610,평창군(장평교),1.8304
1001649,정선군(애산교),1,1001645,정선군(와평교),1.7038
1001649,정선군(애산교),2,1001602,평창군(송정교),2.1458
1001649,정선군(애산교),3,1007640,여주시(율극교),2.2521
1001649,정선군(애산교),4,1002605,평창군(이목정교),2.2595
1001649,정선군(애산교),5,1001695,영월군(신촌교),2.4152
1001650,정선군(삼거리교),1,1004646,괴산군(비도교),2.6704
1001650,정선군(삼거리교),2,1004631,괴산군(월문교),2.9244
1001650,정선군(삼거리교),3,1004645,괴산군(수전교),3.7573
1001650,정선군(삼거리교),4,1003645,단양군(단양1교),4.1118
1001650,정선군(삼거리교),5,1001641,정선군(각희교),4.194
1001655,정선군(정선제1교),1,1001658,정선군(광하교),1.0026
1001655,정선군(정선제1교),2,1001630,정선군(나전교),1.4724
1001655,정선군(정선제1교),3,1003625,영월군(각동교),1.588
1001655,정선군(정선제1교),4,1001670,영월군(거운교),1.636
1001655,정선군(정선제1교),5,1001602,평창군(송정교),1.642
1001658,정선군(광하교),1,1001655,정선군(정선제1교),1.0026
1001658,정선군(광하교),2,1001670,영월군(거운교),1.2746
1001658,정선군(광하교),3,1003636,단양군(가대교),1.2839
1001658,정선군(광하교),4,1003625,영월군(각동교),1.3622
1001658,정선군(광하교),5,1001630,정선군(나전교),1.3984
1001660,정선군(낙동교),1,1001620,정선군(송계교),1.2881
1001660,정선군(낙동교),2,1007641,여주보(하류),1.9084
1001660,정선군(낙동교),3,1004640,괴산군(적석교),2.2443
1001660,정선군(낙동교),4,1002636,평창군(하방림교),2.2624
1001660,정선군(낙동교),5,1001623,정선군(오장2교),2.2879
1001665,평창군(마하교),1,1005660,충주시(세포교),2.1098
1001665,평창군(마하교),2,1002693,영월군(농공단지교),2.1557
1001665,평창군(마하교),3,1002626,평창군(바이오교),2.2223
1001665,평창군(마하교),4,1002687,영월군(신천교),2.284
1001665,평창군(마하교),5,1001602,평창군(송정교),2.293
1001670,영월군(거운교),1,1003625,영월군(각동교),0.7606
1001670,영월군(거운교),2,1003636,단양군(가대교),0.833
1001670,영월군(거운교),3,1002691,영월군(화병교),0.8464
1001670,영월군(거운교),4,1002698,영월군(팔괴교),0.941
1001670,영월군(거운교),5,1001658,정선군(광하교),1.2746
1001690,영월군(영월대교),1,1007655,여주시(양촌교),1.4875
1001690,영월군(영월대교),2,1002698,영월군(팔괴교),1.5427
1001690,영월군(영월대교),3,1003625,영월군(각동교),1.5557
1001690,영월군(영월대교),4,1002675,횡성군(안흥교),1.5603
1001690,영월군(영월대교),5,1002691,영월군(화병교),1.5651
1001695,영월군(신촌교),1,1001645,정선군(와평교),2.3752
1001695,영월군(신촌교),2,1001649,정선군(애산교),2.4152
1001695,영월군(신촌교),3,1007640,여주시(율극교),2.5952
1001695,영월군(신촌교),4,1007650,여주시(흥천대교),2.6517
1001695,영월군(신촌교),5,1007645,이천시(복하교),2.6905
1002605,평창군(이목정교),1,1002640,평창군(상방림교),0.4588
1002605,평창군(이목정교),2,1006677,원주시(판대2교),0.52
1002605,평창군(이목정교),3,1002650,평창군(평창교),0.7349
1002605,평창군(이목정교),4,1002615,평창군(진전교),0.7682
1002605,평창군(이목정교),5,1006670,원주시(옥산교),0.8241
1002610,평창군(장평교),1,1006670,원주시(옥산교),0.472
1002610,평창군(장평교),2,1002615,평창군(진전교),0.5185
1002610,평창군(장평교),3,1006630,횡성군(오산교),0.6624
1002610,평창군(장평교),4,1007690,양평군(봉상교),0.6986
1002610,평창군(장평교),5,1003661,제천시(구곡교),0.7399
1002615,평창군(진전교),1,1007690,양평군(봉상교),0.4588
1002615,평창군(진전교),2,1002610,평창군(장평교),0.5185
1002615,평창군(진전교),3,1006670,원주시(옥산교),0.5502
1002615,평창군(진전교),4,1002640,평창군(상방림교),0.5671
1002615,평창군(진전교),5,1006630,횡성군(오산교),0.5775
1002625,평창군(선애교),1,1006628,횡성군(청곡교),0.8533
1002625,평창군(선애교),2,1007687,양평군(여물교),0.9999
1002625,평창군(선애교),3,1003625,영월군(각동교),1.2369
1002625,평창군(선애교),4,1003636,단양군(가대교),1.2564
1002625,평창군(선애교),5,1002691,영월군(화병교),1.347
1002626,평창군(바이오교),1,1002636,평창군(하방림교),1.6586
